hostname,indegree,indegree_tech
1177.se,22,0
pts.se,14,0
riksdagen.se,13,0
imy.se,7,0
regeringen.se,7,0
digg.se,6,0
kb.se,4,0
skolverket.se,4,0
arbetsformedlingen.se,3,0
bolagsverket.se,2,0
gov.se,2,0
isof.se,2,0
orebro.se,2,0
overklagandenamnden.se,2,0
polisen.se,2,0
regiondalarna.se,2,0
riksarkivet.se,2,0
scb.se,2,0
skatteverket.se,2,0
skolfi.se,2,0
spsm.se,2,0
statskontoret.se,2,0
av.se,1,0
do.se,1,0
ei.se,1,0
energimyndigheten.se,1,0
forsakringskassan.se,1,0
gotland.se,1,0
government.se,1,0
jordbruksverket.se,1,0
ki.se,1,0
konsumentverket.se,1,0
lakemedelsverket.se,1,0
lansstyrelsen.se,1,0
lantmateriet.se,1,0
lu.se,1,0
malmo.se,1,0
mcf.se,1,0
migrationsverket.se,1,0
ncsc.se,1,0
norrkoping.se,1,0
oru.se,1,0
pensionsmyndigheten.se,1,0
raa.se,1,0
regionstockholm.se,1,0
riksbank.se,1,0
sameskolstyrelsen.se,1,0
sfv.se,1,0
skolinspektionen.se,1,0
sl.se,1,0
socialstyrelsen.se,1,0
start.stockholm,1,0
stockholm.se,1,0
upphandlingsmyndigheten.se,1,0
uu.se,1,0
varldskulturmuseerna.se,1,0
vr.se,1,0
