subdomain,mx
amu.finance.gov.sc,none
anhrd.gov.sc,15 mx3.egov.sc.; 10 mx1.egov.sc.; 20 mx2.egov.sc.
anseroyaleda.gov.sc,15 mx3.egov.sc.; 20 mx2.egov.sc.; 10 mx1.egov.sc.
api.scts.gov.sc,none
app.spga.gov.sc,none
apps.gov.sc,15 mx3.egov.sc.
asp.gov.sc,15 mx3.egov.sc.
aspservices.gov.sc,15 mx3.egov.sc.
attorneygeneraloffice.gov.sc,15 mx3.egov.sc.
auction.finance.gov.sc,none
auction.src.gov.sc,none
auth.src.gov.sc,none
autodiscover.gov.sc,15 mx3.egov.sc.
autodiscover.meteo.gov.sc,none
autodiscover.polls.src.gov.sc,none
autodiscover.siah.gov.sc,none
autodiscover.stagingauction.src.gov.sc,none
autodiscover.stagingpublicsale.src.gov.sc,none
beta.gov.sc,15 mx3.egov.sc.
bio.gov.sc,20 mx2.egov.sc.; 15 mx3.egov.sc.; 10 mx1.egov.sc.
bizauth.gov.sc,15 mx3.egov.sc.
bulk.src.gov.sc,none
cert.gov.sc,15 mx3.egov.sc.
certexpress.gov.sc,15 mx3.egov.sc.
cis.gov.sc,15 mx3.egov.sc.
cpanel.macce.gov.sc,none
cpanel.meteo.gov.sc,none
cpanel.nihss.gov.sc,none
cpanel.polls.src.gov.sc,none
cpanel.siah.gov.sc,none
cpanel.snpa.gov.sc,none
cpanel.spga.gov.sc,none
cpanel.srcaeoiuat.src.gov.sc,dig error
cpanel.stagingauction.src.gov.sc,none
cpanel.stagingpublicsale.src.gov.sc,none
cpanel.teacherscouncil.gov.sc,none
cpanel.ysd.gov.sc,none
cpcalendars.macce.gov.sc,none
cpcalendars.meteo.gov.sc,none
cpcalendars.nihss.gov.sc,none
cpcalendars.polls.src.gov.sc,none
cpcalendars.siah.gov.sc,dig error
cpcalendars.snpa.gov.sc,none
cpcalendars.spga.gov.sc,none
cpcalendars.srcaeoiuat.src.gov.sc,none
cpcalendars.stagingauction.src.gov.sc,none
cpcalendars.stagingpublicsale.src.gov.sc,dig error
cpcalendars.teacherscouncil.gov.sc,none
cpcontacts.macce.gov.sc,dig error
cpcontacts.meteo.gov.sc,none
cpcontacts.nihss.gov.sc,none
cpcontacts.polls.src.gov.sc,none
cpcontacts.siah.gov.sc,none
