type,label,website,hostname,level
government_agency,Department of Legal Affairs,https://ago.sc/,ago.sc,central
government_agency,Agency for Social Protection,https://asp.gov.sc/,asp.gov.sc,central
government_agency,Central Bank of Seychelles,http://www.cbs.sc/,cbs.sc,central
government_agency,Central Bank of Seychelles,https://www.cbs.sc/,cbs.sc,central
government_agency,Curatelle Office,https://www.curatelleoffice.sc/,curatelleoffice.sc,central
government_agency,Department of Risk and Disaster Management,https://www.drdm.sc/,drdm.sc,central
government_agency,Electoral Commission of Seychelles,http://www.ecs.sc,ecs.sc,central
government_agency,Educational Support and Project Department,https://edu.gov.sc/technical-digital-education-division/,edu.gov.sc,central
government_agency,Ministry of Education and Human Resource Development,https://edu.gov.sc/,edu.gov.sc,central
government_agency,Human Resource Development Department,https://edu.gov.sc/education-sector-development-department/,edu.gov.sc,central
government_agency,General Education & Curriculum Department,https://edu.gov.sc/education-services-department/,edu.gov.sc,central
government_agency,Ministry of Employment & Human Resource Planning,https://www.employment.gov.sc/,employment.gov.sc,central
government_agency,Labour Relations and Regulations Department,https://www.employment.gov.sc/,employment.gov.sc,central
government_agency,Employment & Human Resource Planning Department,https://www.employment.gov.sc/,employment.gov.sc,central
government_agency,"Ministry of Environment, Climate, Energy and Natural Resources",https://environment.gov.sc/,environment.gov.sc,central
government_agency,Ministry of Industry and Enterprise,https://esa.egov.sc/,esa.egov.sc,central
government_agency,Enterprise Seychelles Agency,https://www.esa.gov.sc/,esa.gov.sc,central
government_agency,Ministry for Youth and Sport,https://www.family.gov.sc/,family.gov.sc,central
government_agency,"Ministry of Finance, Economic Planning, Trade and Investment",https://www.finance.gov.sc/,finance.gov.sc,central
government_agency,Economic Planning Department,https://www.finance.gov.sc/ministrys-overview/economic-planning-department/,finance.gov.sc,central
government_agency,Trade and Investment Department,https://www.finance.gov.sc/ministrys-overview/trade-department/,finance.gov.sc,central
government_agency,Finance Department,https://www.finance.gov.sc/ministrys-overview/finance-department/,finance.gov.sc,central
government_agency,Fair Trading Commission,https://ftc.gov.sc/,ftc.gov.sc,central
government_agency,British High Commission Victoria,https://www.gov.uk/world/organisations/high-commission-victoria,gov.uk,central
government_agency,high commission of India in Seychelles,https://www.hciseychelles.gov.in,hciseychelles.gov.in,central
government_agency,Seychelles Nurses and Midwives Council,https://www.health.gov.sc/,health.gov.sc,central
government_agency,Mental Health Care Agency,https://www.health.gov.sc/,health.gov.sc,central
government_agency,Seychelles Public Health Authority,https://www.health.gov.sc/public-health-authority/,health.gov.sc,
government_agency,Public Health Authority,https://www.health.gov.sc/,health.gov.sc,central
government_agency,Health Service Department,https://www.health.gov.sc/,health.gov.sc,central
ministry,Ministry of Health,http://www.health.gov.sc/,health.gov.sc,
government_agency,Ministry of Health,https://www.health.gov.sc/,health.gov.sc,central
government_agency,Ministry of Health,http://www.health.gov.sc/,health.gov.sc,central
government_agency,Agency for the Prevention of Drug Abuse and Rehabilitation,https://www.health.gov.sc/,health.gov.sc,central
government_agency,Department of Information Communications Technology,https://ict.gov.sc/,ict.gov.sc,central
government_agency,Institute of Early Childhood Development,https://www.iecd.gov.sc/,iecd.gov.sc,central
government_agency,Information Commission,https://www.infocom.sc/,infocom.sc,central
government_agency,Department of Information,https://www.information.gov.sc/,information.gov.sc,central
government_agency,Seychelles Investment Board,https://investinseychelles.com/,investinseychelles.com,central
government_agency,Supreme Court of Seychelles,http://www.judiciary.sc/,judiciary.sc,central
government_agency,Seychelles Creole Academy,https://www.kreol.gov.sc/,kreol.gov.sc,central
government_agency,Inner Islands Affairs and Community Delivery Department,https://localgovernment.gov.sc/,localgovernment.gov.sc,central
government_agency,Local Government and Community Services Department,https://localgovernment.gov.sc/,localgovernment.gov.sc,central
government_agency,Lands Department,https://www.luh.gov.sc/,luh.gov.sc,central
government_agency,Housing Department,https://www.luh.gov.sc/,luh.gov.sc,central
government_agency,Landscape & Waste Management Agency,https://lwma.gov.sc/,lwma.gov.sc,central
government_agency,Climate Change & Energy Department,https://macce.gov.sc/,macce.gov.sc,central
government_agency,Environment Department,https://macce.gov.sc/,macce.gov.sc,central
government_agency,Office of the Mayor of Victoria,https://mayorsofficeseychelles.com/,mayorsofficeseychelles.com,central
government_agency,Seychelles Meteorological Authority,https://www.meteo.sc/,meteo.sc,central
government_agency,Department of Foreign Affairs and the Diaspora,https://mfa.gov.sc/,mfa.gov.sc,central
government_agency,Ministry of Foreign Affairs and the Diaspora,https://mfa.gov.sc/,mfa.gov.sc,central
government_agency,Ministry of Foreign Affairs,http://www.mfa.gov.sc/,mfa.gov.sc,central
ministry,Ministry of Foreign Affairs,http://www.mfa.gov.sc/,mfa.gov.sc,
government_agency,Seychelles Fire and Rescue Services Agency,https://www.mhsca.gov.sc/about/departments/sfrsa,mhsca.gov.sc,central
government_agency,"Internal Affairs, Immigration & Civil Identity Systems Department",https://www.mhsca.gov.sc/about/departments/immigration-and-civil-identity-systems,mhsca.gov.sc,central
government_agency,Ministry of Homeland Security and Civil Affairs,https://www.mhsca.gov.sc/,mhsca.gov.sc,central
government_agency,embassy of Cuba in Seychelles,https://misiones.cubaminrex.cu/en/seychelles/embassy-cuba-seychelles,misiones.cubaminrex.cu,central
government_agency,"Embassy of the United Arab Emirates, Victoria",https://www.mofaic.gov.ae/missions/UAE-Missions-Abroad/UAE-Missions-Abroad-Details?countryId=ed0c54ce-a105-43ee-aa75-85e45d451548,mofaic.gov.ae,central
government_agency,Fisheries Department,https://mofbe.gov.sc/fisheries-department/,mofbe.gov.sc,central
government_agency,Blue Economy Department,https://mofbe.gov.sc/blue-economy/,mofbe.gov.sc,central
government_agency,"Ministry of Fisheries, Agriculture and Blue Economy",https://mofbe.gov.sc/,mofbe.gov.sc,central
government_agency,Agriculture Department,https://mofbe.gov.sc/agriculture-department/,mofbe.gov.sc,central
government_agency,National Arts and Crafts Council,https://www.nacseychelles.sc/,nacseychelles.sc,central
government_agency,National Library of the Seychelles,http://www.national-library.edu.sc/,national-library.edu.sc,
supreme_court,National Assembly of Seychelles,https://www.nationalassembly.sc/,nationalassembly.sc,central
parliament,National Assembly of Seychelles,https://www.nationalassembly.sc/,nationalassembly.sc,central
parliament,National Assembly,https://www.nationalassembly.sc/,nationalassembly.sc,
supreme_court,National Assembly,https://www.nationalassembly.sc/,nationalassembly.sc,
government_agency,National Bureau of Statistics,https://www.nbs.gov.sc/,nbs.gov.sc,central
government_agency,National Council for Children,https://ncc.gov.sc/,ncc.gov.sc,central
government_agency,National Sports Council,https://www.nsc.sc/,nsc.sc,central
government_agency,National Tender Board,https://www.ntb.sc/,ntb.sc,central
government_agency,Public Enterprise Monitoring Commission,https://www.pemc.sc/,pemc.sc,central
government_agency,Seychelles Police Force,https://www.police.gov.sc,police.gov.sc,
government_agency,Procurement Oversight Unit,https://www.pou.gov.sc/,pou.gov.sc,central
government_agency,Seychelles Prison Services,https://www.prisonservice.gov.sc/,prisonservice.gov.sc,central
government_agency,Public Service Bureau,https://www.psb.gov.sc/,psb.gov.sc,central
government_agency,Department of Public Administration,https://www.psb.gov.sc/,psb.gov.sc,central
government_agency,Seychelles Registration Division,https://registrationdivision.gov.sc/,registrationdivision.gov.sc,central
government_agency,Seychelles Airports Authority,https://saa.sc/,saa.sc,central
government_agency,Seychelles Bureau of Standards,https://sbs.sc/,sbs.sc,central
government_agency,"Embassy of France, Victoria",https://sc.ambafrance.org,sc.ambafrance.org,central
government_agency,"Embassy of the People's Republic of China, Victoria",http://sc.china-embassy.org/,sc.china-embassy.org,central
