type,label,website,hostname,level
government_agency,Department of Legal Affairs,https://ago.sc/,ago.sc,central
government_agency,Central Bank of Seychelles,http://www.cbs.sc/,cbs.sc,central
government_agency,Central Bank of Seychelles,https://www.cbs.sc/,cbs.sc,central
government_agency,Curatelle Office,https://www.curatelleoffice.sc/,curatelleoffice.sc,central
government_agency,Department of Risk and Disaster Management,https://www.drdm.sc/,drdm.sc,central
government_agency,Electoral Commission of Seychelles,http://www.ecs.sc,ecs.sc,central
ministry,Ministry of Industry and Enterprise,https://esa.egov.sc/,esa.egov.sc,central
government_agency,Ministry of Industry and Enterprise,https://esa.egov.sc/,esa.egov.sc,central
government_agency,Information Commission,https://www.infocom.sc/,infocom.sc,central
government_agency,Seychelles Investment Board,https://investinseychelles.com/,investinseychelles.com,central
government_agency,Supreme Court of Seychelles,http://www.judiciary.sc/,judiciary.sc,central
government_agency,Office of the Mayor of Victoria,https://mayorsofficeseychelles.com/,mayorsofficeseychelles.com,central
government_agency,Seychelles Meteorological Authority,https://www.meteo.sc/,meteo.sc,central
government_agency,embassy of Cuba in Seychelles,https://misiones.cubaminrex.cu/en/seychelles/embassy-cuba-seychelles,misiones.cubaminrex.cu,central
government_agency,"Embassy of the United Arab Emirates, Victoria",https://www.mofaic.gov.ae/missions/UAE-Missions-Abroad/UAE-Missions-Abroad-Details?countryId=ed0c54ce-a105-43ee-aa75-85e45d451548,mofaic.gov.ae,central
government_agency,National Arts and Crafts Council,https://www.nacseychelles.sc/,nacseychelles.sc,central
government_agency,National Library of the Seychelles,http://www.national-library.edu.sc/,national-library.edu.sc,
supreme_court,National Assembly of Seychelles,https://www.nationalassembly.sc/,nationalassembly.sc,central
parliament,National Assembly of Seychelles,https://www.nationalassembly.sc/,nationalassembly.sc,central
parliament,National Assembly,https://www.nationalassembly.sc/,nationalassembly.sc,
supreme_court,National Assembly,https://www.nationalassembly.sc/,nationalassembly.sc,
government_agency,National Sports Council,https://www.nsc.sc/,nsc.sc,central
government_agency,National Tender Board,https://www.ntb.sc/,ntb.sc,central
government_agency,Public Enterprise Monitoring Commission,https://www.pemc.sc/,pemc.sc,central
government_agency,Seychelles Airports Authority,https://saa.sc/,saa.sc,central
government_agency,Seychelles Bureau of Standards,https://sbs.sc/,sbs.sc,central
government_agency,"Embassy of France, Victoria",https://sc.ambafrance.org,sc.ambafrance.org,central
government_agency,"Embassy of the People's Republic of China, Victoria",http://sc.china-embassy.org/,sc.china-embassy.org,central
government_agency,"Embassy of the United States, Victoria",https://sc.usembassy.gov/,sc.usembassy.gov,central
government_agency,Seychelles Civil Aviation Authority,https://www.scaa.sc/,scaa.sc,central
government_agency,Seychelles Communications Regulatory Authority,https://scra.sc/,scra.sc,central
government_agency,Department of Defense,https://sdf.sc/,sdf.sc,central
government_agency,embassy of Russia in Seychelles,https://seychelles.mid.ru,seychelles.mid.ru,central
government_agency,"Culture, Art and National Heritage Department",https://seychellescultureinstitute.org/,seychellescultureinstitute.org,central
government_agency,"Seychelles National Institute of Culture, Heritage & the Arts",https://seychellescultureinstitute.org/,seychellescultureinstitute.org,central
government_agency,Seychelles News Agency,http://www.seychellesnewsagency.com,seychellesnewsagency.com,
government_agency,Postal Regulatory Secretariat,https://seychellespostalregulator.com/,seychellespostalregulator.com,central
government_agency,Seychelles Port Authority,https://www.seyport.sc/,seyport.sc,central
government_agency,Seychelles Fisheries Authority,https://www.sfa.sc/,sfa.sc,central
government_agency,Seychelles Fisheries Authority,http://www.sfa.sc/,sfa.sc,central
government_agency,Seychelles National Heritage Research Council,https://www.shf.sc/,shf.sc,central
government_agency,Seychelles Land Transport Agency,https://www.slta.sc/,slta.sc,central
government_agency,Seychelles Maritime Safety Authority,https://smsa.sc/,smsa.sc,central
government_agency,Seychelles National Youth Council,https://snyc.sc/,snyc.sc,central
government_agency,Seychelles Port Authority,https://spa.sc,spa.sc,central
government_agency,Seychelles Public Transport Corporation,https://sptc.sc/,sptc.sc,central
government_agency,Seychelles Qualifications Authority,https://www.sqa.sc/,sqa.sc,central
government_agency,Utilities Regulatory Commission,https://urc.sc/,urc.sc,central
