qid,label
Q104032277,Ile Perseverance I
Q104032556,Ile Perseverance II
Q1094917,La Digue and Inner Islands
Q1231388,Grand'Anse Praslin
Q1808165,Port Glaud
Q1819963,La Rivière Anglaise
Q1928685,Cascade
Q1945413,Mont Fleuri
Q2199897,Plaisance
Q2278695,Saint Louis
Q2280357,Les Mamelles
Q2287379,Takamaka
Q2494551,Baie Lazare
Q2667004,Au Cap
Q2718315,Roche Caiman
Q2877260,Pointe La Rue
Q3241674,Anse Royale
Q3241682,Mont Buxton
Q3241690,Grand'Anse Mahé
Q3241696,Glacis
Q3245439,Bel Ombre
Q387293,Anse Etoile
Q569453,Anse Boileau
Q569458,Anse-aux-Pins
Q7479348,Beau Vallon
Q803716,Baie Sainte Anne
Q815077,Bel Air
