subdomain,parent_domain,http_status
amu.finance.gov.sc,gov.sc,200
anhrd.gov.sc,gov.sc,Connection timed out after 3002 milliseconds
anseroyaleda.gov.sc,gov.sc,404
api.scts.gov.sc,gov.sc,Connection timed out after 3002 milliseconds
app.spga.gov.sc,gov.sc,Operation timed out after 3001 milliseconds with 0 bytes received
apps.gov.sc,gov.sc,403
asp.gov.sc,gov.sc,200
aspservices.gov.sc,gov.sc,200
attorneygeneraloffice.gov.sc,gov.sc,200
auction.finance.gov.sc,gov.sc,200
auction.src.gov.sc,gov.sc,Could not resolve host: auction.src.gov.sc
auth.src.gov.sc,gov.sc,302
autodiscover.gov.sc,gov.sc,302
autodiscover.meteo.gov.sc,gov.sc,Could not resolve host: autodiscover.meteo.gov.sc
autodiscover.polls.src.gov.sc,gov.sc,Could not resolve host: autodiscover.polls.src.gov.sc
autodiscover.siah.gov.sc,gov.sc,Could not resolve host: autodiscover.siah.gov.sc
autodiscover.stagingauction.src.gov.sc,gov.sc,Could not resolve host: autodiscover.stagingauction.src.gov.sc
autodiscover.stagingpublicsale.src.gov.sc,gov.sc,Could not resolve host: autodiscover.stagingpublicsale.src.gov.sc
beta.gov.sc,gov.sc,403
bio.gov.sc,gov.sc,200
bizauth.gov.sc,gov.sc,200
bulk.src.gov.sc,gov.sc,Could not resolve host: bulk.src.gov.sc
cert.gov.sc,gov.sc,404
certexpress.gov.sc,gov.sc,301
cis.gov.sc,gov.sc,404
cpanel.macce.gov.sc,gov.sc,200
cpanel.meteo.gov.sc,gov.sc,Could not resolve host: cpanel.meteo.gov.sc
cpanel.nihss.gov.sc,gov.sc,200
cpanel.polls.src.gov.sc,gov.sc,Could not resolve host: cpanel.polls.src.gov.sc
cpanel.siah.gov.sc,gov.sc,Could not resolve host: cpanel.siah.gov.sc
cpanel.snpa.gov.sc,gov.sc,Could not resolve host: cpanel.snpa.gov.sc
cpanel.spga.gov.sc,gov.sc,Operation timed out after 3001 milliseconds with 0 bytes received
cpanel.srcaeoiuat.src.gov.sc,gov.sc,200
cpanel.stagingauction.src.gov.sc,gov.sc,Could not resolve host: cpanel.stagingauction.src.gov.sc
cpanel.stagingpublicsale.src.gov.sc,gov.sc,Could not resolve host: cpanel.stagingpublicsale.src.gov.sc
cpanel.teacherscouncil.gov.sc,gov.sc,200
cpanel.ysd.gov.sc,gov.sc,Could not resolve host: cpanel.ysd.gov.sc
cpcalendars.macce.gov.sc,gov.sc,401
cpcalendars.meteo.gov.sc,gov.sc,Could not resolve host: cpcalendars.meteo.gov.sc
cpcalendars.nihss.gov.sc,gov.sc,401
cpcalendars.polls.src.gov.sc,gov.sc,Could not resolve host: cpcalendars.polls.src.gov.sc
cpcalendars.siah.gov.sc,gov.sc,Could not resolve host: cpcalendars.siah.gov.sc
cpcalendars.snpa.gov.sc,gov.sc,Could not resolve host: cpcalendars.snpa.gov.sc
cpcalendars.spga.gov.sc,gov.sc,503
cpcalendars.srcaeoiuat.src.gov.sc,gov.sc,401
cpcalendars.stagingauction.src.gov.sc,gov.sc,Could not resolve host: cpcalendars.stagingauction.src.gov.sc
cpcalendars.stagingpublicsale.src.gov.sc,gov.sc,Could not resolve host: cpcalendars.stagingpublicsale.src.gov.sc
cpcalendars.teacherscouncil.gov.sc,gov.sc,401
cpcontacts.macce.gov.sc,gov.sc,401
cpcontacts.meteo.gov.sc,gov.sc,Could not resolve host: cpcontacts.meteo.gov.sc
cpcontacts.nihss.gov.sc,gov.sc,401
cpcontacts.polls.src.gov.sc,gov.sc,Could not resolve host: cpcontacts.polls.src.gov.sc
cpcontacts.siah.gov.sc,gov.sc,Could not resolve host: cpcontacts.siah.gov.sc
cpcontacts.snpa.gov.sc,gov.sc,Could not resolve host: cpcontacts.snpa.gov.sc
cpcontacts.spga.gov.sc,gov.sc,503
cpcontacts.srcaeoiuat.src.gov.sc,gov.sc,401
cpcontacts.stagingauction.src.gov.sc,gov.sc,Could not resolve host: cpcontacts.stagingauction.src.gov.sc
cpcontacts.stagingpublicsale.src.gov.sc,gov.sc,Could not resolve host: cpcontacts.stagingpublicsale.src.gov.sc
cpcontacts.teacherscouncil.gov.sc,gov.sc,401
csirt.gov.sc,gov.sc,Could not resolve host: csirt.gov.sc
dev.permits.ics.gov.sc,gov.sc,Operation timed out after 3000 milliseconds with 0 bytes received
devauth.src.gov.sc,gov.sc,302
dpa.gov.sc,gov.sc,SSL: no alternative certificate subject name matches target hostname 'dpa.gov.sc'
dsaptr.gov.sc,gov.sc,Operation timed out after 3001 milliseconds with 0 bytes received
dwww.webgis.gov.sc,gov.sc,Could not resolve host: dwww.webgis.gov.sc
ebls.gov.sc,gov.sc,Operation timed out after 3001 milliseconds with 0 bytes received
ecoalert.gov.sc,gov.sc,404
edls.gov.sc,gov.sc,301
edu.gov.sc,gov.sc,Resolving timed out after 3000 milliseconds
egov.sc,gov.sc,405
employment.gov.sc,gov.sc,Could not resolve host: employment.gov.sc
env.gov.sc,gov.sc,Connection timed out after 3000 milliseconds
eplanning.gov.sc,gov.sc,302
esa.gov.sc,gov.sc,404
evls.gov.sc,gov.sc,200
family.gov.sc,gov.sc,200
finance.gov.sc,gov.sc,302
forms.src.gov.sc,gov.sc,Could not resolve host: forms.src.gov.sc
ftc.gov.sc,gov.sc,200
gis.gov.sc,gov.sc,200
godata-r14.gov.sc,gov.sc,401
gov.sc,gov.sc,SSL: no alternative certificate subject name matches target hostname 'gov.sc'
health.gov.sc,gov.sc,Could not resolve host: health.gov.sc
ics.gov.sc,gov.sc,Could not resolve host: ics.gov.sc
ict.gov.sc,gov.sc,200
iecd.gov.sc,gov.sc,301
iepermitweb.gov.sc,gov.sc,Could not resolve host: iepermitweb.gov.sc
industry.gov.sc,gov.sc,Connection timed out after 3000 milliseconds
info.gov.sc,gov.sc,SSL: no alternative certificate subject name matches target hostname 'info.gov.sc'
judiciary.gov.sc,gov.sc,Connection timed out after 3002 milliseconds
laptopscheme.gov.sc,gov.sc,200
lmis.gov.sc,gov.sc,502
localgovernment.gov.sc,gov.sc,200
luh.gov.sc,gov.sc,404
lwma.gov.sc,gov.sc,Operation timed out after 3001 milliseconds with 0 bytes received
macce.gov.sc,gov.sc,200
mail.family.gov.sc,gov.sc,Could not resolve host: mail.family.gov.sc
mail.macce.gov.sc,gov.sc,301
mail.meteo.gov.sc,gov.sc,Could not resolve host: mail.meteo.gov.sc
mail.nihss.gov.sc,gov.sc,301
mail.polls.src.gov.sc,gov.sc,Could not resolve host: mail.polls.src.gov.sc
mail.publicsale.src.gov.sc,gov.sc,Could not resolve host: mail.publicsale.src.gov.sc
mail.siah.gov.sc,gov.sc,Could not resolve host: mail.siah.gov.sc
mail.snpa.gov.sc,gov.sc,Could not resolve host: mail.snpa.gov.sc
mail.spga.gov.sc,gov.sc,301
