subdomain,mx
adac.gouv.td,none
agriculture.gouv.td,none
amenagement.gouv.td,0 mail.amenagement.gouv.td.
an.gouv.td,none
atpe.gouv.td,none
autodiscover.commerce.gouv.td,none
aviation.gouv.td,0 mail.aviation.gouv.td.
box.finances.gouv.td,none
cloud.finances.gouv.td,none
cloud.sigfip.finances.gouv.td,none
cnarr.interieur.gouv.td,none
collab.finances.gouv.td,none
collabo.finances.gouv.td,none
collabora.finances.gouv.td,none
commerce.gouv.td,0 mail.commerce.gouv.td.
communication.gouv.td,0 mail.communication.gouv.td.
cpanel.adac.gouv.td,none
cpanel.agriculture.gouv.td,none
cpanel.amenagement.gouv.td,none
cpanel.an.gouv.td,none
cpanel.atpe.gouv.td,none
cpanel.commerce.gouv.td,none
cpanel.communication.gouv.td,none
cpanel.cultourisme.gouv.td,none
cpanel.defense.gouv.td,none
cpanel.diplomatie.gouv.td,none
cpanel.education.gouv.td,none
cpanel.elevage.gouv.td,none
cpanel.enseignementsup.gouv.td,none
cpanel.environnement-eau.gouv.td,none
cpanel.femme.gouv.td,none
cpanel.fonctionpublique.gouv.td,none
cpanel.infrastructures.gouv.td,none
cpanel.interieur.gouv.td,none
cpanel.justice.gouv.td,none
cpanel.macmn.gouv.td,none
cpanel.mepd.gouv.td,none
cpanel.minpe.gouv.td,none
cpanel.mpntic.gouv.td,none
cpanel.petrole.gouv.td,none
cpanel.previsions.gouv.td,none
cpanel.reconciliation.gouv.td,none
cpanel.sante.gouv.td,none
cpanel.sgg.gouv.td,none
cpanel.vpserver.reconciliation.gouv.td,dig error
cpanel.webmail.gouv.td,none
cpcalendars.adac.gouv.td,none
cpcalendars.agriculture.gouv.td,none
cpcalendars.amenagement.gouv.td,none
cpcalendars.commerce.gouv.td,none
cpcalendars.communication.gouv.td,none
cpcalendars.cultourisme.gouv.td,none
cpcalendars.defense.gouv.td,none
cpcalendars.elevage.gouv.td,none
cpcalendars.enseignementsup.gouv.td,none
cpcalendars.environnement-eau.gouv.td,none
cpcalendars.femme.gouv.td,none
cpcalendars.fonctionpublique.gouv.td,none
cpcalendars.infrastructures.gouv.td,none
cpcalendars.macmn.gouv.td,none
cpcalendars.minpe.gouv.td,none
cpcalendars.mpntic.gouv.td,none
cpcalendars.reconciliation.gouv.td,none
cpcalendars.sgg.gouv.td,none
cpcalendars.vpserver.reconciliation.gouv.td,dig error
cpcontacts.adac.gouv.td,none
cpcontacts.agriculture.gouv.td,none
cpcontacts.amenagement.gouv.td,none
cpcontacts.commerce.gouv.td,none
cpcontacts.communication.gouv.td,none
cpcontacts.cultourisme.gouv.td,none
cpcontacts.defense.gouv.td,none
cpcontacts.elevage.gouv.td,none
cpcontacts.enseignementsup.gouv.td,none
cpcontacts.environnement-eau.gouv.td,none
cpcontacts.femme.gouv.td,none
cpcontacts.fonctionpublique.gouv.td,none
cpcontacts.infrastructures.gouv.td,none
cpcontacts.macmn.gouv.td,none
cpcontacts.minpe.gouv.td,none
cpcontacts.mpntic.gouv.td,none
cpcontacts.reconciliation.gouv.td,none
cpcontacts.sgg.gouv.td,none
cpcontacts.vpserver.reconciliation.gouv.td,none
cr.sante.gouv.td,none
cultourisme.gouv.td,none
culture.gouv.td,none
deelcpn.environnement.gouv.td,none
defense.gouv.td,none
demo.securite.gouv.td,none
depss.environnement.gouv.td,none
dev.sante.gouv.td,none
dhis2.sante.gouv.td,none
diplomatie.gouv.td,none
dp.environnement.gouv.td,none
drhm.environnement.gouv.td,none
dropbox.finances.gouv.td,none
e-learning.finances.gouv.td,none
economie.gouv.td,none
education.gouv.td,none
egpp.minpe.gouv.td,none
elevage.gouv.td,none
email.finances.gouv.td,none
embassies.diplomatie.gouv.td,none
energie.gouv.td,none
enseignementsup.gouv.td,none
environnement-eau.gouv.td,none
environnement.gouv.td,none
femme.gouv.td,none
filtremfb.finances.gouv.td,none
finances.gouv.td,none
fonction.gouv.td,none
fonctionpublique.gouv.td,none
formation.gouv.td,none
gouv.td,none
hpbsignaling.finances.gouv.td,none
hydraulique.gouv.td,none
infrastructures.gouv.td,1 smtp.google.com.
interieur.gouv.td,none
jeunesse.gouv.td,none
justice.gouv.td,none
m.commerce.gouv.td,none
m.minpe.gouv.td,none
macmn.gouv.td,none
mail.adac.gouv.td,none
mail.agriculture.gouv.td,none
mail.amenagement.gouv.td,none
mail.an.gouv.td,none
mail.atpe.gouv.td,none
mail.commerce.gouv.td,none
mail.communication.gouv.td,none
mail.cultourisme.gouv.td,none
mail.deelcpn.environnement.gouv.td,none
mail.defense.gouv.td,none
mail.depss.environnement.gouv.td,none
mail.diplomatie.gouv.td,none
mail.dp.environnement.gouv.td,none
mail.drhm.environnement.gouv.td,none
mail.education.gouv.td,none
mail.elevage.gouv.td,none
mail.energie.gouv.td,none
mail.enseignementsup.gouv.td,none
mail.environnement-eau.gouv.td,none
mail.environnement.gouv.td,none
mail.femme.gouv.td,none
mail.fonction.gouv.td,none
mail.fonctionpublique.gouv.td,none
mail.infrastructures.gouv.td,none
mail.interieur.gouv.td,none
mail.justice.gouv.td,none
mail.macmn.gouv.td,none
mail.mepd.gouv.td,none
mail.mepdci.gouv.td,none
mail.minpe.gouv.td,none
mail.mpntic.gouv.td,none
mail.petrole.gouv.td,none
mail.previsions.gouv.td,none
mail.promotion.gouv.td,none
mail.reconciliation.gouv.td,none
mail.sante.gouv.td,none
mail.sgg.gouv.td,none
mail.tchad.environnement.gouv.td,none
mail.tresor.gouv.td,none
mail.urbanisme.gouv.td,none
mail.vpserver.reconciliation.gouv.td,none
mail.webmail.gouv.td,none
mails.minpe.gouv.td,none
mails.mpntic.gouv.td,none
mailsigfp.finances.gouv.td,none
mdm.sante.gouv.td,none
meet.finances.gouv.td,none
mepd.gouv.td,none
mepdci.gouv.td,none
mepdd.td.environnement.gouv.td,none
messagerie.minpe.gouv.td,none
mfbbox.finances.gouv.td,none
mfbcloud.finances.gouv.td,none
mines.gouv.td,10 igw11.site4now.net.
minpe.gouv.td,0 minpe.gouv.td.
mpntic.gouv.td,none
mten.gouv.td,none
numerique.gouv.td,none
office.finances.gouv.td,none
old.mpntic.gouv.td,none
onlyoffice.finances.gouv.td,none
pass.sante.gouv.td,0 mail.pass.sante.gouv.td.
petrole.gouv.td,0 mail.petrole.gouv.td.
prajust.agriculture.gouv.td,none
previsions.gouv.td,none
primature.gouv.td,none
promotion.gouv.td,none
reconciliation.gouv.td,none
sante.gouv.td,none
securite.gouv.td,none
sgg.gouv.td,none
sigfip.cloud.finances.gouv.td,none
sigfip.finances.gouv.td,none
sigfipcloud.finances.gouv.td,none
sigfp.finances.gouv.td,none
signal.finances.gouv.td,none
signaling.finances.gouv.td,none
sis.sante.gouv.td,none
tchad.environnement.gouv.td,none
testcloud.finances.gouv.td,none
testmeet.finances.gouv.td,none
testsigfp.finances.gouv.td,none
tourisme.gouv.td,none
transports.gouv.td,none
tresor.gouv.td,none
urbanisme.gouv.td,none
vpserver.reconciliation.gouv.td,none
web.finances.gouv.td,none
webdisk.adac.gouv.td,none
webdisk.agriculture.gouv.td,none
webdisk.amenagement.gouv.td,none
webdisk.an.gouv.td,none
webdisk.atpe.gouv.td,none
webdisk.commerce.gouv.td,none
webdisk.communication.gouv.td,none
webdisk.cultourisme.gouv.td,none
webdisk.defense.gouv.td,none
webdisk.diplomatie.gouv.td,none
webdisk.education.gouv.td,none
webdisk.elevage.gouv.td,none
webdisk.enseignementsup.gouv.td,none
webdisk.environnement-eau.gouv.td,none
webdisk.femme.gouv.td,none
webdisk.fonctionpublique.gouv.td,none
webdisk.infrastructures.gouv.td,none
webdisk.interieur.gouv.td,none
webdisk.justice.gouv.td,none
webdisk.macmn.gouv.td,none
webdisk.mepd.gouv.td,none
webdisk.minpe.gouv.td,none
webdisk.mpntic.gouv.td,none
webdisk.petrole.gouv.td,none
webdisk.previsions.gouv.td,none
webdisk.reconciliation.gouv.td,none
webdisk.sante.gouv.td,none
webdisk.sgg.gouv.td,none
webdisk.webmail.gouv.td,none
webmail.adac.gouv.td,none
webmail.agriculture.gouv.td,none
webmail.amenagement.gouv.td,none
webmail.an.gouv.td,none
webmail.atpe.gouv.td,none
webmail.commerce.gouv.td,none
webmail.communication.gouv.td,none
webmail.cultourisme.gouv.td,none
