type,label,website,hostname
ministry,"Ministry of Social Action, Solidarity and the Promotion of Women (Togo)",https://actionsociale.gouv.tg/,actionsociale.gouv.tg
ministry,Ministry of Justice and Legislation (Togo),https://minjustg.com/,minjustg.com
ministry,Ministry of Infrastructure and Transport of Togo,https://infrastructure.gouv.tg/,infrastructure.gouv.tg
ministry,Ministry of Justice (Togo),https://justice.gouv.tg,justice.gouv.tg
ministry,Q135337826,https://finances.gouv.tg,finances.gouv.tg
ministry,Q131099191,https://devbase.gouv.tg/,devbase.gouv.tg
ministry,Ministry of Communication of Togo,https://communication.gouv.tg,communication.gouv.tg
ministry,Ministry of Public Service Efficiency and Digital Transformation of Togo,https://numerique.gouv.tg,numerique.gouv.tg
ministry,"Ministry of Health, Public Hygiene, Universal Health Coverage and Insurance of Togo",https://transports.gouv.tg,transports.gouv.tg
ministry,Ministry of Public Service and Social Dialogue of Togo,https://transports.gouv.tg,transports.gouv.tg
ministry,"Ministry of Environment, Forest Resources, Coastal Protection and Climate Change of Togo",https://agriculture.gouv.tg,agriculture.gouv.tg
ministry,Ministry of Grassroots Development and Social and Solidarity Economy of Togo,https://devbase.gouv.tg,devbase.gouv.tg
ministry,Ministry of National Education of Togo,https://education.gouv.tg,education.gouv.tg
ministry,"Ministry of Health, Public Hygiene, Universal Health Coverage and Insurance of Togo",https://sante.gouv.tg/,sante.gouv.tg
ministry,"Ministry of Territorial Planning, Urbanism and Housing",https://urbanisme.gouv.tg/,urbanisme.gouv.tg
ministry,Togolese Ministry of Health,https://togoleseministryofhealthlome.myewebsite.com/,togoleseministryofhealthlome.myewebsite.com
ministry,"Ministère de l'Agriculture, de l'Elevage et de l'Hydraulique",http://agriculture.gouv.tg/fr,agriculture.gouv.tg
ministry,Q139550958,https://communication.gouv.tg,communication.gouv.tg
ministry,Ministry of Internal Affairs of Togo,https://territoire.gouv.tg/,territoire.gouv.tg
ministry,Q119296585,https://finances.gouv.tg,finances.gouv.tg
parliament,National Assembly,http://www.assemblee-nationale.tg,assemblee-nationale.tg
supreme_court,National Assembly,http://www.assemblee-nationale.tg,assemblee-nationale.tg
