type,label,website,hostname,level
government_agency,Q137103754,https://ansmi.tj,ansmi.tj,
government_agency,Constitutional Court of Tajikistan,https://constcourt.tj/,constcourt.tj,central
university,Tajikistan National Institute of Art,http://www.ddst.tj,ddst.tj,university
university,Tajik State Institute of Languages,http://ddzt.tj,ddzt.tj,university
university,Tajik Pedagogical Institute in the Rasht District,https://dotr.tj,dotr.tj,university
university,Institute of Business and Service,http://dsx.tj/,dsx.tj,university
government_agency,"embassy of Germany, Dushanbe",https://duschanbe.diplo.de,duschanbe.diplo.de,central
government_agency,embassy of Russia in Tajikistan,https://dushanbe.mid.ru/,dushanbe.mid.ru,central
government_agency,Delegation of the European Union to Tajikistan,https://eeas.europa.eu/delegations/tajikistan_en,eeas.europa.eu,
university,Mining and Metallurgical Institute of Tajikistan,http://www.gmit.tj,gmit.tj,university
university,Khujand State University,http://www.hgu.tj,hgu.tj,university
government_agency,Rudaki Institute of Language and Literature,https://izar.tj/,izar.tj,
university,Kulyab State University,http://www.kgu.tj/,kgu.tj,university
government_agency,National Library of Tajikistan,https://khkt.tj/,khkt.tj,
government_agency,National Library of Tajikistan,http://kmt.tj/,kmt.tj,
government_agency,National Assembly of Tajikistan,http://majmilli.tj,majmilli.tj,central
ministry,Ministry of Education and Science of Tajikistan,https://maorif.tj,maorif.tj,
government_agency,Ministry of Education and Science of Tajikistan,https://maorif.tj,maorif.tj,central
government_agency,Institute of Mathematics National Academy of Science of Tajikistan,https://www.mitas.tj,mitas.tj,
ministry,Ministry of Defence,http://www.mort.tj,mort.tj,
government_agency,Ministry of Defence,http://www.mort.tj,mort.tj,central
university,Moscow State University Branch in Dushanbe,https://www.msu.tj/,msu.tj,university
government_agency,National Bank of Tajikistan,http://www.nbt.tj,nbt.tj,
government_agency,Assembly of Representatives,https://parlament.tj/,parlament.tj,central
parliament,Supreme Assembly,https://parlament.tj/,parlament.tj,central
supreme_court,Supreme Assembly,https://parlament.tj/,parlament.tj,central
university,Russian-Tajik Slavonic University,http://www.rtsu.tj,rtsu.tj,university
government_agency,TAJSTAT,http://stat.tj,stat.tj,central
university,Agricultural University of Tajikistan,http://www.tajagroun.tj,tajagroun.tj,university
university,Tajik State Medical University,http://tajmedun.tj,tajmedun.tj,university
university,Tajik State Pedagogical University,http://www.tgpu.tj,tgpu.tj,university
university,Tajik State University of Commerce,http://www.tguk.tj/index.php/tj/,tguk.tj,university
government_agency,"Embassy of France, Dushanbe",https://tj.ambafrance.org,tj.ambafrance.org,central
government_agency,embassy of the United States in Tajikistan,https://tj.usembassy.gov,tj.usembassy.gov,central
university,Tajik National University,http://www.tnu.tj/,tnu.tj,university
university,"Tajikistan State University of Law, Business, & Politics",http://www.tsulbp.tj/en/,tsulbp.tj,university
university,Tajik Technical University,http://www.ttu.tj/,ttu.tj,university
university,Tajik Technical University,http://ttu.tj/en/main-en/,ttu.tj,university
government_agency,Ministry of Culture of Tajikistan,https://www.vfarhang.tj,vfarhang.tj,central
ministry,Ministry of Culture of Tajikistan,https://www.vfarhang.tj,vfarhang.tj,
