subdomain,http_status
3d.ashgabatcity.gov.tm,Could not resolve host: 3d.ashgabatcity.gov.tm
abuna.turkmenpost.gov.tm,Could not resolve host: abuna.turkmenpost.gov.tm
accauntant.turkmenpost.gov.tm,Could not resolve host: accauntant.turkmenpost.gov.tm
accountant.turkmenpost.gov.tm,Connection timed out after 3001 milliseconds
acs.gov.tm,Connection timed out after 3000 milliseconds
acs.senagatbank.gov.tm,Could not resolve host: acs.senagatbank.gov.tm
admin.bdb.gov.tm,Connection timed out after 3000 milliseconds
admin.turkmenmetbugat.gov.tm,200
adt.gov.tm,Could not resolve host: adt.gov.tm
aemtp.minjust.gov.tm,Could not resolve host: aemtp.minjust.gov.tm
afghanistan.tmembassy.gov.tm,200
agyzsuw.ashgabat.gov.tm,Connection timed out after 3000 milliseconds
ahalhakimlik.gov.tm,302
ahalkitaphana.gov.tm,Could not resolve host: ahalkitaphana.gov.tm
akb.gov.tm,Could not resolve host: akb.gov.tm
aktau.tmconsulate.gov.tm,200
aoc.gov.tm,302
api.dayhanbank.gov.tm,404
api.docs.minagri.gov.tm,Could not resolve host: api.docs.minagri.gov.tm
api.serhetabat-dovletabat.gov.tm,403
api.tfeb.gov.tm,Connection timed out after 3000 milliseconds
api.trl.gov.tm,403
app.mlsp.gov.tm,SSL: no alternative certificate subject name matches target hostname 'app.mlsp.gov.tm'
arassachylyk.gov.tm,200
archive.gov.tm,Connection timed out after 3001 milliseconds
armenia.tmembassy.gov.tm,200
ashauk.gov.tm,Connection timed out after 3001 milliseconds
ashgabat.gov.tm,403
ashgabatairport.gov.tm,SSL certificate problem: certificate has expired
ashgabatcity.gov.tm,200
ashgabatyylylyk.gov.tm,200
astrakhan.tmconsulate.gov.tm,200
asuda.gov.tm,200
atte.gov.tm,200
austria.tmembassy.gov.tm,200
auth.dayhanbank.gov.tm,302
auth.tfeb.gov.tm,Connection timed out after 3001 milliseconds
awaza.gov.tm,Could not resolve host: awaza.gov.tm
awazasport.gov.tm,Could not resolve host: awazasport.gov.tm
awtohyzmat.gov.tm,Could not resolve host: awtohyzmat.gov.tm
awtoulag.gov.tm,200
ayauk.gov.tm,200
azerbaijan.tmembassy.gov.tm,200
azykharytlar.gov.tm,Could not resolve host: azykharytlar.gov.tm
b24.tstb.gov.tm,Could not resolve host: b24.tstb.gov.tm
bagtkoshgi.gov.tm,302
bagtyyarlyk.gov.tm,200
balkan.gov.tm,302
balkanagyzsuw.gov.tm,Connection timed out after 3001 milliseconds
balkankitaphana.gov.tm,Connection timed out after 3001 milliseconds
balkanmuseum.gov.tm,200
balykgorag.gov.tm,200
bdb.gov.tm,Connection timed out after 3000 milliseconds
belarus.tmembassy.gov.tm,200
belgium.tmembassy.gov.tm,Could not resolve host: belgium.tmembassy.gov.tm
bellikal.fineconomic.gov.tm,Could not resolve host: bellikal.fineconomic.gov.tm
bit.cybersec.gov.tm,Could not resolve host: bit.cybersec.gov.tm
bp.gov.tm,Could not resolve host: bp.gov.tm
caa.gov.tm,403
capar.turkmenpost.gov.tm,SSL: no alternative certificate subject name matches target hostname 'capar.turkmenpost.gov.tm'
card.tbbank.gov.tm,Connection timed out after 3000 milliseconds
cci.gov.tm,200
cefavaza2019.gov.tm,Could not resolve host: cefavaza2019.gov.tm
centreg.gov.tm,200
cert.gov.tm,Could not resolve host: cert.gov.tm
chagalar-kitaphana.gov.tm,200
china.tmembassy.gov.tm,200
cld.bp.gov.tm,Could not resolve host: cld.bp.gov.tm
cld.fineconomic.gov.tm,Could not resolve host: cld.fineconomic.gov.tm
codes.trl.gov.tm,200
conference.gov.tm,SSL certificate problem: certificate has expired
construction.gov.tm,302
consular.tmembassy.gov.tm,200
content.turkmentv.gov.tm,Could not resolve host: content.turkmentv.gov.tm
court.gov.tm,200
crm.deg.gov.tm,Connection timed out after 3000 milliseconds
crm.iicmet.gov.tm,Could not resolve host: crm.iicmet.gov.tm
crm.tgu.gov.tm,Connection timed out after 3001 milliseconds
customs.gov.tm,200
cybersec.gov.tm,Could not resolve host: cybersec.gov.tm
dashoguz.gov.tm,200
dashoguzairport.gov.tm,301
dashoguzawtoulag.gov.tm,Could not resolve host: dashoguzawtoulag.gov.tm
dashoguzkitaphana.gov.tm,SSL certificate problem: certificate has expired
dashoguzmuseum.gov.tm,200
dayhanbank.gov.tm,200
deg.gov.tm,Connection timed out after 3002 milliseconds
demiryollary.gov.tm,Could not resolve host: demiryollary.gov.tm
democratic-party.gov.tm,Could not resolve host: democratic-party.gov.tm
doc.mincom.gov.tm,Connection timed out after 3001 milliseconds
doc.turkmenpost.gov.tm,Connection timed out after 3001 milliseconds
docc.mincom.gov.tm,Connection timed out after 3001 milliseconds
docs.bp.gov.tm,SSL certificate problem: certificate has expired
docs.minagri.gov.tm,Could not resolve host: docs.minagri.gov.tm
dovletkitaphana.gov.tm,200
drg.gov.tm,200
dtyb.gov.tm,SSL certificate problem: certificate has expired
e-hasabat.scct.gov.tm,Could not resolve host: e-hasabat.scct.gov.tm
e.ashgabat.gov.tm,200
e.fineconomic.gov.tm,200
e.gov.tm,Connection timed out after 3002 milliseconds
e.tax.gov.tm,SSL: no alternative certificate subject name matches target hostname 'e.tax.gov.tm'
eapp.migration.gov.tm,Connection timed out after 3001 milliseconds
ecom.tfeb.gov.tm,403
ecomt.tfeb.gov.tm,403
edu.ayauk.gov.tm,SSL certificate problem: certificate has expired
education.gov.tm,403
epg.senagatbank.gov.tm,Could not resolve host: epg.senagatbank.gov.tm
etalon.gov.tm,Could not resolve host: etalon.gov.tm
exchange.gov.tm,Could not resolve host: exchange.gov.tm
exp-e1.conference.gov.tm,Could not resolve host: exp-e1.conference.gov.tm
finance.trl.gov.tm,302
fineconomic.gov.tm,200
france.tmembassy.gov.tm,200
frankfurt.tmconsulate.gov.tm,200
garagumbank.gov.tm,Could not resolve host: garagumbank.gov.tm
georgia.tmembassy.gov.tm,200
germany.tmembassy.gov.tm,200
gozgalmayanemlakgullugy.gov.tm,200
gyrat.toleg.gov.tm,Could not resolve host: gyrat.toleg.gov.tm
halkbank.gov.tm,Could not resolve host: halkbank.gov.tm
haly.turkmenhali.gov.tm,Could not resolve host: haly.turkmenhali.gov.tm
herat.tmconsulate.gov.tm,200
hyzmat.ashgabat.gov.tm,Failed to connect to hyzmat.ashgabat.gov.tm port 443 after 593 ms: Could not connect to server
i.tfeb.gov.tm,302
ib.dayhanbank.gov.tm,301
ib.garagumbank.gov.tm,Could not resolve host: ib.garagumbank.gov.tm
ib.gov.tm,Connection timed out after 3002 milliseconds
ib.presidentbank.gov.tm,Could not resolve host: ib.presidentbank.gov.tm
ib.senagatbank.gov.tm,Could not resolve host: ib.senagatbank.gov.tm
ib.tbbank.gov.tm,Connection timed out after 3001 milliseconds
ib.tfeb.gov.tm,Connection timed out after 3001 milliseconds
ib.turkmenturkbank.gov.tm,Could not resolve host: ib.turkmenturkbank.gov.tm
ib2.senagatbank.gov.tm,Could not resolve host: ib2.senagatbank.gov.tm
ibc.senagatbank.gov.tm,Could not resolve host: ibc.senagatbank.gov.tm
ibtb.tbbank.gov.tm,Connection timed out after 3001 milliseconds
ibtest.tbbank.gov.tm,Connection timed out after 3000 milliseconds
id.gov.tm,Connection timed out after 3001 milliseconds
iicmet.gov.tm,200
india.tmembassy.gov.tm,200
influ.gov.tm,Connection timed out after 3001 milliseconds
instsld.gov.tm,200
insurance.gov.tm,200
invest.gov.tm,SSL certificate problem: certificate has expired
iran.tmembassy.gov.tm,200
istanbul.tmconsulate.gov.tm,200
italy.tmembassy.gov.tm,200
japan.tmembassy.gov.tm,200
join.conference.gov.tm,SSL certificate problem: certificate has expired
kakaserdartextile.gov.tm,Could not resolve host: kakaserdartextile.gov.tm
karende.gov.tm,200
kazakhstan.tmembassy.gov.tm,200
kopetdag.gov.tm,200
korea.tmembassy.gov.tm,Could not resolve host: korea.tmembassy.gov.tm
kyrgyzstan.tmembassy.gov.tm,200
lebap.gov.tm,200
lebapulag.gov.tm,Could not resolve host: lebapulag.gov.tm
liftgurlusykwebejeris.gov.tm,200
loan.tbbank.gov.tm,Connection timed out after 3002 milliseconds
m.pegas.gov.tm,Could not resolve host: m.pegas.gov.tm
mail.airlines.gov.tm,Could not resolve host: mail.airlines.gov.tm
mail.autotransport.gov.tm,Could not resolve host: mail.autotransport.gov.tm
mail.awtoulag.gov.tm,Could not resolve host: mail.awtoulag.gov.tm
mail.bp.gov.tm,Could not resolve host: mail.bp.gov.tm
mail.cci.gov.tm,Connection timed out after 3001 milliseconds
mail.communication.gov.tm,Could not resolve host: mail.communication.gov.tm
mail.cybersec.gov.tm,Could not resolve host: mail.cybersec.gov.tm
mail.education.gov.tm,Connection timed out after 3001 milliseconds
mail.gozgalmayanemlakgullugy.gov.tm,Could not resolve host: mail.gozgalmayanemlakgullugy.gov.tm
mail.industry.gov.tm,Connection timed out after 3001 milliseconds
mail.marineriverlines.gov.tm,Could not resolve host: mail.marineriverlines.gov.tm
mail.mic.gov.tm,Could not resolve host: mail.mic.gov.tm
mail.railway.gov.tm,Connection timed out after 3001 milliseconds
mail.tfeb.gov.tm,200
mail.tmrl.gov.tm,Could not resolve host: mail.tmrl.gov.tm
mail.tstb.gov.tm,SSL certificate problem: unable to get local issuer certificate
mail.turkmenhimiya.gov.tm,SSL: no alternative certificate subject name matches target hostname 'mail.turkmenhimiya.gov.tm'
malaysia.tmembassy.gov.tm,200
maliye-ykdysadyyet.gov.tm,Could not resolve host: maliye-ykdysadyyet.gov.tm
market.turkmenpost.gov.tm,Connection timed out after 3000 milliseconds
maryairport.gov.tm,200
maryhakimlik.gov.tm,302
marykitaphana.gov.tm,200
mashhad.tmconsulate.gov.tm,200
mazari.tmconsulate.gov.tm,200
mb.dayhanbank.gov.tm,Connection timed out after 3001 milliseconds
mb.gov.tm,Connection timed out after 3002 milliseconds
mb.presidentbank.gov.tm,Could not resolve host: mb.presidentbank.gov.tm
mb.senagatbank.gov.tm,Could not resolve host: mb.senagatbank.gov.tm
mb.tbbank.gov.tm,Connection timed out after 3001 milliseconds
mb.turkmenturkbank.gov.tm,Could not resolve host: mb.turkmenturkbank.gov.tm
medeniyet.gov.tm,Could not resolve host: medeniyet.gov.tm
mejlis.gov.tm,302
metbugat.gov.tm,200
meteo.gov.tm,Could not resolve host: meteo.gov.tm
mfa.gov.tm,200
micm.gov.tm,200
migration.gov.tm,Could not resolve host: migration.gov.tm
milligosun.gov.tm,200
minagri.gov.tm,200
mincom.gov.tm,302
minenergo.gov.tm,200
minfin.gov.tm,Could not resolve host: minfin.gov.tm
minjust.gov.tm,200
mintradefer.gov.tm,Could not resolve host: mintradefer.gov.tm
mlsp.gov.tm,403
mpi.gov.tm,Could not resolve host: mpi.gov.tm
msy.gov.tm,Could not resolve host: msy.gov.tm
museum.gov.tm,200
neutrality.gov.tm,Could not resolve host: neutrality.gov.tm
new.exchange.gov.tm,Could not resolve host: new.exchange.gov.tm
new.tbbank.gov.tm,Could not resolve host: new.tbbank.gov.tm
new.ttf.gov.tm,Connection timed out after 3001 milliseconds
nobat.migration.gov.tm,Connection timed out after 3002 milliseconds
notariat.gov.tm,Connection timed out after 3002 milliseconds
oilgas.gov.tm,302
ombudsman.gov.tm,200
online.gozgalmayanemlakgullugy.gov.tm,200
online.tbbank.gov.tm,Connection timed out after 3001 milliseconds
pakistan.tmembassy.gov.tm,200
panel.turkmenpost.gov.tm,Could not resolve host: panel.turkmenpost.gov.tm
pegas.gov.tm,Could not resolve host: pegas.gov.tm
pegasmobile.pegas.gov.tm,Could not resolve host: pegasmobile.pegas.gov.tm
pft.gov.tm,Could not resolve host: pft.gov.tm
port.gov.tm,Could not resolve host: port.gov.tm
pr.turkmenpost.gov.tm,Connection timed out after 3002 milliseconds
presidentbank.gov.tm,Could not resolve host: presidentbank.gov.tm
publicregistry.gov.tm,Could not resolve host: publicregistry.gov.tm
push.ashgabat2017.gov.tm,Could not resolve host: push.ashgabat2017.gov.tm
railway.gov.tm,200
red5.medeniyet.gov.tm,Could not resolve host: red5.medeniyet.gov.tm
