type,label,website,hostname,level
government_agency,embassy of Italy in Turkmenistan,https://ambashgabat.esteri.it,ambashgabat.esteri.it,central
government_agency,"Embassy of Germany, Ashgabat",https://aschgabat.diplo.de/,aschgabat.diplo.de,central
government_agency,"Embassy of Turkey, Ashgabat",https://ashgabat-emb.mfa.gov.tr,ashgabat-emb.mfa.gov.tr,central
government_agency,"Embassy of Romania, Ashgabat",https://ashgabat.mae.ro/,ashgabat.mae.ro,central
government_agency,Ministry of Internal Affairs,https://asuda.gov.tm/?lang=ru,asuda.gov.tm,central
ministry,Ministry of Internal Affairs,https://asuda.gov.tm/?lang=ru,asuda.gov.tm,
government_agency,Central Bank of Turkmenistan,http://www.cbt.tm,cbt.tm,
government_agency,Ministry of Construction,http://construction.gov.tm/,construction.gov.tm,central
ministry,Ministry of Construction,http://construction.gov.tm/,construction.gov.tm,
government_agency,State Customs Service of Turkmenistan,http://www.customs.gov.tm,customs.gov.tm,local
government_agency,Delegation of the European Union to Turkmenistan,https://eeas.europa.eu/delegations/turkmenistan_en,eeas.europa.eu,
government_agency,"Embassy of Saudi Arabia, Ashgabat",https://embassies.mofa.gov.sa/sites/Turkmenistan,embassies.mofa.gov.sa,central
government_agency,embassy of India in Turkmenistan,https://eoi.gov.in/ashgabat./,eoi.gov.in,central
government_agency,Union of Economists of Turkmenistan,http://www.eut.itgo.com/en/uet.html,eut.itgo.com,
government_agency,Ministry of Finance and Economy of Turkmenistan,https://fineconomic.gov.tm/ru,fineconomic.gov.tm,central
ministry,Ministry of Finance and Economy of Turkmenistan,https://fineconomic.gov.tm/ru,fineconomic.gov.tm,
government_agency,British Embassy Ashgabat,https://www.gov.uk/world/organisations/british-embassy-ashgabat,gov.uk,central
government_agency,"Embassy of Malaysia, Ashgabat",https://www.kln.gov.my/web/tkm_ashgabat/home,kln.gov.my,
ministry,Ministry of Culture,http://www.medeniyet.gov.tm,medeniyet.gov.tm,
government_agency,Ministry of Culture,http://www.medeniyet.gov.tm,medeniyet.gov.tm,central
parliament,Assembly of Turkmenistan,https://mejlis.gov.tm/,mejlis.gov.tm,central
supreme_court,Assembly of Turkmenistan,https://mejlis.gov.tm/,mejlis.gov.tm,central
ministry,Ministry of Foreign Affairs of Turkmenistan,http://www.mfa.gov.tm/,mfa.gov.tm,
government_agency,Ministry of Foreign Affairs of Turkmenistan,http://www.mfa.gov.tm/,mfa.gov.tm,central
government_agency,State Migration Service of Turkmenistan,http://www.migration.gov.tm,migration.gov.tm,
ministry,Ministry of Defense of Turkmenistan,http://www.milligosun.gov.tm,milligosun.gov.tm,
government_agency,Ministry of Defense of Turkmenistan,http://www.milligosun.gov.tm,milligosun.gov.tm,central
ministry,Ministry of Agriculture of Turkmenistan,http://minagri.gov.tm/,minagri.gov.tm,
government_agency,Ministry of Agriculture of Turkmenistan,http://minagri.gov.tm/,minagri.gov.tm,central
government_agency,Ministry of Energy (Turkmenistan),http://minenergo.gov.tm,minenergo.gov.tm,central
ministry,Ministry of Energy (Turkmenistan),http://minenergo.gov.tm,minenergo.gov.tm,
ministry,Ministry of Trade and Foreign Economic Relations,http://www.mintradefer.gov.tm/,mintradefer.gov.tm,
government_agency,Ministry of Trade and Foreign Economic Relations,http://www.mintradefer.gov.tm/,mintradefer.gov.tm,central
government_agency,"Embassy of the United Arab Emirates, Ashgabat",https://www.mofaic.gov.ae/en/missions/uae-missions-abroad/uae-missions-abroad-details?countryId=183f0ad1-aa45-4c11-b788-0753513c45ac,mofaic.gov.ae,central
ministry,Ministry of Railways,http://www.railway.gov.tm/,railway.gov.tm,
government_agency,Ministry of Railways,http://www.railway.gov.tm/,railway.gov.tm,central
government_agency,Ministry of Health,http://www.saglykhm.gov.tm/,saglykhm.gov.tm,central
ministry,Ministry of Health,http://www.saglykhm.gov.tm/,saglykhm.gov.tm,
ministry,Ministry of Sports,https://sportcom.gov.tm/ru,sportcom.gov.tm,
government_agency,Ministry of Sports,https://sportcom.gov.tm/ru,sportcom.gov.tm,central
government_agency,TÜRKMENSTAT,http://www.stat.gov.tm/,stat.gov.tm,central
government_agency,"Embassy of France, Aşgabat",https://tm.ambafrance.org,tm.ambafrance.org,central
government_agency,embassy of Japan in Turkmenistan,https://www.tm.emb-japan.go.jp,tm.emb-japan.go.jp,central
government_agency,US Embassy in Turkmenistan,https://tm.usembassy.gov,tm.usembassy.gov,central
government_agency,State Committee for Tourism of Turkmenistan,http://tourism.gov.tm/,tourism.gov.tm,central
ministry,State Committee for Tourism of Turkmenistan,http://tourism.gov.tm/,tourism.gov.tm,
government_agency,Turkmenistan National Space Agency,https://turkmencosmos.gov.tm/,turkmencosmos.gov.tm,
government_agency,embassy of Belarus in Turkmenistan,https://turkmenistan.mfa.gov.by,turkmenistan.mfa.gov.by,central
government_agency,"Embassy of Ukraine, Ashgabat",http://turkmenistan.mfa.gov.ua/,turkmenistan.mfa.gov.ua,central
government_agency,Embassy of Russia in Ashgabat,https://turkmenistan.mid.ru/,turkmenistan.mid.ru,central
government_agency,Ministry of the Textile Industry,http://turkmentextile.gov.tm/,turkmentextile.gov.tm,central
ministry,Ministry of the Textile Industry,http://turkmentextile.gov.tm/,turkmentextile.gov.tm,
