type,label,website,hostname,level
ministry,Ministry of Finance & National Planning,http://www.finance.gov.to/,finance.gov.to,
government_agency,Ministry of Finance & National Planning,http://www.finance.gov.to/,finance.gov.to,central
government_agency,British High Commission Nuku'alofa,https://www.gov.uk/world/organisations/british-high-commission-nukualofa,gov.uk,
government_agency,Ministry of Health,http://www.health.gov.to/,health.gov.to,central
ministry,Ministry of Health,http://www.health.gov.to/,health.gov.to,
government_agency,"Tongan Ministry of Land, Survey, and Natural Resources",https://www.lands.gov.to/,lands.gov.to,central
ministry,"Tongan Ministry of Land, Survey, and Natural Resources",https://www.lands.gov.to/,lands.gov.to,
ministry,Ministry of Agriculture and Forestry and Food,http://mafff.gov.to/,mafff.gov.to,
government_agency,Ministry of Agriculture and Forestry and Food,http://mafff.gov.to/,mafff.gov.to,central
government_agency,"High Commission of New Zealand, Nuku'alofa",https://www.mfat.govt.nz/en/countries-and-regions/pacific/tonga/new-zealand-high-commission/,mfat.govt.nz,central
supreme_court,Legislative Assembly of Tonga,https://parliament.gov.to/,parliament.gov.to,central
parliament,Legislative Assembly of Tonga,https://parliament.gov.to/,parliament.gov.to,central
government_agency,National Reserve Bank of Tonga,http://www.reservebank.to,reservebank.to,
government_agency,"Embassy of the People's Republic of China, Nuku'alofa",http://to.chineseembassy.org/chn/,to.chineseembassy.org,central
government_agency,"Embassy of the People's Republic of China, Nuku'alofa",http://to.chineseembassy.org/eng/,to.chineseembassy.org,central
government_agency,"Embassy of Japan, Nukuʻalofa",https://www.ton.emb-japan.go.jp/,ton.emb-japan.go.jp,central
government_agency,Australian high commission in Tonga,https://tonga.embassy.gov.au,tonga.embassy.gov.au,central
university,Tonga National University,https://tnu.edu.to/,tnu.edu.to,university
university,University of the South Pacific,https://www.usp.ac.fj/,usp.ac.fj,university
