subdomain,mx
access.wasa.gov.tt,none
accessedgeext01.gov.tt,none
accessedgext01.gov.tt,none
ag.gov.tt,25 inbound-smtp.us-east-1.amazonaws.com.; 0 ag-gov-tt.mail.protection.outlook.com.
agla.gov.tt,none
agriculture.gov.tt,none
api.mowt.gov.tt,none
apps.finance.gov.tt,none
apps.mowt.gov.tt,none
archive.finance.gov.tt,none
archive.fiu.gov.tt,none
areli.mpsd.gov.tt,20 mail.mpsd.gov.tt.; 5 mail2.mpsd.gov.tt.
arimaborough.gov.tt,none
artsandculture.gov.tt,none
att.urp.gov.tt,none
auditorgeneral.gov.tt,none
autodicover.nalis.gov.tt,none
autodiscover.ag.gov.tt,none
autodiscover.cityofportofspain.gov.tt,none
autodiscover.dpp.gov.tt,none
autodiscover.energy.gov.tt,none
autodiscover.envw.gov.tt,none
autodiscover.foreign.gov.tt,none
autodiscover.gov.tt,none
autodiscover.hacktt.gov.tt,none
autodiscover.hdc.gov.tt,none
autodiscover.ird.gov.tt,none
autodiscover.mns.gov.tt,none
autodiscover.mpa.gov.tt,none
autodiscover.mpsd.gov.tt,none
autodiscover.nalis.gov.tt,none
autodiscover.nedco.gov.tt,none
autodiscover.noc.gov.tt,none
autodiscover.pos.pai.gov.tt,none
autodiscover.poscorp.gov.tt,none
autodiscover.social.gov.tt,none
autodiscover.ssa.gov.tt,none
autodiscover.trha.gov.tt,none
autodiscover.ttps.gov.tt,none
autodiscover.wasa.gov.tt,none
av.wasa.gov.tt,none
biodiversity.gov.tt,none
caa.gov.tt,0 caa-gov-tt.mail.protection.outlook.com.
careers.ghrs.gov.tt,none
carib.customs.gov.tt,none
carmi.mpsd.gov.tt,5 mail2.mpsd.gov.tt.; 20 mail.mpsd.gov.tt.
cas.ssa.gov.tt,none
ccib.gov.tt,none
cdca.gov.tt,none
cdf.gov.tt,none
cdn.globalskills.gov.tt,none
cepep.gov.tt,none
cisl.gov.tt,none
citrix.mof.gov.tt,none
citrix.msd.gov.tt,none
citrix.ttps.gov.tt,none
cityofportofspain.gov.tt,none
cloudcontroller.moe.gov.tt,none
clouddrive.finance.gov.tt,none
communities.mpa.gov.tt,none
community.gov.tt,10 mail.community.gov.tt.
concessions.moe.gov.tt,none
conference.foreign.gov.tt,none
connect.auditorgeneral.gov.tt,none
connect.caa.gov.tt,none
contest.mowt.gov.tt,none
control.mowt.gov.tt,none
couva.mns.gov.tt,none
covid19.gov.tt,none
cpanel.arimaborough.gov.tt,none
cpanel.auditorgeneral.gov.tt,none
cpanel.biodiversity.gov.tt,none
cpanel.cisl.gov.tt,none
cpanel.cityofportofspain.gov.tt,none
