hostname,score,sources,label,level,http_status,mx
affaires-religieuses.tn,7,wikidata;wikidata,Ministry of Religious Affairs,central,302,5 mx6email.ingw.tn.; 5 mx5email.ingw.tn.
agriculture.tn,7,wikidata;wikidata,Ministry of Agriculture,central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,50 mx6email.ingw.tn.; 10 mx5email.ingw.tn.
defense.tn,7,wikidata;wikidata,Ministry of Defence,central,200,50 mx2defense.ingw.tn.; 20 mail.defense.tn.; 10 ksmg.defense.tn.; 40 mx1defense.ingw.tn.
mes.tn,7,wikidata;wikidata,Ministry of Higher Education and Scientific Research,central,ConnectException,10 mx3.rnu.tn.; 10 mx1.rnu.tn.; 10 mx2.rnu.tn.
mofaic.gov.ae,7,wikidata;wikidata,"Embassy of the United Arab Emirates, Tunis",central,IOException: HTTP/1.1 header parser received no bytes,20 smartmail2.fednet.gov.ae.; 10 smartmail1.fednet.gov.ae.
santetunisie.rns.tn,7,wikidata;wikidata,Ministry of Health,central,HttpConnectTimeoutException: HTTP connect timed out,none
sport.tn,7,wikidata;wikidata,Ministry of Youth and Sports,central,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching sport.tn found.,50 mx2email.ingw.tn.; 10 mx1email.ingw.tn.
transport.tn,7,wikidata;wikidata,Ministry of Transport,central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,50 mx6email.ingw.tn.; 10 mx5email.ingw.tn.
cassation.tn,6,wikidata,Court of Cassation,,ConnectException,none
afi.nat.tn,4,wikidata,Q136699374,,301,0 afi-nat-tn.mail.protection.outlook.com.
ambdz.tn,4,wikidata,"Embassy of Algeria, Tunis",central,ConnectException,0 mx02.ingw.orange.tn.; 0 mx04.ingw.orange.tn.; 0 mx01.ingw.orange.tn.; 0 mx03.ingw.orange.tn.
anged.nat.tn,4,wikidata,National Waste Management Agency,,ConnectException,0 mx20.gnet.tn.; 0 mx10.gnet.tn.
anm.nat.tn,4,wikidata,National Agency for Metrology,,301,5 mx4email.ingw.tn.; 5 mx3email.ingw.tn.
anme.nat.tn,4,wikidata,National Agency for Energy Management,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 mx3.topnetpro.com.; 0 mx2.topnetpro.com.; 0 mx1.topnetpro.com.
anpe.nat.tn,4,wikidata,National Environment Protection Agency,,301,0 mx2.topnetpro.com.; 0 mx3.topnetpro.com.; 0 mx1.topnetpro.com.
anpr.tn,4,wikidata,National Agency for Promotion of Research and Innovation,,301,1 mx1.ovh.net.; 100 mxb.ovh.net.; 5 mx2.ovh.net.
apal.nat.tn,4,wikidata,Agence de Protection et d'Aménagement du Littoral,,ConnectException,0 mx20.gnet.tn.; 0 mx10.gnet.tn.
apia.com.tn,4,wikidata,Q2826614,,301,0 mx20.gnet.tn.; 0 mx10.gnet.tn.
archives.nat.tn,4,wikidata,National Archives of Tunisia,,ConnectException,0 mx6email.ingw.tn.; 0 mx5email.ingw.tn.
arp.tn,4,wikidata,Assembly of the Representatives of the People,central,200,0 arp-tn.mail.protection.outlook.com.
atct.tn,4,wikidata,Q12251182,,301,20 mta1.atct.tn.; 10 mta2.atct.tn.
bibliotheque.nat.tn,4,wikidata,National Library of Tunisia,,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching bibliotheque.nat.tn found.,10 mx1email.ingw.tn.; 50 mx2email.ingw.tn.
ccicentre.org.tn,4,wikidata,Chambre de Commerce et d'Industrie du Centre,,HttpTimeoutException: request timed out,0 cp4.tn.oxa.host.
ccitunis.org.tn,4,wikidata,Chamber of Commerce and Industry of Tunis,,200,10 mail.ccitunis.org.tn.
cdn.tn,4,wikidata,National Documentation Center of Tunisia,,HttpConnectTimeoutException: HTTP connect timed out,10 mx1email.ingw.tn.; 50 mx2email.ingw.tn.
cepex.nat.tn,4,wikidata,Q2945390,,ConnectException,10 mx1email.ingw.tn.; 50 mx2email.ingw.tn.
cetiba.tn,4,wikidata,Q17175775,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 mx3.topnet.tn.; 0 mx1.topnet.tn.; 0 mx2.topnet.tn.
cetime.ind.tn,4,wikidata,Q17354146,,ConnectException,0 mx02.ingw.orange.tn.; 0 mx01.ingw.orange.tn.; 0 mx04.ingw.orange.tn.; 0 mx03.ingw.orange.tn.
cettex.com.tn,4,wikidata,Textile Technical Center,,ConnectException,0 mx1.topnet.tn.; 0 mx2.topnet.tn.; 0 mx3.topnet.tn.
citet.nat.tn,4,wikidata,Tunis International Center for Environmental Technologies,,HttpConnectTimeoutException: HTTP connect timed out,0 mx10.gnet.tn.; 0 mx20.gnet.tn.
cmf.tn,4,wikidata,Financial Market Council,,200,0 mx1.topnetpro.com.; 0 mx2.topnetpro.com.
cnam.nat.tn,4,wikidata,Q2933313,,ConnectException,10 mx01.ingw.orange.tn.; 0 smtp.cnam.nat.tn.; 10 mx02.ingw.orange.tn.; 10 mx04.ingw.orange.tn.; 10 mx03.ingw.orange.tn.
cnccleather.nat.tn,4,wikidata,National Center for Leather and Shoes,,ConnectException,50 mx2email.ingw.tn.; 10 mx1email.ingw.tn.
cni.nat.tn,4,wikidata,Centre National de l'Informatique,,ConnectException,10 mx1email.ingw.tn.; 50 mx2email.ingw.tn.
cnrd.tn,4,wikidata,National Council of Regions and Districts,central,301,50 mx5email.ingw.tn.; 10 mx6email.ingw.tn.
cnrps.nat.tn,4,wikidata,Q2933326,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 mx2.topnet.tn.; 0 mx1.topnet.tn.; 0 mx3.topnet.tn.
cnss.tn,4,wikidata,Q2933328,,ConnectException,10 mx1.topnet.tn.; 10 mx3.topnet.tn.; 10 mx2.topnet.tn.
cnudst.rnrt.tn,4,wikidata,University National Center of Scientific and Technical Documentation,,HttpConnectTimeoutException: HTTP connect timed out,10 mx3.rnu.tn.; 10 mx2.rnu.tn.; 10 mx1.rnu.tn.
ctaa.com.tn,4,wikidata,Agri-Food Technical Center,,301,0 mx1.topnetpro.com.; 0 mx3.topnetpro.com.; 0 mx2.topnetpro.com.
ctc.ind.tn,4,wikidata,Q17354144,,ConnectException,0 mx03.ingw.orange.tn.; 0 mx01.ingw.orange.tn.; 0 mx04.ingw.orange.tn.; 0 mx02.ingw.orange.tn.
ctmccv.ind.tn,4,wikidata,"Technical Center for Building Materials, Ceramics and Glass",,ConnectException,none
dpm.tn,4,wikidata,Q3029483,,HttpConnectTimeoutException: HTTP connect timed out,none
droitsdelhomme.org.tn,4,wikidata,High Commission for Human Rights and Fundamental Freedoms,,ConnectException,none
emploi.nat.tn,4,wikidata,Q2826683,,SSLHandshakeException: Remote host terminated the handshake,0 emploi-nat-tn.mail.protection.outlook.com.
etap.com.tn,4,wikidata,Tunisian National Oil Company,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,5 etap.in.tmes.trendmicro.eu.
haica.tn,4,wikidata,Haute Autorité Indépendante de la Communication Audiovisuelle,,302,50 mx2.mail.ovh.net.; 100 mx3.mail.ovh.net.; 1 mx0.mail.ovh.net.; 5 mx1.mail.ovh.net.
inlucc.tn,4,wikidata,Q22686290,,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching inlucc.tn found.,100 mxb.ovh.net.; 100 mx3.mail.ovh.net.; 5 mx1.mail.ovh.net.; 1 mx1.ovh.net.; 50 mx2.mail.ovh.net.; 5 mx2.ovh.net.; 1 mx0.mail.ovh.net.
