qid,label
Q233116,Ariana Governorate
Q238555,Ben Arous Governorate
Q241129,Bizerte Governorate
Q241145,Sfax Governorate
Q242263,Gabès Governorate
Q269968,Gafsa Governorate
Q276565,Sousse Governorate
Q276574,Kairouan Governorate
Q276576,Béja Governorate
Q276580,Jendouba Governorate
Q27916,Zaghouan Governorate
Q286063,Kebili Governorate
Q318102,Monastir Governorate
Q327045,Tataouine Governorate
Q327087,Medenine Governorate
Q327097,Sidi Bouzid Governorate
Q328109,Tunis Governorate
Q328115,Siliana Governorate
Q328145,Nabeul Governorate
Q328164,Mahdia Governorate
Q328199,Kef Governorate
Q388047,Kasserine Governorate
Q388059,Tozeur Governorate
Q734328,Manouba Governorate
