subdomain,parent_domain,http_status,mx
autodiscover.gov.tv,gov.tv,TLS connect error: error:0A000126:SSL routines::unexpected eof while reading,none
cabinet.gov.tv,gov.tv,302,none
climatechange.gov.tv,gov.tv,200,none
cnmaestro.gov.tv,gov.tv,Could not resolve host: cnmaestro.gov.tv,none
cpmo.gov.tv,gov.tv,200,none
crvs.gov.tv,gov.tv,301,none
csdb.gov.tv,gov.tv,Could not resolve host: csdb.gov.tv,none
culture.gov.tv,gov.tv,Could not resolve host: culture.gov.tv,none
dfa.gov.tv,gov.tv,Could not resolve host: dfa.gov.tv,none
drm.gov.tv,gov.tv,200,none
election.gov.tv,gov.tv,Could not resolve host: election.gov.tv,none
environment.gov.tv,gov.tv,200,none
ferry.tuvalu.gov.tv,gov.tv,200,none
finance.gov.tv,gov.tv,200,none
gender.gov.tv,gov.tv,200,none
gov.tv,gov.tv,Could not resolve host: gov.tv,1 ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.
homeaffairs.gov.tv,gov.tv,200,none
iakobaitaleli.gov.tv,gov.tv,Connection timed out after 3001 milliseconds,none
ict.gov.tv,gov.tv,200,5 ALT2.ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.; 1 ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.
italeliiakoba.gov.tv,gov.tv,Could not resolve host: italeliiakoba.gov.tv,none
link.gov.tv,gov.tv,404,25 track.smtp2go.net.
mail.gov.tv,gov.tv,TLS connect error: error:0A000126:SSL routines::unexpected eof while reading,none
mail.mfin.gov.tv,gov.tv,Could not resolve host: mail.mfin.gov.tv,none
marine.gov.tv,gov.tv,Could not resolve host: marine.gov.tv,none
met.gov.tv,gov.tv,Could not resolve host: met.gov.tv,none
meys.gov.tv,gov.tv,200,none
mfed.gov.tv,gov.tv,Could not resolve host: mfed.gov.tv,none
mfin.gov.tv,gov.tv,Could not resolve host: mfin.gov.tv,none
mhacce.gov.tv,gov.tv,Could not resolve host: mhacce.gov.tv,none
mlga.gov.tv,gov.tv,Could not resolve host: mlga.gov.tv,none
mteci.gov.tv,gov.tv,Could not resolve host: mteci.gov.tv,none
nto.kaupule.gov.tv,gov.tv,200,none
opl.gov.tv,gov.tv,SSL certificate problem: certificate has expired,none
parliament.gov.tv,gov.tv,200,none
portal.gov.tv,gov.tv,Could not resolve host: portal.gov.tv,none
psc.gov.tv,gov.tv,200,none
pwd.gov.tv,gov.tv,200,none
qa.crvs.gov.tv,gov.tv,Could not resolve host: qa.crvs.gov.tv,none
rt.gov.tv,gov.tv,Connection timed out after 3001 milliseconds,none
siritaleli.gov.tv,gov.tv,Could not resolve host: siritaleli.gov.tv,none
stats.gov.tv,gov.tv,200,none
temis.gov.tv,gov.tv,405,none
testingdomain.gov.tv,gov.tv,Could not resolve host: testingdomain.gov.tv,none
tourism.gov.tv,gov.tv,200,none
tpccbooking.gov.tv,gov.tv,Could not resolve host: tpccbooking.gov.tv,none
trade.gov.tv,gov.tv,200,none
tuv-ex13-01.gov.tv,gov.tv,Could not resolve host: tuv-ex13-01.gov.tv,none
tuv-fmis.gov.tv,gov.tv,Could not resolve host: tuv-fmis.gov.tv,none
tuvaluclimatechange.gov.tv,gov.tv,503,none
vpn.gov.tv,gov.tv,Connection timed out after 3000 milliseconds,none
webdisk.mfin.gov.tv,gov.tv,Could not resolve host: webdisk.mfin.gov.tv,none
www.cnmaestro.gov.tv,gov.tv,Could not resolve host: www.cnmaestro.gov.tv,none
www.gov.tv,gov.tv,Could not resolve host: www.gov.tv,none
www.mail.gov.tv,gov.tv,Could not resolve host: www.mail.gov.tv,none
www.mfed.gov.tv,gov.tv,Could not resolve host: www.mfed.gov.tv,none
www.opl.gov.tv,gov.tv,Could not resolve host: www.opl.gov.tv,none
www.temis.gov.tv,gov.tv,405,none
www.tuv-fmis.gov.tv,gov.tv,Could not resolve host: www.tuv-fmis.gov.tv,none
www.tuvaluclimatechange.gov.tv,gov.tv,503,none
www.vpn.gov.tv,gov.tv,Could not resolve host: www.vpn.gov.tv,none
