qid,label
Q110218,Mwanza
Q115318,Ruvuma Region
Q147116,Unguja North Region
Q153326,Singida Region
Q153329,Rukwa Region
Q153335,Tabora Region
Q153339,Shinyanga Region
Q180822,Mjini Magharibi Region
Q1960,Dar es Salaam
Q213268,Dodoma Region
Q243319,Morogoro
Q244509,Kigoma
Q309190,Kagera Region
Q309339,Lindi Region
Q309352,Iringa Region
Q328922,Kilimanjaro Region
Q329261,Arusha Region
Q331117,Manyara Region
Q331153,Mwanza Region
Q335548,Mbeya
Q389737,Tanga Region
Q458382,Mbeya Region
Q458388,Morogoro Region
Q458406,Mara Region
Q458412,Pwani Region
Q498067,South Pemba Region
Q498073,North Pemba Region
Q499465,Mtwara Region
Q557539,Dar es Salaam Region
Q643112,Tabora
Q643120,Unguja South Region
Q646684,Mtwara
Q7296,Mount Kilimanjaro
Q735609,Iringa
Q747943,Kigoma Region
Q818765,Shinyanga
Q829886,Lindi
