hostname,http_status,mx
afro.who.int,200,none
agriculture.go.ug,301,10 mx2.umcs.go.ug.; 10 mx1.umcs.go.ug.
bou.or.ug,200,0 bou-or-ug.mail.protection.outlook.com.
caa.go.ug,200,10 mail.caa.go.ug.
cmauganda.co.ug,200,10 mx1.umcs.go.ug.; 10 mx2.umcs.go.ug.
coctu.go.ug,200,0 _dc-mx.014b6bdfdcf6.coctu.go.ug.
dda.or.ug,ConnectException,none
dpf.or.ug,200,0 dpf-or-ug.mail.protection.outlook.com.
ec.or.ug,200,10 _dc-mx.e7b2da591525.ec.or.ug.
education.go.ug,301,10 mx1.umcs.go.ug.; 10 mx2.umcs.go.ug.
eeas.europa.eu,200,10 mxa-00338601.gslb.pphosted.com.; 10 mxb-00338601.gslb.pphosted.com.
energyandminerals.go.ug,ConnectException,none
eoc.go.ug,HttpConnectTimeoutException: HTTP connect timed out,10 mx1.umcs.go.ug.; 10 mx2.umcs.go.ug.
era.or.ug,403,none
fia.go.ug,HttpConnectTimeoutException: HTTP connect timed out,0 fia-go-ug.mail.protection.outlook.com.
finance.go.ug,200,10 mail.finance.go.ug.
freezones.go.ug,HttpConnectTimeoutException: HTTP connect timed out,none
gou.go.ug,SSLHandshakeException: (certificate_expired) PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed,10 mx2.umcs.go.ug.; 10 mx1.umcs.go.ug.
health.go.ug,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mx1.umcs.go.ug.; 10 mx2.umcs.go.ug.
ict.go.ug,200,10 mx1.umcs.go.ug.; 10 mx2.umcs.go.ug.
igg.go.ug,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 igg-go-ug.mail.protection.outlook.com.
ira.go.ug,200,0 mail.ira.go.ug.; 20 mail.ira.go.ug.
kampala.diplo.de,200,10 mx1.bund.de.; 10 mx2.bund.de.
kumi.go.ug,HttpConnectTimeoutException: HTTP connect timed out,0 _dc-mx.32ebc3a2a235.kumi.go.ug.
meaca.go.ug,200,10 mx2.umcs.go.ug.; 10 mx1.umcs.go.ug.
mglsd.go.ug,200,10 mx2.umcs.go.ug.; 10 mta2.umcs.go.ug.; 10 mx1.umcs.go.ug.; 10 mta1.umcs.go.ug.
