qid,label
Q1028215,Gulu District
Q1032233,Masaka District
Q1032238,Masindi District
Q1032245,Kanungu District
Q104037541,Kalaki District
Q1091337,Soroti District
Q1091595,Mbarara District
Q1114868,Bulambuli District
Q1114885,Kibuku District
Q1114903,Ngora District
Q1114915,Namayingo District
Q1114927,Serere District
Q1114938,Buyende District
Q1114954,Lwengo District
Q1114977,Luuka District
Q1151062,Kumi District
Q1151066,Mukono District
Q1186535,Hoima District
Q1186541,Tororo District
Q1207391,Kayunga District
Q1229734,Adjumani District
Q1229750,Apac District
Q1229758,Arua District
Q1229793,Buliisa District
Q1229797,Bushenyi District
Q1229798,Bugiri District
Q1229800,Busia District
Q1229869,Iganga District
Q1229881,Kaabong District
Q1229906,Kaberamaido District
Q1229910,Kabarole District
Q1229919,Kasese District
Q1229921,Kapchorwa District
Q1229930,Katakwi District
Q1230005,Mityana District
Q1230035,Pader District
Q1318806,Kamwenge District
Q1318815,Kyenjojo District
Q1318822,Amolatar District
Q1318833,Oyam District
Q1318843,Kotido District
Q1318857,Koboko District
Q1318865,Kiruhura District
Q1318872,Dokolo District
Q1318877,Ibanda District
Q1318887,Isingiro District
Q1362085,Budaka District
Q1362109,Mpigi District
Q1362129,Bundibugyo District
Q1362587,Yumbe District
Q1364817,Luwero District
Q1364824,Mayuge District
Q1365449,Bududa District
Q1375755,Butaleja District
Q1375762,Amuria District
Q1375771,Amuru District
Q1375780,Abim District
Q1375789,Manafwa District
Q1375812,Bukedea District
Q1375819,Namutumba District
Q1375825,Nebbi District
Q1375835,Sironko District
Q1375843,Pallisa District
Q1375850,Moroto District
Q1375853,Nakapiripirit District
Q1375859,Kaliro District
Q1375868,Bukwo District
Q1375878,Lyantonde District
Q164474,Kamuli District
Q204642,Ntungamo District
Q206519,Lira District
Q2183668,Moyo District
Q289419,Rukungiri District
Q3321599,Bukomansimbi District
Q3321608,Buvuma District
Q3321614,Kalungu District
Q3321622,Butambala District
Q3321631,Buikwe District
Q3321637,Gomba District
Q3321998,Kween District
Q3526470,Kabale District
Q3536053,Agago District
Q3536082,Alebtong District
Q3536116,Amudat District
Q3537661,Buhweju District
Q3539116,Kiryandongo District
Q3539151,Kole District
Q3539256,Kyegegwa District
Q3539277,Lamwo District
Q3539414,Mitooma District
Q3539495,Napak District
Q3539547,Ntoroko District
Q3539572,Nwoya District
Q3539602,Otuke District
Q3539648,Rubirizi District
Q3539711,Sheema District
Q3539730,Zombo District
Q38249480,Kakumiro District
Q38249484,Kagadi District
Q38249546,Kyotera District
Q38249567,Pakwach District
Q38249597,Omoro District
Q38249602,Rubanda District
Q38249615,Rukiga District
Q38249629,Bunyangabu District
Q432438,Nakaseke District
Q44377523,Butebo District
Q44380663,Namisindwa District
Q500162,Kitgum District
Q534203,Kyankwanzi District
Q580538,Kisoro District
Q581822,Mbale District
Q588927,Maracha District
Q604966,Kibaale District
Q60766910,Nabilatuk District
Q60769694,Bugweri District
Q60769695,Kassanda District
Q60769698,Kapelebyong District
Q60769699,Kwania District
Q60769700,Kikuube District
Q85774640,Kitagwenda District
Q85798241,Rwampara district
Q867219,Kalangala District
Q891962,Mubende District
Q892064,Kiboga District
Q926417,Kampala District
Q97160187,Obongi District
Q97487774,Karenga District
Q97487775,Kazo District
Q97487779,Madi-Okollo District
Q976848,Wakiso District
Q976859,Nakasongola District
Q976873,Rakai District
Q976883,Ssembabule District
Q983748,Jinja District
