hostname,score,sources,label,level,http_status,mx
gdip.com.ua,7,wikidata;wikidata,Directorate-General for Rendering Services to Diplomatic Missions,,200,10 mail.gdip.com.ua.
gromady.cv.ua,7,wikidata;wikidata,Krasnoiilska selyshchna rada | Storozhynetska miska rada,,HttpConnectTimeoutException: HTTP connect timed out,none
phc.org.ua,7,wikidata;wikidata,Center for Public Health of the Ministry of Health of Ukraine,,200,0 phc-org-ua.mail.protection.outlook.com.
rada.crimea.ua,7,wikidata;wikidata,Supreme Council of Crimea,central-1,200,56 route3.mx.cloudflare.net.; 13 route1.mx.cloudflare.net.; 89 route2.mx.cloudflare.net.
ubi.org.ua,7,wikidata;wikidata,Ukrainian Book Institute,,302,1 aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.
ucf.in.ua,7,wikidata;wikidata,Ukrainian Cultural Foundation,central,200,5 alt1.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 1 aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.
chernivtsy.eu,6,wikidata;wikidata,Q16723280 | Chernivetska miska rada,,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching chernivtsy.eu found.,none
eeas.europa.eu,6,wikidata;wikidata,Delegation of the European Union to Ukraine,,200,10 mxb-00338601.gslb.pphosted.com.; 10 mxa-00338601.gslb.pphosted.com.
facebook.com,6,wikidata;wikidata,Probation in Ukraine | Q20092493,,ConnectException,none
nederlandwereldwijd.nl,6,wikidata;wikidata,"Embassy of the Netherlands, Kyiv",central,301,0 .
pijarzy.pl,6,wikidata;wikidata,Piarist province of Poland,,200,10 poczta.pijarzy.pl.
ukrpatent.org,6,wikidata;wikidata,Ukrainian Institute of Industrial Property,,302,20 mail.nipo.gov.ua.
ww2.gov.if.ua,5,wikidata,Q12083768,,403,none
afghanembassy.com.ua,4,wikidata,"Embassy of Afghanistan, Kyiv",central,301,0 mx.services.
agroscience-publishing.org.ua,4,wikidata,Agrarian Science State Publishing House of the National Academy of Agrarian Sciences of Ukraine,,301,0 mx.services.
