hostname,http_status,mx
afghanembassy.com.ua,301,0 mx.services.
agroscience-publishing.org.ua,301,0 mx.services.
algerianembassy.kiev.ua,ConnectException,none
bcdst.kiev.ua,200,10 centr.bcdst.kiev.ua.
beregszasz.mfa.gov.hu,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 maila.beregszasz.mfa.gov.hu.; 10 mailb.beregszasz.mfa.gov.hu.
berezivska.rada.org.ua,403,none
berezne-rada.rv.ua,200,none
berrayrada.ks.ua,301,none
bilozerka-rada.ks.ua,ConnectException,none
bkselrada.ucoz.ua,200,none
bliznjuki.org.ua,ConnectException,none
bobr-rada.com.ua,SSLHandshakeException: (certificate_expired) PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed,none
bogodukhov-city.com.ua,301,none
bratska.selrada.org.ua,403,none
brovarki.rada.org.ua,403,none
bryuhovychi.com,IOException: Received RST_STREAM: Protocol error,none
bugaivka.rada.org.ua,403,none
buvr.kherson.ua,ConnectException,none
buvrd.org.ua,200,0 mx.services.
ceti-nasu.org.ua,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mx1.mirohost.net.
cherepashineck.kalynivka-rr.org.ua,HttpConnectTimeoutException: HTTP connect timed out,none
chernivci.rada.org.ua,403,none
chernivtsy.eu,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching chernivtsy.eu found.,none
chervrada.kharkov.ua,ConnectException,none
chornobay.rada.org.ua,403,none
chortkivrr.te.ua,ConnectException,none
cmhmda.org.ua,301,10 mx1.mirohost.net.
cntei.kiev.ua,ConnectException,none
cubadiplomatica.cu,ConnectException,none
ddcentr.org.ua,ConnectException,none
demydivska.gromada.org.ua,403,none
der.org.ua,200,0 der.org.ua.
diplomatie.ma,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
dndi-systema.lviv.ua,200,10 mail.dndi-systema.lviv.ua.
dneprorudnoe.org,ConnectException,none
dolmiskrada.org.ua,200,none
druzhba.rada.org.ua,403,none
dubechnenska.gromada.org.ua,403,none
dubno-adm.rv.ua,301,30 relay1.litech.net.
dubove.in.ua,ConnectException,none
dubrmrada.rv.ua,ConnectException,none
dykanka.rada.org.ua,403,none
dymer.rada.org.ua,403,none
dzerzhrada.kharkov.ua,ConnectException,none
eeas.europa.eu,200,10 mxb-00338601.gslb.pphosted.com.; 10 mxa-00338601.gslb.pphosted.com.
elanec.rada.org.ua,403,none
emrada.in.ua,200,92 route3.mx.cloudflare.net.; 51 route2.mx.cloudflare.net.; 50 route1.mx.cloudflare.net.
estemb.kiev.ua,HttpConnectTimeoutException: HTTP connect timed out,none
eucra.mrecic.gov.ar,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
facebook.com,ConnectException,none
finlandabroad.fi,301,10 mail.valtori.fi.
fri.vin.ua,200,10 mail.fri.vin.ua.
gadiach.osp-ua.info,ConnectException,none
gaspra-ps.crimea.ua,ConnectException,none
gdip.com.ua,200,10 mail.gdip.com.ua.
gki.com.ua,302,10 aspmx5.googlemail.com.; 20 alt3.aspmx.l.google.com.; 20 alt2.aspmx.l.google.com.; 20 alt1.aspmx.l.google.com.; 20 alt4.aspmx.l.google.com.
gluhiv.net,ConnectException,none
gogoleve.rada.org.ua,403,none
golovanivsk-rada.com.ua,200,none
goprirada.com,ConnectException,none
gorby.rada.org.ua,403,none
gorn-vlada.ks.ua,200,0 mx.services.
gorrayrada.if.ua,200,none
gromady.cv.ua,HttpConnectTimeoutException: HTTP connect timed out,none
gs.sev.sudrf.ru,200,none
hadiach-rajon-vlada.org.ua,ConnectException,none
hmilnyk.osp-ua.info,ConnectException,none
husyatyn.te.ua,ConnectException,none
iae.org.ua,HttpConnectTimeoutException: HTTP connect timed out,20 mx20.ukraine.com.ua.; 15 mail.iae.kiev.ua.
icbge.org.ua,301,10 mx1.mirohost.net.
icsanaas.com.ua,200,none
ierdu.org.ua,200,10 smtp.google.com.
inmo.org.ua,200,1 mail.inmo.org.ua.
institut-zerna.com,200,10 mx10.ukraine.com.ua.; 20 mx20.ukraine.com.ua.; 15 mx15.ukraine.com.ua.
instytutpolski.pl,IOException: Received RST_STREAM: Internal error,10 mx1.instytutpolski.pl.
ipk.edu.ua,ConnectException,none
iraqiembassy.com.ua,HttpTimeoutException: request timed out,none
iul-nasu.org.ua,200,10 mail.iul-nasu.org.ua.
iv-selysche.rada.org.ua,403,none
ivaselrada.com.ua,301,none
ivrada.com.ua,301,none
ivrada.ks.ua,HttpConnectTimeoutException: HTTP connect timed out,none
just.lviv.ua,ConnectException,none
justic.kh.ua,SSLHandshakeException: (handshake_failure) Received fatal alert: handshake_failure,none
kagarlyk.org.ua,404,none
kalushciti.if.ua,ConnectException,none
kbv.zp.ua,SSLHandshakeException: (handshake_failure) Received fatal alert: handshake_failure,none
kiev.mae.ro,503,none
kiev.mfa.ir,307,none
kievrik.kharkov.ua,ConnectException,none
kijev.mfa.gov.hu,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
kijev.veleposlanistvo.si,SSLHandshakeException: Remote host terminated the handshake,none
kirovskoe-dp.org,ConnectException,none
kolky.rada.org.ua,403,none
komrada.kharkov.ua,ConnectException,none
korec-misto.rv.ua,ConnectException,none
koretsrada.in.ua,ConnectException,none
korosten-rayrada.in.ua,ConnectException,10 closed.imena.ua.
kosivmr.if.ua,301,0 mx.services.
kosivrada.if.ua,200,0 mx.ukraine.com.ua.
kotelva-sr.ucoz.ua,200,none
kozacka.rada.org.ua,403,none
kozelshyna.rada.org.ua,403,none
krada.da.zp.ua,301,none
krasrada.sumy.ua,ConnectException,none
krasyliv.org.ua,ConnectException,none
kupevate.rada.org.ua,403,none
kuty.rada.org.ua,403,none
kyiv.embassy.qa,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
kyrgyzembassy.com.ua,ConnectException,none
lanivtsi.org.ua,ConnectException,none
lbmrada.lt.ukrtel.net,ConnectException,10 mail.lt.ukrtel.net.
lebanonembassy.org.ua,403,none
lebedyn.info,HttpConnectTimeoutException: HTTP connect timed out,10 eforward2.registrar-servers.com.; 10 eforward3.registrar-servers.com.; 10 eforward1.registrar-servers.com.; 15 eforward4.registrar-servers.com.; 20 eforward5.registrar-servers.com.
lenrada.kharkov.ua,ConnectException,none
lib.uabs.edu.ua,ConnectException,none
lityn-selrada.com.ua,301,none
lubotin.kharkov.ua,301,0 _dc-mx.f5885919f17c.lubotin.kharkov.ua.
manzheliya.rada.org.ua,403,none
marganets-rada.dp.ua,301,20 mx20.ukraine.com.ua.; 15 mx15.ukraine.com.ua.
mfa.bg,302,0 mfa-bg.mail.protection.outlook.com.
mfa.gr,403,10 mailhost.mfa.gr.
mfa.kz,ConnectException,1 mgw.gov.kz.
mgorodok.km.ua,ConnectException,none
mihajlivka.rada.org.ua,403,none
mirgorod.osp-ua.info,ConnectException,none
miska-rada.com.ua,301,0 mx.ukraine.com.ua.
miskrada.sokal.lviv.ua,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching miskrada.sokal.lviv.ua found.,none
misto-zinkiv.com.ua,SSLHandshakeException: (handshake_failure) Received fatal alert: handshake_failure,none
mofaic.gov.ae,IOException: HTTP/1.1 header parser received no bytes,10 smartmail1.fednet.gov.ae.; 20 smartmail2.fednet.gov.ae.
monastyryska.rayrada.org.ua,403,none
mrik.kharkov.ua,ConnectException,none
mrprim.zp.ua,HttpConnectTimeoutException: HTTP connect timed out,none
mykolaiv-misto.lviv.ua,ConnectException,none
mykolaiv.lviv.ua,200,none
mykolayvka.rada.org.ua,403,none
mzv.cz,302,50 mzvczemta05.mzv.cz.; 10 mzvczemta06.mzv.cz.
mzv.sk,403,10 mail.gov.sk.
nato.int,301,20 mailstream-west.mxrecord.io.; 5 mailstream-eu1.mxrecord.io.; 20 mailstream-east.mxrecord.io.; 10 mailstream-central.mxrecord.mx.
ndekc.lviv.ua,200,10 mail.ndekc.lviv.ua.
ndiop.kiev.ua,200,20 mx2.zoho.com.; 10 mx.zoho.com.
nederlandwereldwijd.nl,301,0 .
nedr-rr.org.ua,ConnectException,none
