type,label,website,hostname
parliament,"Q22696032","http://slobidka.kl.com.ua/",slobidka.kl.com.ua
parliament,"Savran Town council","http://savranrada.odessa.ua",savranrada.odessa.ua
parliament,"Kharkiv Oblast Council","http://oblrada.kharkov.ua/",oblrada.kharkov.ua
parliament,"Q96483151","http://rozhrada.volyn.ua/",rozhrada.volyn.ua
parliament,"Chernivtsi Oblast Council","http://oblrada.cv.ua/",oblrada.cv.ua
parliament,"Luhansk Oblast Council","http://www.oblrada.lg.ua/",oblrada.lg.ua
parliament,"Kremenets Raion council","http://rairadakremenets.org/",rairadakremenets.org
parliament,"Q93277134","https://r-rada.lutsk.ua/",r-rada.lutsk.ua
parliament,"Q93363311","http://www.berezne-rada.rv.ua/",berezne-rada.rv.ua
parliament,"Kirovohrad Oblast Council","https://oblrada.kr.ua/",oblrada.kr.ua
parliament,"Dnipropetrovsk Oblast Council","http://www.oblrada.dp.ua/",oblrada.dp.ua
parliament,"Orativskyi Raion","http://yakimivka.rada.org.ua/",yakimivka.rada.org.ua
parliament,"Q100235469","http://zarrada.org/",zarrada.org
parliament,"Q100565356","http://zdolbrada.rv.ua/",zdolbrada.rv.ua
parliament,"Lanivtsi Raion council","http://lanivtsi.org.ua/",lanivtsi.org.ua
parliament,"Terebovlia Raion council","http://terebrada.te.ua/",terebrada.te.ua
parliament,"Ternopil Raion Council","http://www.trrada.te.ua/",trrada.te.ua
parliament,"Q94654582","http://korosten-rayrada.in.ua/",korosten-rayrada.in.ua
parliament,"Q94699063","http://xn--h1aahjhy.xn--j1amh/index.php",xn--h1aahjhy.xn--j1amh
parliament,"Supreme Council of Crimea","http://www.rada.crimea.ua/ua/",rada.crimea.ua
parliament,"Q19936632","http://novovoroncovka.rada.org.ua/",novovoroncovka.rada.org.ua
parliament,"Q20073074","http://www.rrada.ber.te.ua/",rrada.ber.te.ua
parliament,"Q20073124","http://berrayrada.ks.ua/",berrayrada.ks.ua
parliament,"Q20073384","http://ivrada.ks.ua/",ivrada.ks.ua
parliament,"Q20073776","http://bobr-rada.com.ua/",bobr-rada.com.ua
parliament,"Q20074215","http://bilozerka-rada.ks.ua/",bilozerka-rada.ks.ua
parliament,"Q20074491","http://rogachik-rada.ks.ua/",rogachik-rada.ks.ua
