type,label,website,hostname,level
constitutional_court,Stonecrest,http://(www.stonecrestga.gov),(www.stonecrestga.gov),
government_agency,Stonecrest,http://(www.stonecrestga.gov),(www.stonecrestga.gov),
government_agency,Ohio Eleventh District Court of Appeals,http://www.11thcourt.co.trumbull.oh.us/,11thcourt.co.trumbull.oh.us,local
government_agency,Ohio Twelfth District Court of Appeals,https://12thdca.com/,12thdca.com,local
government_agency,Clarendon School District,http://170.211.211.208/lionsden/,170.211.211.208,
government_agency,Addison,http://24.75.48.45/website/sesssite/addisonlist.html,24.75.48.45,
constitutional_court,Addison,http://24.75.48.45/website/sesssite/addisonlist.html,24.75.48.45,
constitutional_court,24hrdoc,https://www.24hrdoc.com/,24hrdoc.com,
government_agency,24hrdoc,https://www.24hrdoc.com/,24hrdoc.com,
government_agency,Port Orford-Langlois School District No. 2CJ,https://www.2cj.com/,2cj.com,
constitutional_court,Port Orford-Langlois School District No. 2CJ,https://www.2cj.com/,2cj.com,
constitutional_court,El Dorado,http://www.360eldorado.com/Government/CityofElDorado.html,360eldorado.com,
government_agency,El Dorado,http://www.360eldorado.com/Government/CityofElDorado.html,360eldorado.com,
government_agency,Contra Costa Community College District Police Department,https://www.4cd.edu/pd/index.html,4cd.edu,
government_agency,Eugene School District,https://4j.lane.edu/,4j.lane.edu,
constitutional_court,Noel,http://www.4noel.com/,4noel.com,
government_agency,Noel,http://www.4noel.com/,4noel.com,
government_agency,Ohio Fourth District Court of Appeals,https://www.4thdistrictappeals.com/,4thdistrictappeals.com,local
government_agency,511NY,https://511ny.org/,511ny.org,central-1
government_agency,59th Medical Wing,http://www.59mdw.af.mil/News/ArticleDisplay/tabid/2553/Article/407547/359th-medical-operations-squadron-welcomes-new-commander.aspx,59mdw.af.mil,
government_agency,82nd Airborne Division War Memorial Museum,https://www.82ndairbornedivisionmuseum.com,82ndairbornedivisionmuseum.com,
government_agency,Nine Mile Falls School District,https://www.9mile.org/,9mile.org,
government_agency,Ann Arbor,https://www.a2gov.org/,a2gov.org,
constitutional_court,Ann Arbor,https://www.a2gov.org/,a2gov.org,
government_agency,Ann Arbor Department of Parks and Recreation,https://www.a2gov.org/parks-and-recreation,a2gov.org,local
government_agency,Ann Arbor Public Schools,https://www.a2schools.org/,a2schools.org,
government_agency,Mayor’s Anti-Animal Abuse Advisory Commission,https://aaac.baltimorecity.gov/,aaac.baltimorecity.gov,
government_agency,New Jersey Commission on Higher Education,https://www.aacc.nche.edu/college/new-jersey-commission-of-higher-education/,aacc.nche.edu,
government_agency,Anne Arundel County Police Department,https://www.aacounty.org/departments/police-department/index.html,aacounty.org,local
government_agency,Anne Arundel County Sheriff's Office,http://www.aacounty.org/Sheriff/index.cfm,aacounty.org,local
government_agency,Anne Arundel County Public Schools,https://www.aacps.org/,aacps.org,local
government_agency,Ann Arbor District Library,https://aadl.org,aadl.org,
government_agency,North Carolina African American Heritage Commission,https://aahc.nc.gov/about-us/commissioners,aahc.nc.gov,central-1
government_agency,Appleton Area School District,https://www.aasd.k12.wi.us/,aasd.k12.wi.us,
government_agency,Altoona Area School District,http://www.aasdcat.com/,aasdcat.com,
government_agency,Association of Bay Area Governments,https://abag.ca.gov/,abag.ca.gov,local
government_agency,Abbeville,http://www.abbevillecitysc.com/,abbevillecitysc.com,
constitutional_court,Abbeville,http://www.abbevillecitysc.com/,abbevillecitysc.com,
government_agency,Abbeville,http://www.abbevillegeorgia.org,abbevillegeorgia.org,
constitutional_court,Abbeville,http://www.abbevillegeorgia.org,abbevillegeorgia.org,
government_agency,Abbotsford School District,https://www.abbotsford.k12.wi.us/,abbotsford.k12.wi.us,
government_agency,California Department of Alcoholic Beverage Control,http://www.abc.ca.gov/,abc.ca.gov,central-1
government_agency,North Carolina Alcoholic Beverage Control Commission,https://www.abc.nc.gov/,abc.nc.gov,central-1
government_agency,Utah Department of Alcoholic Beverage Services,http://abc.utah.gov/index.html,abc.utah.gov,central-1
government_agency,Virginia Department of Alcoholic Beverage Control,https://www.abc.virginia.gov/,abc.virginia.gov,central-1
government_agency,California Alcoholic Beverage Control Appeals Board,https://abcab.ca.gov/,abcab.ca.gov,central-1
government_agency,ABC Unified School District,https://www.abcusd.us/,abcusd.us,
government_agency,Iowa Alcoholic Beverages Division,https://abd.iowa.gov%20Iowa%20Alcoholic%20Beverages%20Division,abd.iowa.gov%20iowa%20alcoholic%20beverages%20division,central-1
government_agency,Aberdeen,http://www.aberdeen-md.org,aberdeen-md.org,
constitutional_court,Aberdeen,http://www.aberdeen-md.org,aberdeen-md.org,
government_agency,Aberdeen School District,http://www.aberdeen.k12.sd.us,aberdeen.k12.sd.us,
