hostname,http_status,mx
cbu.uz,200,10 mail.cbu.uz.; 20 mail.cbu.uz.
davaktiv.uz,301,10 mail.davaktiv.uz.
eeas.europa.eu,200,10 mxa-00338601.gslb.pphosted.com.; 10 mxb-00338601.gslb.pphosted.com.
hydroengeo.uz,307,none
ich.uz,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mail.ich.uz.
iiv.uz,ConnectException,10 mx2.cm.uz.; 10 mx1.cm.uz.
indembassy.uz,SSLHandshakeException: (handshake_failure) Received fatal alert: handshake_failure,none
ingeo.uz,200,10 mail.ingeo.uz.
joqargikenes.uz,302,10 mail.joqargikenes.uz.
kti.iiv.uz,200,none
mc.uz,301,10 mail.mc.uz.
mdo.uz,HttpConnectTimeoutException: HTTP connect timed out,10 mail.mdo.uz.
mehnat.uz,301,10 mail.mehnat.uz.
meteo.uz,301,10 mail.meteo.uz.
mfa.bg,302,0 mfa-bg.mail.protection.outlook.com.
mfa.uz,301,10 mail.mfa.uz.
mininnovation.uz,504,10 mail.mininnovation.uz.
minjust.uz,301,10 mail.minjust.uz.
minzdrav.uz,HttpConnectTimeoutException: HTTP connect timed out,dig error
mofaic.gov.ae,IOException: HTTP/1.1 header parser received no bytes,10 smartmail1.fednet.gov.ae.; 20 smartmail2.fednet.gov.ae.
motas.uz,HttpConnectTimeoutException: HTTP connect timed out,none
mudofaa.uz,403,0 mail.mudofaa.uz.
mzv.cz,302,10 mzvczemta06.mzv.cz.; 50 mzvczemta05.mzv.cz.
mzv.sk,301,10 mail.gov.sk.
napp.uz,302,10 mail.napm.uz.
natlib.uz,302,10 mail.natlib.uz.
nim.uz,200,10 mail.nim.uz.
research-center.uz,303,0 research-center.uz.; 10 mail-backup.webspace.uz.
stat.uz,301,20 mail3.stat.uz.; 10 mail.stat.uz.
sud.uz,HttpConnectTimeoutException: HTTP connect timed out,10 mail.sud.uz.
taschkent.diplo.de,200,10 mx2.bund.de.; 10 mx1.bund.de.
taskent.mae.ro,503,none
ugriti.uz,ConnectException,none
uz.ambafrance.org,301,none
uza.uz,302,10 mail.uza.uz.
uzbekistan.mid.ru,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
uzedu.uz,301,10 mail.uzedu.uz.
uzpharm-control.uz,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mail.uzpharm-control.uz.
