type,label,website,hostname,level
university,Andijan State University,http://www.adu.uz,adu.uz,university
university,Al-Khwarizmi University,https://akhu.uz,akhu.uz,university
university,American University of Technology,https://aut-edu.uz/,aut-edu.uz,university
university,Bukhara Innovative Education and Medical University,https://bitu.uz,bitu.uz,university
university,Bukhara University of Innovation,https://bui.uz/,bui.uz,university
university,Bukhara State University,http://www.buxdu.uz/,buxdu.uz,university
university,Central Asian University of Environmental and Climate Change Studies (Green University),https://caguniversity.uz/,caguniversity.uz,university
government_agency,Central Bank of Uzbekistan,http://www.cbu.uz/uz,cbu.uz,
university,Central Asian University,https://centralasian.uz/,centralasian.uz,university
university,Chirchik State Pedagogical University,https://cspi.uz/,cspi.uz,university
university,Chirchik State Pedagogical University,https://www.cspu.uz,cspu.uz,university
university,Cyber University,https://csu.uz/,csu.uz,university
government_agency,State Assets Management Agency,https://davaktiv.uz/,davaktiv.uz,
government_agency,Delegation of the European Union to Uzbekistan,https://eeas.europa.eu/delegations/uzbekistan_en,eeas.europa.eu,
university,Fergana State University,http://www.fdu.uz,fdu.uz,university
government_agency,Institute of Hydrogeology and Engineering Geology,https://hydroengeo.uz,hydroengeo.uz,
government_agency,National Commission of the Republic of Uzbekistan for UNESCO,http://ich.uz/en/ich-of-uzbekistan/ich-organizations/95-national-commission,ich.uz,
government_agency,Ministry of Internal Affairs,https://iiv.uz,iiv.uz,central
ministry,Ministry of Internal Affairs,https://iiv.uz,iiv.uz,
government_agency,"Embassy of India, Tashkent",http://www.indembassy.uz,indembassy.uz,central
government_agency,Institute of Geology and Geophysics named after Kh.M. Abdullaev,https://ingeo.uz,ingeo.uz,
university,Inha University Tashkent,http://www.inha.uz/,inha.uz,university
university,Jizzakh branch of the National University of Uzbekistan,https://jbnuu.uz/,jbnuu.uz,university
university,Japan Digital University,https://www.jdu.uz/,jdu.uz,university
parliament,Supreme Council of Karakalpakstan,https://joqargikenes.uz/ru/,joqargikenes.uz,
supreme_court,Supreme Council of Karakalpakstan,https://joqargikenes.uz/ru/,joqargikenes.uz,
university,Uzbek State University of Physical Culture and Sport,https://jtsu.uz/,jtsu.uz,university
university,Karakalpak State University,http://www.karsu.uz/,karsu.uz,university
university,Al-Khwarizmi University,https://khwu.uz/,khwu.uz,university
university,Kimyo International University in Tashkent,https://kiut.uz/,kiut.uz,university
university,Karshi State Technical University,https://kstu.uz/,kstu.uz,university
university,Kokand University,https://live.kokanduni.uz/uz,live.kokanduni.uz,university
government_agency,Ministry of Construction of the Republic of Uzbekistan,http://mc.uz,mc.uz,central
ministry,Ministry of Construction of the Republic of Uzbekistan,http://mc.uz,mc.uz,
ministry,Ministry of Preschool Education of the Republic of Uzbekistan,https://mdo.uz,mdo.uz,
government_agency,Ministry of Preschool Education of the Republic of Uzbekistan,https://mdo.uz,mdo.uz,central
ministry,Ministry of Labor and Social Protection of Population,https://mehnat.uz,mehnat.uz,
government_agency,Ministry of Labor and Social Protection of Population,https://mehnat.uz,mehnat.uz,central
government_agency,Centre of Hydrometeorological Service,http://www.meteo.uz/#/en,meteo.uz,
government_agency,embassy of Bulgaria in Uzbekistan,https://www.mfa.bg/embassies/uzbekistan,mfa.bg,central
government_agency,Ministry of Foreign Affairs of Uzbekistan,https://mfa.uz/,mfa.uz,central
ministry,Ministry of Foreign Affairs of Uzbekistan,https://mfa.uz/,mfa.uz,
university,Q4453002,http://mgjxu.uz/,mgjxu.uz,university
government_agency,Ministry of Innovative Development of the Republic of Uzbekistan,https://mininnovation.uz,mininnovation.uz,
government_agency,Ministry of Justice,https://www.minjust.uz/,minjust.uz,central
ministry,Ministry of Justice,https://www.minjust.uz/,minjust.uz,
government_agency,Ministry of Public Health of Uzbekistan,https://minzdrav.uz/uz/,minzdrav.uz,central
ministry,Ministry of Public Health of Uzbekistan,https://minzdrav.uz/uz/,minzdrav.uz,
government_agency,"Embassy of the United Arab Emirates, Tashkent",https://www.mofaic.gov.ae/en/missions/uae-missions-abroad/uae-missions-abroad-details?countryId=1e4f8167-a2ef-4463-91b5-67a7021c8b2c,mofaic.gov.ae,central
ministry,Ministry of Tourism and Cultural Heritage,https://www.motas.uz,motas.uz,
government_agency,Ministry of Tourism and Cultural Heritage,https://www.motas.uz,motas.uz,central
university,Tashkent branch of Moscow State University,http://www.msu.uz/,msu.uz,university
ministry,Ministry of Defense,http://mudofaa.uz/,mudofaa.uz,
government_agency,Ministry of Defense,http://mudofaa.uz/,mudofaa.uz,central
government_agency,embassy of the Czech republic in Uzbekistan,https://www.mzv.cz/tashkent,mzv.cz,central
government_agency,embassy of Slovakia in Uzbekistan,https://www.mzv.sk/web/taskent,mzv.sk,central
university,Namangan State University,http://www.namdu.uz,namdu.uz,university
government_agency,National Agency of Perspective Projects,https://napp.uz/,napp.uz,central
government_agency,National Library of Uzbekistan,http://www.natlib.uz/,natlib.uz,
university,New Uzbekistan University,https://newuu.uz,newuu.uz,university
government_agency,Uzbek National Institute of Metrology,http://nim.uz,nim.uz,
university,Nordic International University,https://nordicuniversity.org/,nordicuniversity.org,university
university,Nukus State Technical University,https://nukusstu.uz/,nukusstu.uz,university
university,National University of Uzbekistan named after Mirzo Ulugbek,http://www.nuu.uz/,nuu.uz,university
university,Turin Polytechnic University in Tashkent,http://polito.uz,polito.uz,university
university,Turin Polytechnic University in Tashkent,https://polito.uz/index.php?lang=en,polito.uz,university
university,Qarshi davlat universiteti,http://www.qarshidu.uz/uz,qarshidu.uz,university
university,Renaissance Educational University,https://renessans-edu.uz/,renessans-edu.uz,university
government_agency,Center for Research of Problems in Privatization and State Assets Management,https://research-center.uz,research-center.uz,
