type,label,website,hostname,level
government_agency,Vatican Apostolic Archives,https://www.archivioapostolicovaticano.va/,archivioapostolicovaticano.va,
government_agency,Financial Information Authority,https://www.asif.va,asif.va,
ministry,Dicastery for the Clergy,http://www.clerus.va/content/clerus/en.html,clerus.va,
government_agency,Dicastery for the Clergy,http://www.clerus.va/content/clerus/en.html,clerus.va,
government_agency,Dicastery for Communication,https://www.comunicazione.va/en.html,comunicazione.va,
government_agency,Dicastery for Communication,https://www.comunicazione.va/,comunicazione.va,
government_agency,Dicastery for Bishops,http://www.congregazionevescovi.va/,congregazionevescovi.va,
ministry,Dicastery for Bishops,http://www.congregazionevescovi.va/,congregazionevescovi.va,
government_agency,Dicastery for Culture and Education,https://www.dce.va/it.html,dce.va,local
ministry,Dicastery for Interreligious Dialogue,https://www.dicasteryinterreligious.va/,dicasteryinterreligious.va,
government_agency,Dicastery for Interreligious Dialogue,https://www.dicasteryinterreligious.va/,dicasteryinterreligious.va,
government_agency,Dicastery for the Doctrine of the Faith,https://www.doctrinafidei.va/,doctrinafidei.va,local
government_agency,Office of Papal Charities,https://www.elemosineria.va/,elemosineria.va,local
government_agency,Office of Papal Charities,https://www.elemosineria.va/?lang=es,elemosineria.va,local
government_agency,Dicastery for Promoting Integral Human Development,https://www.humandevelopment.va/it.html,humandevelopment.va,
ministry,Dicastery for Promoting Integral Human Development,https://www.humandevelopment.va/it.html,humandevelopment.va,
ministry,"Dicastery for Laity, Family and Life",http://www.laityfamilylife.va,laityfamilylife.va,
government_agency,"Dicastery for Laity, Family and Life",http://www.laityfamilylife.va,laityfamilylife.va,
government_agency,embassy of the State of Palestine to the Holy See,http://palvaticanembassy.org/,palvaticanembassy.org,central
government_agency,Pontifical Academy for Latin,https://www.pontificiaacademialatinitatis.org/,pontificiaacademialatinitatis.org,
government_agency,Roman Rota,http://www.rotaromana.va/,rotaromana.va,local
university,"Scuola vaticana di paleografia, diplomatica e archivistica",http://www.scuolavaticanapaleografia.va,scuolavaticanapaleografia.va,university
government_agency,Labour Office of the Apostolic See,http://www.ulsa.va,ulsa.va,
university,Scuola vaticana di biblioteconomia,https://www.vaticanlibrary.va/it/scuola-biblioteconomia/,vaticanlibrary.va,university
government_agency,Vatican Library,https://www.vaticanlibrary.va,vaticanlibrary.va,
government_agency,Governorate of Vatican City State,https://www.vaticanstate.va/it/stato-governo/struttura-del-governatorato/governatorato.html,vaticanstate.va,central
supreme_court,Pontifical Commission for the Vatican City State,https://www.vaticanstate.va/,vaticanstate.va,central
constitutional_court,Governorate of Vatican City State,https://www.vaticanstate.va/en/state-and-government/structure-of-the-government/governatorate.html,vaticanstate.va,central
parliament,Pontifical Commission for the Vatican City State,https://www.vaticanstate.va/,vaticanstate.va,central
government_agency,Governorate of Vatican City State,https://www.vaticanstate.va/en/state-and-government/structure-of-the-government/governatorate.html,vaticanstate.va,central
constitutional_court,Governorate of Vatican City State,https://www.vaticanstate.va/it/stato-governo/struttura-del-governatorato/governatorato.html,vaticanstate.va,central
government_agency,Corps of Gendarmerie of Vatican City,http://www.vaticanstate.va/content/vaticanstate/en/stato-e-governo/struttura-del-governatorato/corpo-della-gendarmeria.html,vaticanstate.va,central
