subdomain,parent_domain,http_status
autodiscover.email.vatican.va,vatican.va,Could not resolve host: autodiscover.email.vatican.va
autodiscover.vatican.va,vatican.va,200
email.vatican.va,vatican.va,302
m.vatican.va,vatican.va,200
mail.email.vatican.va,vatican.va,Could not resolve host: mail.email.vatican.va
mail.vatican.va,vatican.va,Resolving timed out after 3000 milliseconds
michele.vatican.va,vatican.va,Could not resolve host: michele.vatican.va
mobile.vatican.va,vatican.va,301
owa.email.vatican.va,vatican.va,Could not resolve host: owa.email.vatican.va
owa.vatican.va,vatican.va,Could not resolve host: owa.vatican.va
posta.vatican.va,vatican.va,200
press.vatican.va,vatican.va,200
rss.vatican.va,vatican.va,307
supportoposta.vatican.va,vatican.va,200
vatican.va,vatican.va,200
vpn.vatican.va,vatican.va,Resolving timed out after 3000 milliseconds
w2.vatican.va,vatican.va,301
widgets.vatican.va,vatican.va,403
www.email.vatican.va,vatican.va,Could not resolve host: www.email.vatican.va
www.vatican.va,vatican.va,200
