subdomain,http_status,mx
0800comercio.gob.ve,Resolving timed out after 3001 milliseconds,none
abp.gob.ve,Could not resolve host: abp.gob.ve,none
academia.fundacite-amazonas.gob.ve,Could not resolve host: academia.fundacite-amazonas.gob.ve,none
acceso.bt.gob.ve,Could not resolve host: acceso.bt.gob.ve,none
acraiz.suscerte.gob.ve,200,dig error
actividades.ona.gob.ve,Could not resolve host: actividades.ona.gob.ve,none
admin.alcaldiasanfelipe.gob.ve,Could not resolve host: admin.alcaldiasanfelipe.gob.ve,none
admin.prosalud.gob.ve,Could not resolve host: admin.prosalud.gob.ve,none
adminer.nuevaesparta.gob.ve,Could not resolve host: adminer.nuevaesparta.gob.ve,none
administrado.conalot.gob.ve,Could not resolve host: administrado.conalot.gob.ve,none
aguasdeyaracuy.gob.ve,TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure,10 correo.aguasdeyaracuy.gob.ve.
ait.anzoategui.gob.ve,500,none
alcaldiabarinas.gob.ve,Could not resolve host: alcaldiabarinas.gob.ve,none
alcaldiabolivarianadesucrezulia.gob.ve,Could not resolve host: alcaldiabolivarianadesucrezulia.gob.ve,none
alcaldiabrion.gob.ve,Could not resolve host: alcaldiabrion.gob.ve,none
alcaldiacaripe.gob.ve,Could not resolve host: alcaldiacaripe.gob.ve,none
alcaldiadeatures.gob.ve,200,0 alcaldiadeatures.gob.ve.
alcaldiadebaralt-zulia.gob.ve,Could not resolve host: alcaldiadebaralt-zulia.gob.ve,none
alcaldiadebermudez.gob.ve,Could not resolve host: alcaldiadebermudez.gob.ve,none
alcaldiadecamatagua.gob.ve,Could not resolve host: alcaldiadecamatagua.gob.ve,none
alcaldiadecarlosarvelo.gob.ve,Could not resolve host: alcaldiadecarlosarvelo.gob.ve,none
alcaldiadecolon.gob.ve,SSL certificate problem: certificate has expired,5 alt2.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 1 aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.
alcaldiadeelorza.gob.ve,Could not resolve host: alcaldiadeelorza.gob.ve,none
alcaldiadeguaicaipuro.gob.ve,200,0 mail.alcaldiadeguaicaipuro.gob.ve.
alcaldiadeindependencia.gob.ve,200,none
alcaldiadeinfante.gob.ve,Could not resolve host: alcaldiadeinfante.gob.ve,none
alcaldiademaracaibo.gob.ve,Failed to connect to alcaldiademaracaibo.gob.ve port 443 after 282 ms: Could not connect to server,none
alcaldiadenirgua.gob.ve,503,0 alcaldiadenirgua.gob.ve.
alcaldiadepalavecino-lara.gob.ve,Resolving timed out after 3002 milliseconds,none
alcaldiadepiar-bolivar.gob.ve,Could not resolve host: alcaldiadepiar-bolivar.gob.ve,none
alcaldiadeplaza.gob.ve,Could not resolve host: alcaldiadeplaza.gob.ve,none
alcaldiadepuertolacruz.gob.ve,Could not resolve host: alcaldiadepuertolacruz.gob.ve,none
alcaldiaderibas.gob.ve,200,0 alcaldiaderibas.gob.ve.
alcaldiadesucre-barinas.gob.ve,Could not resolve host: alcaldiadesucre-barinas.gob.ve,none
alcaldiadesucre-bolivar.gob.ve,Could not resolve host: alcaldiadesucre-bolivar.gob.ve,none
alcaldiadetorres-lara.gob.ve,Could not resolve host: alcaldiadetorres-lara.gob.ve,none
alcaldiadiegoibarra.gob.ve,Could not resolve host: alcaldiadiegoibarra.gob.ve,none
alcaldiaelhatillo.gob.ve,200,none
alcaldiaezequielzamoramonagas.gob.ve,Could not resolve host: alcaldiaezequielzamoramonagas.gob.ve,none
alcaldiaguanare.gob.ve,200,0 alcaldiaguanare.gob.ve.
alcaldiaindependenciamiranda.gob.ve,Could not resolve host: alcaldiaindependenciamiranda.gob.ve,none
alcaldiajuanjosemora.gob.ve,Could not resolve host: alcaldiajuanjosemora.gob.ve,none
alcaldialaazulita.gob.ve,Could not resolve host: alcaldialaazulita.gob.ve,none
alcaldialossalias.gob.ve,200,0 alcaldialossalias.gob.ve.
alcaldiamariobricenoiragorry-aragua.gob.ve,Could not resolve host: alcaldiamariobricenoiragorry-aragua.gob.ve,none
alcaldiamirandacalabozo.gob.ve,Could not resolve host: alcaldiamirandacalabozo.gob.ve,none
alcaldiamunicipiobolivar.gob.ve,Could not resolve host: alcaldiamunicipiobolivar.gob.ve,none
alcaldiamunicipiolibertador-mer.gob.ve,Could not resolve host: alcaldiamunicipiolibertador-mer.gob.ve,none
alcaldiamunicipiosanfrancisco-zul.gob.ve,Could not resolve host: alcaldiamunicipiosanfrancisco-zul.gob.ve,none
