subdomain,http_status,mx
accesspoint.vpcp.gov.vn,Could not resolve host: accesspoint.vpcp.gov.vn,none
adminfia.mpi.gov.vn,Connection timed out after 3000 milliseconds,none
alert.isconline.gov.vn,Could not resolve host: alert.isconline.gov.vn,none
ami.gov.vn,503,0 ami.gov.vn.
antoanthucphamlamdong.gov.vn,Recv failure: Connexion ré-initialisée par le correspondant,10 ssl.emailserver.vn.
antv.gov.vn,Connection timed out after 3002 milliseconds,1 smtp.google.com.
api.cam.longbien.gov.vn,Connection timed out after 3001 milliseconds,none
as.ocs.mof.gov.vn,Could not resolve host: as.ocs.mof.gov.vn,none
atgt.dongthap.gov.vn,200,none
atlas.dongnai.gov.vn,200,none
auth.mot.gov.vn,Could not resolve host: auth.mot.gov.vn,none
authen.dvc.luutru.gov.vn,Could not resolve host: authen.dvc.luutru.gov.vn,dig error
authendvc.luutru.gov.vn,Connection timed out after 3002 milliseconds,none
autodiscover.antv.gov.vn,Could not resolve host: autodiscover.antv.gov.vn,none
autodiscover.bhxhbugiamap.gov.vn,Could not resolve host: autodiscover.bhxhbugiamap.gov.vn,none
autodiscover.binhduong.gov.vn,Could not resolve host: autodiscover.binhduong.gov.vn,none
autodiscover.binhphuoc.gov.vn,SSL certificate problem: certificate has expired,none
autodiscover.caa.gov.vn,Could not resolve host: autodiscover.caa.gov.vn,none
autodiscover.cema.gov.vn,SSL: no alternative certificate subject name matches target hostname 'autodiscover.cema.gov.vn',none
autodiscover.customs.gov.vn,Could not resolve host: autodiscover.customs.gov.vn,none
autodiscover.dautunuocngoai.gov.vn,Could not resolve host: autodiscover.dautunuocngoai.gov.vn,none
autodiscover.dongnai.gov.vn,302,none
autodiscover.gdsr.gov.vn,302,none
autodiscover.gdt.gov.vn,302,none
autodiscover.gialai.gov.vn,Could not resolve host: autodiscover.gialai.gov.vn,none
autodiscover.gso.gov.vn,Connection timed out after 3001 milliseconds,none
autodiscover.haiphong.gov.vn,302,none
autodiscover.keypay.gov.vn,Could not resolve host: autodiscover.keypay.gov.vn,none
autodiscover.lanhsuvietnam.gov.vn,Could not resolve host: autodiscover.lanhsuvietnam.gov.vn,none
autodiscover.longphuoc.gov.vn,Could not resolve host: autodiscover.longphuoc.gov.vn,none
autodiscover.mangkinhdoanh.gov.vn,Could not resolve host: autodiscover.mangkinhdoanh.gov.vn,none
autodiscover.mard.gov.vn,Could not resolve host: autodiscover.mard.gov.vn,none
autodiscover.mic.gov.vn,SSL certificate problem: unable to get local issuer certificate,none
autodiscover.moet.gov.vn,Could not resolve host: autodiscover.moet.gov.vn,none
autodiscover.mof.gov.vn,SSL certificate problem: unable to get local issuer certificate,none
autodiscover.mofa.gov.vn,Could not resolve host: autodiscover.mofa.gov.vn,none
autodiscover.moha.gov.vn,Connection timed out after 3000 milliseconds,none
autodiscover.moit.gov.vn,302,none
autodiscover.moj.gov.vn,Could not resolve host: autodiscover.moj.gov.vn,none
autodiscover.molisa.gov.vn,SSL certificate problem: certificate has expired,none
autodiscover.monre.gov.vn,Connection timed out after 3000 milliseconds,none
autodiscover.most.gov.vn,Connection timed out after 3001 milliseconds,none
autodiscover.mot.gov.vn,Could not resolve host: autodiscover.mot.gov.vn,none
autodiscover.mpi.gov.vn,Connection timed out after 3002 milliseconds,none
autodiscover.mt.gov.vn,Could not resolve host: autodiscover.mt.gov.vn,none
autodiscover.nghean.gov.vn,Could not resolve host: autodiscover.nghean.gov.vn,none
autodiscover.ngoquyen.gov.vn,Could not resolve host: autodiscover.ngoquyen.gov.vn,none
autodiscover.quangninh.gov.vn,TLS connect error: error:0A00018A:SSL routines::dh key too small,none
autodiscover.sbv.gov.vn,Connection timed out after 3002 milliseconds,none
autodiscover.thanhhoa.gov.vn,301,none
autodiscover.thudo.gov.vn,Could not resolve host: autodiscover.thudo.gov.vn,none
autodiscover.toaan.gov.vn,302,none
autodiscover.tongcucthuysan.gov.vn,Connection timed out after 3001 milliseconds,none
autodiscover.tphcm.gov.vn,302,none
autodiscover.ttptntthanhhoa.gov.vn,Could not resolve host: autodiscover.ttptntthanhhoa.gov.vn,none
autodiscover.vass.gov.vn,Could not resolve host: autodiscover.vass.gov.vn,none
autodiscover.vast.gov.vn,Could not resolve host: autodiscover.vast.gov.vn,none
autodiscover.vea.gov.vn,Could not resolve host: autodiscover.vea.gov.vn,none
