type,label,website,hostname,level
government_agency,embassy of Italy in Vietnam,https://ambhanoi.esteri.it,ambhanoi.esteri.it,central
government_agency,An Giang Department of Education and Training,https://angiang.edu.vn,angiang.edu.vn,central-1
government_agency,Bac Ninh Department of Education and Training,https://bacninh.edu.vn,bacninh.edu.vn,central-1
government_agency,Vietnam Border Defense Force,http://www.bienphongvietnam.vn,bienphongvietnam.vn,
government_agency,embassy of Austria in Vietnam,https://www.bmeia.gv.at/oeb-hanoi/,bmeia.gv.at,central
ministry,Ministry of Defence of Vietnam,http://www.bqp.vn/wps/portal/en,bqp.vn,
government_agency,Ministry of Defence of Vietnam,http://www.bqp.vn/wps/portal/en,bqp.vn,central
government_agency,"Ministry of Culture, Sports and Tourism",https://bvhttdl.gov.vn/,bvhttdl.gov.vn,central
government_agency,Civil Aviation Administration of Vietnam,http://caa.gov.vn/,caa.gov.vn,
government_agency,Ca Mau Department of Education and Training,https://camau.edu.vn,camau.edu.vn,central-1
government_agency,Embassy of Canada in Vietnam,https://www.canadainternational.gc.ca/vietnam/index.aspx,canadainternational.gc.ca,central
government_agency,"Canadian Consulate-General, Ho Chi Minh City",http://www.canadainternational.gc.ca/vietnam/offices-bureaux/ho_chi_minh_city-ho_chi_minh_ville.aspx,canadainternational.gc.ca,
government_agency,Vietnam Coast Guard,http://canhsatbien.vn,canhsatbien.vn,
government_agency,Can Tho Department of Education and Training,https://cantho.edu.vn,cantho.edu.vn,central-1
government_agency,embassy of Chile in Vietnam,https://chile.gob.cl/vietnam,chile.gob.cl,central
government_agency,Commission for the Management of State Capital at Enterprises,https://cmsc.gov.vn,cmsc.gov.vn,central
government_agency,Department of Animal Health,http://www.cucthuy.gov.vn/,cucthuy.gov.vn,
government_agency,Consulate-General of the People's Republic of China in Da Nang,http://danang.china-consulate.gov.cn/,danang.china-consulate.gov.cn,central-1
government_agency,Da Nang Department of Education and Training,https://www.danang.edu.vn/,danang.edu.vn,central-1
government_agency,"Consulate-General of Japan, Da Nang",https://www.danang.vn.emb-japan.go.jp,danang.vn.emb-japan.go.jp,
government_agency,Dien Bien Department of Education and Training,https://dienbien.edu.vn,dienbien.edu.vn,central-1
government_agency,embassy of South Africa in Vietnam,http://www.dirco.gov.za/hanoi/,dirco.gov.za,central
government_agency,Da Nang Institute For Socio - Economic Development,http://dised.vn/,dised.vn,
government_agency,Dong Thap Department of Education and Training,https://dongthap.edu.vn,dongthap.edu.vn,central-1
government_agency,Sở Khoa học và Công nghệ Thành phố Hồ Chí Minh,https://dost.hochiminhcity.gov.vn,dost.hochiminhcity.gov.vn,
