subdomain,mx
admin-heartcare.gov.vu,none
api-asyhub-test.customs.gov.vu,none
api-asyhub.customs.gov.vu,none
api.vanclimatefutures.gov.vu,none
asyhub-test.customs.gov.vu,none
asyhub.customs.gov.vu,none
autodiscover.rbv.gov.vu,none
autodiscover.vanuatu.gov.vu,none
autodiscover.vmgd.gov.vu,10 mail.vmgd.gov.vu.
content.vmgd.gov.vu,none
cpanel.vbos.gov.vu,none
dcefs.gov.vu,none
dev.neir.gov.vu,none
eas.vanuatu.gov.vu,none
ecp.vanuatu.gov.vu,none
ee.kobo.gov.vu,none
ews.vanuatu.gov.vu,none
fhirservicemdr.gov.vu,none
ftp.vmgd.gov.vu,none
geonode.gov.vu,none
gov.vu,0 gov-vu.mail.protection.outlook.com.
heartcare.gov.vu,10 mxa.mailgun.org.; 10 mxb.mailgun.org.
immigration.gov.vu,none
jpoc.gov.vu,none
kc.kobo.gov.vu,none
kf.kobo.gov.vu,none
legacy.rbv.gov.vu,none
legacy.vanuatu.gov.vu,none
mail.pvmc.gov.vu,none
mail.rbv.gov.vu,none
mail.ura.gov.vu,none
mail.vanuatu.gov.vu,none
mail.vmgd.gov.vu,none
mail2.vmgd.gov.vu,none
mdes.doft.gov.vu,none
mdr.gov.vu,none
nsdp.vnso.gov.vu,none
oab.vanuatu.gov.vu,none
online.vanipo.gov.vu,none
origin.content.vmgd.gov.vu,none
outlook.vanuatu.gov.vu,none
owa.vanuatu.gov.vu,none
plato.fiu.gov.vu,none
propertytax.pvmc.gov.vu,none
pvcc.gov.vu,0 pvcc-gov-vu.mail.protection.outlook.com.
pvmc.gov.vu,10 mail.pvmc.gov.vu.
rbv.gov.vu,10 mail.rbv.gov.vu.
remote.ura.gov.vu,none
reporting.fiu.gov.vu,none
smartalert.vmgd.gov.vu,none
smtp.vanuatu.gov.vu,none
sso-asyhub-test.customs.gov.vu,none
sso-asyhub.customs.gov.vu,none
svc.vsms.gov.vu,none
tap.vsms.gov.vu,none
uat.plato.fiu.gov.vu,none
uat.reporting.fiu.gov.vu,none
ura.gov.vu,0 ura-gov-vu.mail.protection.outlook.com.
vanclimatefutures.gov.vu,none
vanuatu.gov.vu,10 vanuatu-gov-vu.mail.protection.outlook.com.
vbos.gov.vu,none
vmgd.gov.vu,10 mail.vmgd.gov.vu.
vsdc.vsms.gov.vu,none
vsms.gov.vu,none
webdisk.vbos.gov.vu,none
webmail.rbv.gov.vu,none
webmail.vanuatu.gov.vu,none
webmail.vmgd.gov.vu,none
wims.gov.vu,none
www.geonode.gov.vu,none
www.immigration.gov.vu,none
www.mail.pvmc.gov.vu,none
www.mail.vmgd.gov.vu,none
www.online.vanipo.gov.vu,none
www.pvmc.gov.vu,none
www.remote.ura.gov.vu,none
www.ura.gov.vu,none
www.vanclimatefutures.gov.vu,none
www.vmgd.gov.vu,none
