type,label,website,hostname,level
ministry,Ministry of Defence of Kosovo,https://mod.rks-gov.net/,mod.rks-gov.net,
ministry,Ministry of Foreign Affairs and Diaspora of the Republic of Kosovo,https://mfa-ks.net/,mfa-ks.net,
ministry,"Ministry of Education, Science and Technology",https://masht.rks-gov.net,masht.rks-gov.net,
ministry,"Ministry of Culture, Youth and Sport of Kosovo",https://www.mkrs-ks.org,mkrs-ks.org,
ministry,Ministry of Finance (Kosovo),https://mfpt.rks-gov.net,mfpt.rks-gov.net,
ministry,Ministry of Economy,https://me.rks-gov.net,me.rks-gov.net,
ministry,"Ministry of Industry, Entrepreneurship, and Trade of Kosovo",https://mint.rks-gov.net/,mint.rks-gov.net,
ministry,Ministry of Internal Affairs of Kosovo,https://mpb.rks-gov.net,mpb.rks-gov.net,
ministry,Ministry of Regional Development of Kosovo,https://mzr.rks-gov.net,mzr.rks-gov.net,
ministry,Ministry of Environment and Spatial Planning and Infrastructure of Kosovo,https://mmphi.rks-gov.net/,mmphi.rks-gov.net,
ministry,Ministry of Health of Kosovo,https://msh.rks-gov.net,msh.rks-gov.net,
ministry,Ministry of Labour and Social Welfare of Kosovo,https://mpms.rks-gov.net,mpms.rks-gov.net,
ministry,Ministry of Justice,https://md.rks-gov.net/,md.rks-gov.net,
ministry,Ministry of Economy and Finance of Kosovo,https://mfpt.rks-gov.net/,mfpt.rks-gov.net,
parliament,Assembly of the Republic of Kosovo,https://www.kuvendikosoves.org/,kuvendikosoves.org,
constitutional_court,Government of Kosovo,http://www.rks-gov.net,rks-gov.net,
constitutional_court,Presidency of the Republic of Kosovo,https://president-ksgov.net,president-ksgov.net,
supreme_court,Assembly of the Republic of Kosovo,https://www.kuvendikosoves.org/,kuvendikosoves.org,
