hostname,score,sources,label,level
boz.zm,4,wikidata,Bank of Zambia,
nac.org.zm,4,wikidata,National HIV/AIDS/STI/TB Council,
nhra.org.zm,4,wikidata,National Health Research Authority,
zema.org.zm,4,wikidata,Zambia Environmental Management Agency,
zicta.zm,4,wikidata,Zambia Information and Communications Technology Authority,
zm.usembassy.gov,4,wikidata,embassy of the United States in Zambia,central
zma.org.zm,4,wikidata,Zambia Metrology Agency,
znphi.co.zm,4,wikidata,Zambia National Public Health Institute,
ambafrance-zm.org,3,wikidata,"Embassy of France, Lusaka",central
cosecsa.org,3,wikidata,Surgical Society of Zambia,
eeas.europa.eu,3,wikidata,Delegation of the European Union to Zambia and COMESA,central
finlandabroad.fi,3,wikidata,embassy of Finland in Zambia,central
gartzambia.org,3,wikidata,Golden Valley Agricultural Research Trust,
ghanahighcommission-zambia.com,3,wikidata,high commission of Ghana in Zambia,central
lusaka.diplo.de,3,wikidata,"Embassy of Germany, Lusaka",central
mzv.cz,3,wikidata,embassy of the Czech republic in Zambia,central
swedenabroad.se,3,wikidata,"Embassy of Sweden, Lusaka",central
who.int,3,wikidata,World Health Organization - Zambia,
zambia.mid.ru,3,wikidata,embassy of Russia in Zambia,central
