subdomain,mx
44thsadcsummit.gov.zw,0 44thsadcsummit.gov.zw.; 0 65.181.111.23.
a.gov.zw,none
accounts.parlzim.gov.zw,none
afz.gov.zw,0 mail2.isp.gov.zw.; 10 197.221.235.10.
agric.gov.zw,0 197.221.235.10.; 10 mail2.isp.gov.zw.
api.esw.gov.zw,none
apps.mohcc.gov.zw,none
archives.gov.zw,20 mx2.titan.email.; 10 mail2.isp.gov.zw.
auditorgeneral.gov.zw,0 mail2.isp.gov.zw.; 0 197.221.235.10.
autodiscover.wetlandscop15.gov.zw,none
autodiscover.zim.gov.zw,none
av.zim.gov.zw,none
awlu1.potraz.gov.zw,none
awlu2.potraz.gov.zw,none
bi.potraz.gov.zw,none
cch.gov.zw,0 197.221.235.10.; 0 mail2.isp.gov.zw.
chipingerdc.gov.zw,32767 ms85308087.msv1.invalid.; 0 chipingerdc-gov-zw.mail.protection.outlook.com.
cipz.gov.zw,none
cle.gov.zw,10 wm.gisp.gov.zw.
commandagric.gov.zw,none
cpanel.44thsadcsummit.gov.zw,none
cpanel.auditorgeneral.gov.zw,none
cpanel.wetlandscop15.gov.zw,none
cpcalendars.wetlandscop15.gov.zw,none
cpcontacts.wetlandscop15.gov.zw,none
czlwva.gov.zw,none
deeds.gov.zw,none
defence.gov.zw,none
dhis.mohcc.gov.zw,none
drss.gov.zw,none
dvls.gov.zw,none
dvslims.pfms.gov.zw,none
email.gisp.gov.zw,none
energy.gov.zw,none
enterpriseregistration.zim.gov.zw,none
epermits.gov.zw,none
epermits.zimimmigration.gov.zw,none
erecruitment.psc.gov.zw,none
esw.gov.zw,none
evisa-api.gov.zw,none
evisa.gov.zw,0 197.221.235.10.; 0 mail2.isp.gov.zw.
ginx.gov.zw,none
gisp.gov.zw,none
gispca.gov.zw,none
gov.zw,none
hararehospital.gov.zw,none
hosting.gov.zw,none
ictministry.gov.zw,none
imap.gisp.gov.zw,none
imap.zim.gov.zw,none
imt.gov.zw,none
innovationdrive.gov.zw,none
isp.gov.zw,none
justice.gov.zw,none
kc.zimeris.gov.zw,none
kctest.zimeris.gov.zw,none
keycloak.esw.gov.zw,none
ldc.gov.zw,none
lyncdiscover.zim.gov.zw,none
mail.44thsadcsummit.gov.zw,0 44thsadcsummit.gov.zw.; 0 65.181.111.23.
mail.agric.gov.zw,none
mail.gisp.gov.zw,none
mail.gov.zw,none
mail.parliament.gov.zw,none
mail.parlzim.gov.zw,none
mail.potraz.gov.zw,none
