subdomain,parent_domain,http_status
44thsadcsummit.gov.zw,gov.zw,"200"
a.gov.zw,gov.zw,"Could not resolve host: a.gov.zw"
accounts.parlzim.gov.zw,gov.zw,"SSL: no alternative certificate subject name matches target hostname 'accounts.parlzim.gov.zw'"
afz.gov.zw,gov.zw,"500"
agric.gov.zw,gov.zw,"TLS connect error: error:0A000126:SSL routines::unexpected eof while reading"
api.esw.gov.zw,gov.zw,"200"
apps.mohcc.gov.zw,gov.zw,"200"
archives.gov.zw,gov.zw,"301"
auditorgeneral.gov.zw,gov.zw,"Operation timed out after 3000 milliseconds with 0 bytes received"
autodiscover.wetlandscop15.gov.zw,gov.zw,"Operation timed out after 3000 milliseconds with 0 bytes received"
autodiscover.zim.gov.zw,gov.zw,"Could not resolve host: autodiscover.zim.gov.zw"
av.zim.gov.zw,gov.zw,"Could not resolve host: av.zim.gov.zw"
awlu1.potraz.gov.zw,gov.zw,"Could not resolve host: awlu1.potraz.gov.zw"
awlu2.potraz.gov.zw,gov.zw,"Could not resolve host: awlu2.potraz.gov.zw"
bi.potraz.gov.zw,gov.zw,"Could not resolve host: bi.potraz.gov.zw"
cch.gov.zw,gov.zw,"Operation timed out after 3000 milliseconds with 0 bytes received"
chipingerdc.gov.zw,gov.zw,"301"
cipz.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
cle.gov.zw,gov.zw,"Connection timed out after 3000 milliseconds"
commandagric.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
cpanel.44thsadcsummit.gov.zw,gov.zw,"200"
cpanel.auditorgeneral.gov.zw,gov.zw,"200"
cpanel.wetlandscop15.gov.zw,gov.zw,"200"
cpcalendars.wetlandscop15.gov.zw,gov.zw,"401"
cpcontacts.wetlandscop15.gov.zw,gov.zw,"401"
czlwva.gov.zw,gov.zw,"SSL certificate problem: self-signed certificate"
deeds.gov.zw,gov.zw,"SSL certificate problem: unable to get local issuer certificate"
defence.gov.zw,gov.zw,"301"
dhis.mohcc.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
drss.gov.zw,gov.zw,"Connection timed out after 3000 milliseconds"
dvls.gov.zw,gov.zw,"Could not resolve host: dvls.gov.zw"
dvslims.pfms.gov.zw,gov.zw,"SSL certificate problem: unable to get local issuer certificate"
email.gisp.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
energy.gov.zw,gov.zw,"301"
enterpriseregistration.zim.gov.zw,gov.zw,"Could not resolve host: enterpriseregistration.zim.gov.zw"
epermits.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
epermits.zimimmigration.gov.zw,gov.zw,"200"
erecruitment.psc.gov.zw,gov.zw,"200"
esw.gov.zw,gov.zw,"200"
evisa-api.gov.zw,gov.zw,"301"
evisa.gov.zw,gov.zw,"200"
ginx.gov.zw,gov.zw,"Operation timed out after 3001 milliseconds with 0 bytes received"
gisp.gov.zw,gov.zw,"SSL certificate problem: unable to get local issuer certificate"
gispca.gov.zw,gov.zw,"Could not resolve host: gispca.gov.zw"
hararehospital.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
hosting.gov.zw,gov.zw,"Could not resolve host: hosting.gov.zw"
ictministry.gov.zw,gov.zw,"200"
imap.gisp.gov.zw,gov.zw,"Could not resolve host: imap.gisp.gov.zw"
imap.zim.gov.zw,gov.zw,"Could not resolve host: imap.zim.gov.zw"
imt.gov.zw,gov.zw,"SSL: no alternative certificate subject name matches target hostname 'imt.gov.zw'"
innovationdrive.gov.zw,gov.zw,"Operation timed out after 3000 milliseconds with 0 bytes received"
isp.gov.zw,gov.zw,"Could not resolve host: isp.gov.zw"
justice.gov.zw,gov.zw,"301"
kc.zimeris.gov.zw,gov.zw,"SSL certificate problem: certificate has expired"
kctest.zimeris.gov.zw,gov.zw,"SSL certificate problem: certificate has expired"
keycloak.esw.gov.zw,gov.zw,"Could not resolve host: keycloak.esw.gov.zw"
ldc.gov.zw,gov.zw,"Connection timed out after 3001 milliseconds"
