country_dir,iso3,wikidata_qid
AFG_afghanistan,AFG,Q889
AGO_angola,AGO,Q916
ALB_albania,ALB,Q222
AND_andorra,AND,Q228
ARE_united_arab_emirates,ARE,Q878
ARG_argentina,ARG,Q414
ARM_armenia,ARM,Q399
ATG_antigua_and_barbuda,ATG,Q781
AUS_australia,AUS,Q408
AUT_austria,AUT,Q40
AZE_azerbaijan,AZE,Q227
BDI_burundi,BDI,Q967
BEL_belgium,BEL,Q31
BEN_benin,BEN,Q962
BFA_burkina_faso,BFA,Q965
BGD_bangladesh,BGD,Q902
BGR_bulgaria,BGR,Q219
BHR_bahrain,BHR,Q398
BHS_bahamas,BHS,Q778
BIH_bosnia_and_herzegovina,BIH,Q225
BLR_belarus,BLR,Q184
BLZ_belize,BLZ,Q242
BOL_bolivia,BOL,Q750
BRA_brazil,BRA,Q155
BRB_barbados,BRB,Q244
BRN_brunei,BRN,Q921
BTN_bhutan,BTN,Q917
BWA_botswana,BWA,Q963
CAF_central_african_republic,CAF,Q929
CAN_canada,CAN,Q16
CHE_switzerland,CHE,Q39
CHL_chile,CHL,Q298
CHN_china,CHN,Q148
CIV_cote_d_ivoire,CIV,Q1008
CMR_cameroon,CMR,Q1009
COD_democratic_republic_of_the_congo,COD,Q974
COG_republic_of_the_congo,COG,Q971
COL_colombia,COL,Q739
COM_comoros,COM,Q970
CPV_cape_verde,CPV,Q1011
CRI_costa_rica,CRI,Q800
CUB_cuba,CUB,Q241
CYP_cyprus,CYP,Q229
CZE_czechia,CZE,Q213
DEU_germany,DEU,Q183
DJI_djibouti,DJI,Q977
DMA_dominica,DMA,Q784
DNK_denmark,DNK,Q35
DOM_dominican_republic,DOM,Q786
DZA_algeria,DZA,Q262
ECU_ecuador,ECU,Q736
EGY_egypt,EGY,Q79
ERI_eritrea,ERI,Q986
ESP_spain,ESP,Q29
EST_estonia,EST,Q191
ETH_ethiopia,ETH,Q115
FIN_finland,FIN,Q33
FJI_fiji,FJI,Q712
FRA_france,FRA,Q142
FSM_micronesia,FSM,Q702
GAB_gabon,GAB,Q1000
GBR_united_kingdom,GBR,Q145
GEO_georgia,GEO,Q230
GHA_ghana,GHA,Q117
GIN_guinea,GIN,Q1006
GMB_gambia,GMB,Q1005
GNB_guinea_bissau,GNB,Q1007
GNQ_equatorial_guinea,GNQ,Q983
GRC_greece,GRC,Q41
GRD_grenada,GRD,Q769
GTM_guatemala,GTM,Q774
GUY_guyana,GUY,Q734
HND_honduras,HND,Q783
HRV_croatia,HRV,Q224
HTI_haiti,HTI,Q790
HUN_hungary,HUN,Q28
IDN_indonesia,IDN,Q252
IND_india,IND,Q668
IRL_ireland,IRL,Q27
IRN_iran,IRN,Q794
IRQ_iraq,IRQ,Q796
ISL_iceland,ISL,Q189
ISR_israel,ISR,Q801
ITA_italy,ITA,Q38
JAM_jamaica,JAM,Q766
JOR_jordan,JOR,Q810
JPN_japan,JPN,Q17
KAZ_kazakhstan,KAZ,Q232
KEN_kenya,KEN,Q114
KGZ_kyrgyzstan,KGZ,Q813
KHM_cambodia,KHM,Q424
KIR_kiribati,KIR,Q710
KNA_saint_kitts_and_nevis,KNA,Q763
KOR_south_korea,KOR,Q884
KWT_kuwait,KWT,Q817
LAO_laos,LAO,Q819
LBN_lebanon,LBN,Q822
LBR_liberia,LBR,Q1014
LBY_libya,LBY,Q1016
LCA_saint_lucia,LCA,Q760
LIE_liechtenstein,LIE,Q347
LKA_sri_lanka,LKA,Q854
LSO_lesotho,LSO,Q1013
LTU_lithuania,LTU,Q37
LUX_luxembourg,LUX,Q32
LVA_latvia,LVA,Q211
MAR_morocco,MAR,Q1028
MCO_monaco,MCO,Q235
MDA_moldova,MDA,Q217
MDG_madagascar,MDG,Q1019
MDV_maldives,MDV,Q826
MEX_mexico,MEX,Q96
MHL_marshall_islands,MHL,Q709
MKD_north_macedonia,MKD,Q221
MLI_mali,MLI,Q912
MLT_malta,MLT,Q233
MMR_myanmar,MMR,Q836
MNE_montenegro,MNE,Q236
MNG_mongolia,MNG,Q711
MOZ_mozambique,MOZ,Q1029
MRT_mauritania,MRT,Q1025
MUS_mauritius,MUS,Q1027
MWI_malawi,MWI,Q1020
MYS_malaysia,MYS,Q833
NAM_namibia,NAM,Q1030
NER_niger,NER,Q1032
NGA_nigeria,NGA,Q1033
NIC_nicaragua,NIC,Q811
NLD_netherlands,NLD,Q29999
NOR_norway,NOR,Q20
NPL_nepal,NPL,Q837
NRU_nauru,NRU,Q697
NZL_new_zealand,NZL,Q664
OMN_oman,OMN,Q842
PAK_pakistan,PAK,Q843
PAN_panama,PAN,Q804
PER_peru,PER,Q419
PHL_philippines,PHL,Q928
PLW_palau,PLW,Q695
PNG_papua_new_guinea,PNG,Q691
POL_poland,POL,Q36
PRK_north_korea,PRK,Q423
PRT_portugal,PRT,Q45
PRY_paraguay,PRY,Q733
PSE_palestine,PSE,Q219060
QAT_qatar,QAT,Q846
ROU_romania,ROU,Q218
RUS_russia,RUS,Q159
RWA_rwanda,RWA,Q1037
SAU_saudi_arabia,SAU,Q851
SDN_sudan,SDN,Q1049
SEN_senegal,SEN,Q1041
SGP_singapore,SGP,Q334
SLB_solomon_islands,SLB,Q685
SLE_sierra_leone,SLE,Q1044
SLV_el_salvador,SLV,Q792
SMR_san_marino,SMR,Q238
SOM_somalia,SOM,Q1045
SRB_serbia,SRB,Q403
SSD_south_sudan,SSD,Q958
STP_sao_tome_and_principe,STP,Q1039
SUR_suriname,SUR,Q730
SVK_slovakia,SVK,Q214
SVN_slovenia,SVN,Q215
SWE_sweden,SWE,Q34
SWZ_eswatini,SWZ,Q1050
SYC_seychelles,SYC,Q1042
SYR_syria,SYR,Q858
TCD_chad,TCD,Q657
TGO_togo,TGO,Q945
THA_thailand,THA,Q869
TJK_tajikistan,TJK,Q863
TKM_turkmenistan,TKM,Q874
TLS_timor_leste,TLS,Q574
TON_tonga,TON,Q678
TTO_trinidad_and_tobago,TTO,Q754
TUN_tunisia,TUN,Q948
TUR_turkey,TUR,Q43
TUV_tuvalu,TUV,Q672
TWN_taiwan,TWN,Q865
TZA_tanzania,TZA,Q924
UGA_uganda,UGA,Q1036
UKR_ukraine,UKR,Q212
URY_uruguay,URY,Q77
USA_united_states,USA,Q30
UZB_uzbekistan,UZB,Q265
VAT_holy_see,VAT,Q237
VCT_saint_vincent_and_the_grenadines,VCT,Q757
VEN_venezuela,VEN,Q717
VNM_vietnam,VNM,Q881
VUT_vanuatu,VUT,Q686
WSM_samoa,WSM,Q683
XKS_kosovo,XKS,Q1246
YEM_yemen,YEM,Q805
ZAF_south_africa,ZAF,Q258
ZMB_zambia,ZMB,Q953
ZWE_zimbabwe,ZWE,Q954
