domain,country,level,un_status,region,languages,gdp_per_capita,name,score,sources,mx
12333sh.gov.cn,CHN_china,central-1,member,Asia,Chinese,13862,Shanghai 12333 social security hotline,,registry,
18f.gov,USA_united_states,central,member,Americas,English,84534,,,,none
250.gov,USA_united_states,central,member,Americas,English,84534,,,,none
400yaahc.gov,USA_united_states,central,member,Americas,English,84534,,,,5 alt1.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 1 aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.
9-11commission.gov,USA_united_states,central,member,Americas,English,84534,,,,10 us.etp.fireeyegov.com.
911.gov,USA_united_states,central,member,Americas,English,84534,,,,none
911commission.gov,USA_united_states,central,member,Americas,English,84534,,,,none
988.gov,USA_united_states,central,member,Americas,English,84534,,,,none
aanhpiheritage.gov,USA_united_states,central,member,Americas,English,84534,,,,none
aarogyasri.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Aarogyasri Health Care Trust (Andhra Pradesh/Telangana),,registry,
abc.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Dirección General de Cultura y Educación (Provincia de Buenos Aires),,registry,
abd.gov,USA_united_states,central,member,Americas,English,84534,,,,none
abiastate.gov.ng,NGA_nigeria,central-1,member,Africa,English,1084,Abia State,,registry,
abilityone.gov,USA_united_states,central,member,Americas,English,84534,,,,0 abilityone-gov.mail.protection.outlook.com.
abmc.gov,USA_united_states,central,member,Americas,English,84534,,,,10 abmc-gov.mail.protection.outlook.com.
ac.gov.br,BRA_brazil,central-1,member,Americas,Portuguese,10713,Acre,,registry,
accedeainternet.gov,USA_united_states,central,member,Americas,English,84534,,,,none
access-board.gov,USA_united_states,central,member,Americas,English,84534,,,,0 accessboard-gov01e.mail.protection.outlook.com.
accessibility.gov,USA_united_states,central,member,Americas,English,84534,,,,none
accessni.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,AccessNI (NI Department of Justice),,registry,
accountni.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Account NI (NI Department of Finance),,registry,
accounts-commission.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Accounts Commission for Scotland,,registry,
accountsgoa.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Directorate of Accounts (Goa),,registry,
acf.gov,USA_united_states,central,member,Americas,English,84534,,,,20 smtp.ees.hhs.gov.; 10 smtp2.ees.hhs.gov.
achp.gov,USA_united_states,central,member,Americas,English,84534,,,,20 alt1.us.etp.fireeyegov.com.; 30 alt2.us.etp.fireeyegov.com.; 10 primary.us.etp.fireeyegov.com.; 40 alt3.us.etp.fireeyegov.com.; 50 achp-gov.mail.protection.outlook.com.
acl.gov,USA_united_states,central,member,Americas,English,84534,,,,20 smtp.ees.hhs.gov.; 10 smtp2.ees.hhs.gov.; 5 acl.gov.
acquisition.gov,USA_united_states,central,member,Americas,English,84534,,,,none
acquisitiongateway.gov,USA_united_states,central,member,Americas,English,84534,,,,none
act.gov.au,AUS_australia,central-1,member,Oceania,English,65130,Australian Capital Territory,,registry,
acus.gov,USA_united_states,central,member,Americas,English,84534,,,,5 acus-gov.mail.protection.outlook.com.
acwi.gov,USA_united_states,central,member,Americas,English,84534,,,,none
ada.gov,USA_united_states,central,member,Americas,English,84534,,,,none
adamawastate.gov.ng,NGA_nigeria,central-1,member,Africa,English,1084,Adamawa State,,registry,
adams.gov,USA_united_states,central,member,Americas,English,84534,,,,5 alt2.aspmx.l.google.com.; 1 aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.
adf.gov,USA_united_states,central,member,Americas,English,84534,,,,0 adf-gov.mail.protection.outlook.com.
adibasikalyan.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Tribal Development Department (West Bengal),,registry,
adlnet.gov,USA_united_states,central,member,Americas,English,84534,,,,0 adlnet-gov.mail.protection.outlook.com.
admin.ch,CHE_switzerland,central,member,Europe,French; Swiss German; Italian; Romansh,114769,,,,none
administracion.gob.es,ESP_spain,central,member,Europe,Spanish; Catalan; Basque; Galician,38627,,,,none
adr.gov,USA_united_states,central,member,Americas,English,84534,,,,none
aeldremin.dk,DNK_denmark,central,member,Europe,Danish,76970,,,,10 mx04.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx06.statens-it.dk.
afadvantage.gov,USA_united_states,central,member,Americas,English,84534,,,,none
afbini.gov.uk,GBR_united_kingdom,central-1,member,Europe,English,57602,Agri-Food and Biosciences Institute (NI),,registry,
aff.gov,USA_united_states,central,member,Americas,English,84534,,,,none
afrh.gov,USA_united_states,central,member,Americas,English,84534,,,,0 afrh-gov.mail.protection.outlook.com.
africanamericanhistorymonth.gov,USA_united_states,central,member,Americas,English,84534,,,,none
aftac.gov,USA_united_states,central,member,Americas,English,84534,,,,5 sxht-esa-001u.aftac.gov.; 5 sxht-esa-002u.aftac.gov.
afterschool.gov,USA_united_states,central,member,Americas,English,84534,,,,none
ag.gov,USA_united_states,central,member,Americas,English,84534,,,,none
agcba.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Auditoría General de la Ciudad de Buenos Aires,,registry,
agence-adoption.fr,FRA_france,central,member,Europe,French,48986,,,,0 agenceadoption-fr01e.mail.protection.outlook.com.
