subdomain,http_status
911honduras.911.gob.hn,"Could not resolve host: 911honduras.911.gob.hn"
academia.transporte.gob.hn,"Could not resolve host: academia.transporte.gob.hn"
aduanas.gob.hn,"403"
autodiscover.infop.gob.hn,"Could not resolve host: autodiscover.infop.gob.hn"
autodiscover.cree.gob.hn,"Failed to connect to autodiscover.cree.gob.hn port 443 after 49 ms: Could not connect to server"
biblioteca.ine.gob.hn,"Could not resolve host: biblioteca.ine.gob.hn"
becashonduras2020.gob.hn.cp-1.webhostbox.net,"Could not resolve host: becashonduras2020.gob.hn.cp-1.webhostbox.net"
ciudadmujer.gob.hn,"Could not resolve host: ciudadmujer.gob.hn"
ciplaft.gob.hn,"Could not resolve host: ciplaft.gob.hn"
autodiscover.ciudadmujer.gob.hn,"Failed to connect to autodiscover.ciudadmujer.gob.hn port 443 after 74 ms: Could not connect to server"
coalianza.gob.hn,"Could not resolve host: coalianza.gob.hn"
cne.presidencia.gob.hn,"Could not resolve host: cne.presidencia.gob.hn"
autodiscover.salud.gob.hn,"Could not resolve host: autodiscover.salud.gob.hn"
correo.911.gob.hn,"Could not resolve host: correo.911.gob.hn"
cloud.911.gob.hn,"Could not resolve host: cloud.911.gob.hn"
911.gob.hn,"Failed to connect to 911.gob.hn port 443 after 163 ms: Could not connect to server"
cnssp.gob.hn.cp-40.webhostbox.net,"Could not resolve host: cnssp.gob.hn.cp-40.webhostbox.net"
autodiscover.ihcieti.gob.hn,"Could not resolve host: autodiscover.ihcieti.gob.hn"
autodiscover.senacit.gob.hn,"301"
agenda.registrodedescentralizacion.gob.hn,"Could not resolve host: agenda.registrodedescentralizacion.gob.hn"
carnets.dara.gob.hn,"Could not resolve host: carnets.dara.gob.hn"
correo.presidencia.gob.hn,"Could not resolve host: correo.presidencia.gob.hn"
correo.transporte.gob.hn,"Could not resolve host: correo.transporte.gob.hn"
costeoprimernivel.salud.gob.hn,"Could not resolve host: costeoprimernivel.salud.gob.hn"
atl.registrodedescentralizacion.gob.hn,"Could not resolve host: atl.registrodedescentralizacion.gob.hn"
cpanel.911.gob.hn,"Could not resolve host: cpanel.911.gob.hn"
cpanel.ciudadmujer.gob.hn,"Could not resolve host: cpanel.ciudadmujer.gob.hn"
cpanel.cnssp.gob.hn,"Could not resolve host: cpanel.cnssp.gob.hn"
chat.registrodedescentralizacion.gob.hn,"Could not resolve host: chat.registrodedescentralizacion.gob.hn"
climaplus.gob.hn,"Could not resolve host: climaplus.gob.hn"
autodiscover.sefin.gob.hn,"Failed to connect to autodiscover.sefin.gob.hn port 443 after 201 ms: Could not connect to server"
citidirect.injupemp.gob.hn,"Could not resolve host: citidirect.injupemp.gob.hn"
ch.registrodedescentralizacion.gob.hn,"Could not resolve host: ch.registrodedescentralizacion.gob.hn"
cpanel.coalianza.gob.hn,"Could not resolve host: cpanel.coalianza.gob.hn"
com.registrodedescentralizacion.gob.hn,"Could not resolve host: com.registrodedescentralizacion.gob.hn"
comiteetica.injupemp.gob.hn,"Could not resolve host: comiteetica.injupemp.gob.hn"
col.registrodedescentralizacion.gob.hn,"Could not resolve host: col.registrodedescentralizacion.gob.hn"
cpanel.didadpol.gob.hn,"Could not resolve host: cpanel.didadpol.gob.hn"
cpanel.cree.gob.hn,"Could not resolve host: cpanel.cree.gob.hn"
alimentos.arsa.gob.hn,"Could not resolve host: alimentos.arsa.gob.hn"
app.registrodedescentralizacion.gob.hn,"Could not resolve host: app.registrodedescentralizacion.gob.hn"
ahac.gob.hn.cp-22.webhostbox.net,"SSL: no alternative certificate subject name matches target hostname 'ahac.gob.hn.cp-22.webhostbox.net'"
cpanel.idecoas.gob.hn,"Could not resolve host: cpanel.idecoas.gob.hn"
autodiscover.ine.gob.hn,"400"
autodiscover.registrodedescentralizacion.gob.hn,"Could not resolve host: autodiscover.registrodedescentralizacion.gob.hn"
ave.registrodedescentralizacion.gob.hn,"Could not resolve host: ave.registrodedescentralizacion.gob.hn"
cpanel.inami.gob.hn,"Could not resolve host: cpanel.inami.gob.hn"
cpanel.arsa.gob.hn,"Could not resolve host: cpanel.arsa.gob.hn"
cpanel.ine.gob.hn,"Could not resolve host: cpanel.ine.gob.hn"
cpanel.ihcieti.gob.hn,"Could not resolve host: cpanel.ihcieti.gob.hn"
ayuda.registrodedescentralizacion.gob.hn,"Could not resolve host: ayuda.registrodedescentralizacion.gob.hn"
chaak.sefin.gob.hn,"Could not resolve host: chaak.sefin.gob.hn"
casper.cenet.gob.hn,"Failed to connect to casper.cenet.gob.hn port 443 after 297 ms: Could not connect to server"
aguadehonduras.gob.hn,"200"
cpanel.infop.gob.hn,"Could not resolve host: cpanel.infop.gob.hn"
correo.bch.gob.hn,"Could not resolve host: correo.bch.gob.hn"
cop.registrodedescentralizacion.gob.hn,"Could not resolve host: cop.registrodedescentralizacion.gob.hn"
becashonduras2020.gob.hn,"Could not resolve host: becashonduras2020.gob.hn"
autodiscover.plandenacion.gob.hn,"SSL: no alternative certificate subject name matches target hostname 'autodiscover.plandenacion.gob.hn'"
cpanel.presidencia.gob.hn,"Could not resolve host: cpanel.presidencia.gob.hn"
cpanel.educredito.gob.hn,"Could not resolve host: cpanel.educredito.gob.hn"
autodiscover.bch.gob.hn,"Could not resolve host: autodiscover.bch.gob.hn"
autodiscover.climaplus.gob.hn,"SSL: no alternative certificate subject name matches target hostname 'autodiscover.climaplus.gob.hn'"
autodiscover.inj.gob.hn,"SSL: no alternative certificate subject name matches target hostname 'autodiscover.inj.gob.hn'"
arsarequisitos.arsa.gob.hn,"Could not resolve host: arsarequisitos.arsa.gob.hn"
cosude.registrodedescentralizacion.gob.hn,"Could not resolve host: cosude.registrodedescentralizacion.gob.hn"
cpanel.senasa.gob.hn,"Could not resolve host: cpanel.senasa.gob.hn"
arsa.gob.hn,"SSL certificate problem: unable to get local issuer certificate"
apoyopresidencial.gob.hn,"403"
cpanel.honducor.gob.hn,"Could not resolve host: cpanel.honducor.gob.hn"
