subdomain,http_status
24cumbreiberoamericana.gob.mx,"Could not resolve host: 24cumbreiberoamericana.gob.mx"
1m.presidencia.gob.mx,"Could not resolve host: 1m.presidencia.gob.mx"
admin.empleo.gob.mx,"Could not resolve host: admin.empleo.gob.mx"
administracion.inin.gob.mx,"Could not resolve host: administracion.inin.gob.mx"
agenda.tamaulipas.gob.mx,"Could not resolve host: agenda.tamaulipas.gob.mx"
agenda.vc.jalisco.gob.mx,"Could not resolve host: agenda.vc.jalisco.gob.mx"
aplicaciones.edugem.gob.mx,"Could not resolve host: aplicaciones.edugem.gob.mx"
app.cfe.gob.mx,"Could not resolve host: app.cfe.gob.mx"
app.empleo.gob.mx,"Could not resolve host: app.empleo.gob.mx"
apreciacion3.edugem.gob.mx,"Could not resolve host: apreciacion3.edugem.gob.mx"
asapa.edugem.gob.mx,"Could not resolve host: asapa.edugem.gob.mx"
anthro.annualreviews.org.bidi.inmegen.gob.mx,"Could not resolve host: anthro.annualreviews.org.bidi.inmegen.gob.mx"
atencionfge.app.jalisco.gob.mx,"Could not resolve host: atencionfge.app.jalisco.gob.mx"
atizapan.gob.mx,"403"
autodiscover.cmapas.gob.mx,"Could not resolve host: autodiscover.cmapas.gob.mx"
accesa.promexico.gob.mx,"Could not resolve host: accesa.promexico.gob.mx"
apps.padronunico.jalisco.gob.mx,"Could not resolve host: apps.padronunico.jalisco.gob.mx"
autodiscover.cre.gob.mx,"Could not resolve host: autodiscover.cre.gob.mx"
alfa.gob.mx,"Could not resolve host: alfa.gob.mx"
autodiscover.cfe.gob.mx,"Failed to connect to autodiscover.cfe.gob.mx port 443 after 81 ms: Could not connect to server"
aseqroo.gob.mx,"Could not resolve host: aseqroo.gob.mx"
autodiscover.congresobc.gob.mx,"Failed to connect to autodiscover.congresobc.gob.mx port 443 after 71 ms: Could not connect to server"
adminls.capufe.gob.mx,"Could not resolve host: adminls.capufe.gob.mx"
ard.bmj.com.bidi.inmegen.gob.mx,"Could not resolve host: ard.bmj.com.bidi.inmegen.gob.mx"
app01.sre.gob.mx,"Could not resolve host: app01.sre.gob.mx"
aplicaciones.tlaxcala.gob.mx,"Could not resolve host: aplicaciones.tlaxcala.gob.mx"
auditoriasuperior.gob.mx,"Could not resolve host: auditoriasuperior.gob.mx"
analitica.inah.gob.mx,"Could not resolve host: analitica.inah.gob.mx"
autodiscover.cdobregon.gob.mx,"Could not resolve host: autodiscover.cdobregon.gob.mx"
auditoriachihuahua.gob.mx,"SSL certificate problem: unable to get local issuer certificate"
autodiscover.cofemer.gob.mx,"Could not resolve host: autodiscover.cofemer.gob.mx"
autodiscover.aserca.gob.mx,"Could not resolve host: autodiscover.aserca.gob.mx"
amatl.inah.gob.mx,"Could not resolve host: amatl.inah.gob.mx"
autodiscover.asa.gob.mx,"Could not resolve host: autodiscover.asa.gob.mx"
autodiscover.emp.gob.mx,"Could not resolve host: autodiscover.emp.gob.mx"
autodiscover.e-firma.gsign.guanajuato.gob.mx,"Could not resolve host: autodiscover.e-firma.gsign.guanajuato.gob.mx"
activesync.capufe.gob.mx,"Could not resolve host: activesync.capufe.gob.mx"
autodiscover.exchange.monterrey.gob.mx,"Could not resolve host: autodiscover.exchange.monterrey.gob.mx"
atencionmigrante.app.jalisco.gob.mx,"Could not resolve host: atencionmigrante.app.jalisco.gob.mx"
autodiscover.fira.gob.mx,"Could not resolve host: autodiscover.fira.gob.mx"
activesync.conafe.gob.mx,"Could not resolve host: activesync.conafe.gob.mx"
autodiscover.fonatur.gob.mx,"Failed to connect to autodiscover.fonatur.gob.mx port 443 after 51 ms: Could not connect to server"
autodiscover.congresogto.gob.mx,"Failed to connect to autodiscover.congresogto.gob.mx port 443 after 187 ms: Could not connect to server"
almcas01.cancilleria.sre.gob.mx,"Could not resolve host: almcas01.cancilleria.sre.gob.mx"
autodiscover.conaliteg.gob.mx,"Failed to connect to autodiscover.conaliteg.gob.mx port 443 after 235 ms: Could not connect to server"
autodiscover.indivibc.gob.mx,"Could not resolve host: autodiscover.indivibc.gob.mx"
