subdomain,http_status
alcaldialaazulita.gob.ve,"Could not resolve host: alcaldialaazulita.gob.ve"
api.spda.gob.ve,"Could not resolve host: api.spda.gob.ve"
aguasdeyaracuy.gob.ve,"TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure"
appext.tsj.gob.ve,"Could not resolve host: appext.tsj.gob.ve"
acceso.bt.gob.ve,"Could not resolve host: acceso.bt.gob.ve"
alcaldiademaracaibo.gob.ve,"Failed to connect to alcaldiademaracaibo.gob.ve port 443 after 282 ms: Could not connect to server"
alcaldiamunicipiolibertador-mer.gob.ve,"Could not resolve host: alcaldiamunicipiolibertador-mer.gob.ve"
asistencias.conalot.gob.ve,"Could not resolve host: asistencias.conalot.gob.ve"
alcaldiadecarlosarvelo.gob.ve,"Could not resolve host: alcaldiadecarlosarvelo.gob.ve"
apollo.cgesucre.gob.ve,"Could not resolve host: apollo.cgesucre.gob.ve"
alcaldiadebermudez.gob.ve,"Could not resolve host: alcaldiadebermudez.gob.ve"
alcaldiadebaralt-zulia.gob.ve,"Could not resolve host: alcaldiadebaralt-zulia.gob.ve"
autodiscover.alcaldiadiegoibarra.gob.ve,"Could not resolve host: autodiscover.alcaldiadiegoibarra.gob.ve"
alcaldiadeplaza.gob.ve,"Could not resolve host: alcaldiadeplaza.gob.ve"
alcaldiadeelorza.gob.ve,"Could not resolve host: alcaldiadeelorza.gob.ve"
alcaldiazea.gob.ve,"Could not resolve host: alcaldiazea.gob.ve"
alcaldiacaripe.gob.ve,"Could not resolve host: alcaldiacaripe.gob.ve"
alfareriabolivar.gob.ve,"Could not resolve host: alfareriabolivar.gob.ve"
abp.gob.ve,"Could not resolve host: abp.gob.ve"
alcaldiadesucre-barinas.gob.ve,"Could not resolve host: alcaldiadesucre-barinas.gob.ve"
alcaldiadepiar-bolivar.gob.ve,"Could not resolve host: alcaldiadepiar-bolivar.gob.ve"
alcaldiadesucre-bolivar.gob.ve,"Could not resolve host: alcaldiadesucre-bolivar.gob.ve"
alcaldialossalias.gob.ve,"200"
almccs.gob.ve,"301"
anz.anzoategui.gob.ve,"Could not resolve host: anz.anzoategui.gob.ve"
amazonas.gob.ve,"503"
austria.gob.ve,"301"
alcaldiadiegoibarra.gob.ve,"Could not resolve host: alcaldiadiegoibarra.gob.ve"
alcaldiaelhatillo.gob.ve,"200"
autodiscover.municipioacevedo.gob.ve,"Could not resolve host: autodiscover.municipioacevedo.gob.ve"
app.bandes.gob.ve,"Could not resolve host: app.bandes.gob.ve"
alcaldiadepuertolacruz.gob.ve,"Could not resolve host: alcaldiadepuertolacruz.gob.ve"
alcaldiaguanare.gob.ve,"200"
autodiscover.alcaldiaromulogallegoscojedes.gob.ve,"Could not resolve host: autodiscover.alcaldiaromulogallegoscojedes.gob.ve"
alcaldiadeatures.gob.ve,"200"
acraiz.suscerte.gob.ve,"200"
autodiscover.contraloriadezamora-miranda.gob.ve,"Could not resolve host: autodiscover.contraloriadezamora-miranda.gob.ve"
autodiscover.sumat.gob.ve,"Could not resolve host: autodiscover.sumat.gob.ve"
autodiscover.sindicaturaccs.gob.ve,"Could not resolve host: autodiscover.sindicaturaccs.gob.ve"
autodiscover.contraloriaestadobarinas.gob.ve,"Failed to connect to autodiscover.contraloriaestadobarinas.gob.ve port 443 after 316 ms: Could not connect to server"
app.sicad.cencoex.gob.ve,"Could not resolve host: app.sicad.cencoex.gob.ve"
aula.zecarabobo.gob.ve,"403"
alcaldiadecolon.gob.ve,"SSL certificate problem: certificate has expired"
alcaldiabolivarianadesucrezulia.gob.ve,"Could not resolve host: alcaldiabolivarianadesucrezulia.gob.ve"
alcaldiajuanjosemora.gob.ve,"Could not resolve host: alcaldiajuanjosemora.gob.ve"
alcaldiaderibas.gob.ve,"200"
app.alcaldiadeatures.gob.ve,"Could not resolve host: app.alcaldiadeatures.gob.ve"
administrado.conalot.gob.ve,"Could not resolve host: administrado.conalot.gob.ve"
alcaldiasamueldariomaldonado.gob.ve,"Could not resolve host: alcaldiasamueldariomaldonado.gob.ve"
asesores.ona.gob.ve,"Could not resolve host: asesores.ona.gob.ve"
alcaldiabarinas.gob.ve,"Could not resolve host: alcaldiabarinas.gob.ve"
alcaldiadeinfante.gob.ve,"Could not resolve host: alcaldiadeinfante.gob.ve"
aplt.inac.gob.ve,"404"
autodiscover.seguroshorizonte.gob.ve,"Could not resolve host: autodiscover.seguroshorizonte.gob.ve"
autodiscover.cmjjm.gob.ve,"Could not resolve host: autodiscover.cmjjm.gob.ve"
autodiscover.fundapatrimonio.gob.ve,"Could not resolve host: autodiscover.fundapatrimonio.gob.ve"
bibliotecayacucho.gob.ve,"Could not resolve host: bibliotecayacucho.gob.ve"
ait.anzoategui.gob.ve,"500"
autodiscover.imgrad.caracas.gob.ve,"Could not resolve host: autodiscover.imgrad.caracas.gob.ve"
autodiscover.fundarte.gob.ve,"Could not resolve host: autodiscover.fundarte.gob.ve"
