subdomain,http_status
gouv.dj,"Could not resolve host: gouv.dj"
backend-evisagoubet.gouv.dj,"SSL: no alternative certificate subject name matches target hostname 'backend-evisagoubet.gouv.dj'"
backend-evisa.gouv.dj,"200"
mpgpt.gouv.dj,"SSL certificate problem: certificate has expired"
siprefcdn.gouv.dj,"Could not resolve host: siprefcdn.gouv.dj"
snc.gouv.dj,"TLS connect error: error:0A000438:SSL routines::tlsv1 alert internal error"
mefip.gouv.dj,"Could not resolve host: mefip.gouv.dj"
webdisk.travail.gouv.dj,"Could not resolve host: webdisk.travail.gouv.dj"
webmail.travail.gouv.dj,"Could not resolve host: webmail.travail.gouv.dj"
www.evisa-admin.gouv.dj,"Could not resolve host: www.evisa-admin.gouv.dj"
www.budget.gouv.dj,"Could not resolve host: www.budget.gouv.dj"
www.evisanouv.gouv.dj,"Could not resolve host: www.evisanouv.gouv.dj"
www.travail.gouv.dj,"Could not resolve host: www.travail.gouv.dj"
www.gouv.dj,"Could not resolve host: www.gouv.dj"
www.evisa-admissionnouv.gouv.dj,"Could not resolve host: www.evisa-admissionnouv.gouv.dj"
www.evisa.gouv.dj,"301"
www.evisa-admissiongoubet.gouv.dj,"SSL certificate problem: self-signed certificate"
www.evisagoubet.gouv.dj,"SSL certificate problem: self-signed certificate"
www.evisa-admission.gouv.dj,"200"
cpanel.travail.gouv.dj,"Could not resolve host: cpanel.travail.gouv.dj"
cpcalendars.travail.gouv.dj,"Could not resolve host: cpcalendars.travail.gouv.dj"
cpcontacts.travail.gouv.dj,"Could not resolve host: cpcontacts.travail.gouv.dj"
meet.gouv.dj,"SSL certificate problem: self-signed certificate in certificate chain"
mail.gouv.dj,"404"
mail.police-nationale.gouv.dj,"Could not resolve host: mail.police-nationale.gouv.dj"
verification-education.gouv.dj,"200"
webmail.gouv.dj,"200"
enregistrement-delegation.gouv.dj,"200"
snis-dhis2.gouv.dj,"302"
www.decentralisation.gouv.dj,"301"
www.sante.gouv.dj,"301"
e-gouv.dj,"200"
www.e-gouv.dj,"200"
import-email.gouv.dj,"TLS connect error: error:0A000438:SSL routines::tlsv1 alert internal error"
travail.gouv.dj,"SSL certificate problem: unable to get local issuer certificate"
rnpp.gouv.dj,"200"
sensibilisation-cniplc.gouv.dj,"200"
suivi-covid.gouv.dj,"404"
backend-evisanouveau.gouv.dj,"Could not resolve host: backend-evisanouveau.gouv.dj"
evisav2.gouv.dj,"200"
budget.gouv.dj,"SSL certificate problem: unable to get local issuer certificate"
mail.travail.gouv.dj,"Could not resolve host: mail.travail.gouv.dj"
douanes.gouv.dj,"200"
interieur.gouv.dj,"200"
armeedelair.gouv.dj,"SSL certificate problem: unable to get local issuer certificate"
e-permishabitat.gouv.dj,"200"
cert.gouv.dj,"200"
autodiscover.gouv.dj,"Connection timed out after 3000 milliseconds"
catis-dev.gouv.dj,"Connection timed out after 3001 milliseconds"
e-cabinet.gouv.dj,"Operation timed out after 3000 milliseconds with 0 bytes received"
mail-gtw2.gouv.dj,"Connection timed out after 3000 milliseconds"
mail-gtw1.gouv.dj,"Connection timed out after 3002 milliseconds"
mail.e-gouv.dj,"Connection timed out after 3002 milliseconds"
mail-server.gouv.dj,"Connection timed out after 3001 milliseconds"
mail.mefip.gouv.dj,"Connection timed out after 3002 milliseconds"
ministerebudget.gouv.dj,"Connection timed out after 3002 milliseconds"
sipref.gouv.dj,"Connection timed out after 3002 milliseconds"
siged.gouv.dj,"Connection timed out after 3001 milliseconds"
sormas.gouv.dj,"Connection timed out after 3002 milliseconds"
siprefback.gouv.dj,"Connection timed out after 3002 milliseconds"
siprefbdd.gouv.dj,"Connection timed out after 3002 milliseconds"
webconf.gouv.dj,"Connection timed out after 3002 milliseconds"
www.ministerebudget.gouv.dj,"Connection timed out after 3001 milliseconds"
