subdomain,http_status
acessos.planejamento.gov.br,"Could not resolve host: acessos.planejamento.gov.br"
agenda.planejamento.gov.br,"Could not resolve host: agenda.planejamento.gov.br"
1guf645oyuv.caixa.gov.br,"Could not resolve host: 1guf645oyuv.caixa.gov.br"
aneel.gov.br,"403"
acesso.eletrobras.gov.br,"Could not resolve host: acesso.eletrobras.gov.br"
6fwt845pjtu-bmc.caixa.gov.br,"Could not resolve host: 6fwt845pjtu-bmc.caixa.gov.br"
app.cgu.gov.br,"Could not resolve host: app.cgu.gov.br"
anywhere.eletrobras.gov.br,"Could not resolve host: anywhere.eletrobras.gov.br"
app2.cgu.gov.br,"Could not resolve host: app2.cgu.gov.br"
acesso.receita.fazenda.gov.br,"Could not resolve host: acesso.receita.fazenda.gov.br"
alcadadigital.caixa.gov.br,"Could not resolve host: alcadadigital.caixa.gov.br"
acoesdareceita.receita.fazenda.gov.br,"Could not resolve host: acoesdareceita.receita.fazenda.gov.br"
agenteuab.capes.gov.br,"Could not resolve host: agenteuab.capes.gov.br"
app.anp.gov.br,"Could not resolve host: app.anp.gov.br"
arinternet.pr.gov.br,"Could not resolve host: arinternet.pr.gov.br"
assinatura.caixa.gov.br,"Could not resolve host: assinatura.caixa.gov.br"
ar.serpro.gov.br,"Could not resolve host: ar.serpro.gov.br"
acsat.fazenda.sp.gov.br,"Failed to connect to acsat.fazenda.sp.gov.br port 443 after 414 ms: Could not connect to server"
acprodest.es.gov.br,"Could not resolve host: acprodest.es.gov.br"
admin.proderj.rj.gov.br,"Could not resolve host: admin.proderj.rj.gov.br"
ajsm.campinas.sp.gov.br,"Could not resolve host: ajsm.campinas.sp.gov.br"
admportalsncr.serpro.gov.br,"Could not resolve host: admportalsncr.serpro.gov.br"
atendimento.es.gov.br,"Could not resolve host: atendimento.es.gov.br"
al.sp.gov.br,"Could not resolve host: al.sp.gov.br"
acervomultimidia.inca.gov.br,"Could not resolve host: acervomultimidia.inca.gov.br"
aquisicoes.sad.mt.gov.br,"Could not resolve host: aquisicoes.sad.mt.gov.br"
autodiscover.eletrobras.gov.br,"Could not resolve host: autodiscover.eletrobras.gov.br"
app2.anp.gov.br,"Could not resolve host: app2.anp.gov.br"
arsesp.sp.gov.br,"Could not resolve host: arsesp.sp.gov.br"
aplicacoesexpresso.serpro.gov.br,"Could not resolve host: aplicacoesexpresso.serpro.gov.br"
acesso.itaipu.gov.br,"SSL certificate problem: unable to get local issuer certificate"
anteriores.rais.gov.br,"Could not resolve host: anteriores.rais.gov.br"
app.sefaz.go.gov.br,"Could not resolve host: app.sefaz.go.gov.br"
autodiscover.mec.gov.br,"Failed to connect to autodiscover.mec.gov.br port 443 after 40 ms: Could not connect to server"
appweb.antt.gov.br,"Could not resolve host: appweb.antt.gov.br"
ascad.receita.fazenda.gov.br,"Could not resolve host: ascad.receita.fazenda.gov.br"
autodiscover.bdmg.mg.gov.br,"Failed to connect to autodiscover.bdmg.mg.gov.br port 443 after 275 ms: Could not connect to server"
autodiscover.turismo.gov.br,"Could not resolve host: autodiscover.turismo.gov.br"
autodiscover.cptm.sp.gov.br,"Failed to connect to autodiscover.cptm.sp.gov.br port 443 after 235 ms: Could not connect to server"
acraiz.icpbrasil.gov.br,"SSL certificate problem: unable to get local issuer certificate"
autodiscover.casadamoeda.gov.br,"Failed to connect to autodiscover.casadamoeda.gov.br port 443 after 283 ms: Could not connect to server"
agu.gov.br,"302"
avaliamp.planejamento.gov.br,"Could not resolve host: avaliamp.planejamento.gov.br"
astato.defesa.gov.br,"Could not resolve host: astato.defesa.gov.br"
autodiscover.eletronuclear.gov.br,"Failed to connect to autodiscover.eletronuclear.gov.br port 443 after 282 ms: Could not connect to server"
arearestrita.tce.rn.gov.br,"Could not resolve host: arearestrita.tce.rn.gov.br"
aatrh.ima.sp.gov.br,"Could not resolve host: aatrh.ima.sp.gov.br"
autodiscover.ca.mg.gov.br,"Failed to connect to autodiscover.ca.mg.gov.br port 443 after 422 ms: Could not connect to server"
aus.serpro.gov.br,"Could not resolve host: aus.serpro.gov.br"
al.rs.gov.br,"Could not resolve host: al.rs.gov.br"
arevirtualws.sefaz.pe.gov.br,"SSL certificate problem: unable to get local issuer certificate"
admlync.defensoria.sp.gov.br,"Could not resolve host: admlync.defensoria.sp.gov.br"
autodiscover.mtur.gov.br,"Could not resolve host: autodiscover.mtur.gov.br"
agenda.rs.gov.br,"Recv failure: Connexion ré-initialisée par le correspondant"
agricultura.gov.br,"200"
bemtevi.governoeletronico.gov.br,"Could not resolve host: bemtevi.governoeletronico.gov.br"
autodiscover.fazenda.rj.gov.br,"Failed to connect to autodiscover.fazenda.rj.gov.br port 443 after 438 ms: Could not connect to server"
autodiscover.unasus.gov.br,"Failed to connect to autodiscover.unasus.gov.br port 443 after 270 ms: Could not connect to server"
agenda.dnit.gov.br,"Could not resolve host: agenda.dnit.gov.br"
arapora.mg.gov.br,"Could not resolve host: arapora.mg.gov.br"
bankingmovel.caixa.gov.br,"Could not resolve host: bankingmovel.caixa.gov.br"
autodiscover.ipem.sp.gov.br,"Failed to connect to autodiscover.ipem.sp.gov.br port 443 after 435 ms: Could not connect to server"
autodiscover.ipemsp.sp.gov.br,"Could not resolve host: autodiscover.ipemsp.sp.gov.br"
bipes.planejamento.gov.br,"Could not resolve host: bipes.planejamento.gov.br"
ares.unasus.gov.br,"302"
apollo.portal.tre-rs.gov.br,"SSL: no alternative certificate subject name matches target hostname 'apollo.portal.tre-rs.gov.br'"
autentica.alesc.sc.gov.br,"Could not resolve host: autentica.alesc.sc.gov.br"
bi.dest.planejamento.gov.br,"Could not resolve host: bi.dest.planejamento.gov.br"
bme.ibge.gov.br,"Could not resolve host: bme.ibge.gov.br"
belina03.camara.gov.br,"Could not resolve host: belina03.camara.gov.br"
arouca.unasus.gov.br,"302"
boletim.planejamento.gov.br,"Could not resolve host: boletim.planejamento.gov.br"
beta.antt.gov.br,"Could not resolve host: beta.antt.gov.br"
adv.defensoria.sp.gov.br,"SSL certificate problem: unable to get local issuer certificate"
ac.rs.gov.br,"302"
ancoraweb.receita.fazenda.gov.br,"200"
arquimedes.mp.se.gov.br,"Could not resolve host: arquimedes.mp.se.gov.br"
avaliacorreio.serpro.gov.br,"Could not resolve host: avaliacorreio.serpro.gov.br"
bloquetoexpresso.caixa.gov.br,"Could not resolve host: bloquetoexpresso.caixa.gov.br"
audin.tce.pe.gov.br,"Could not resolve host: audin.tce.pe.gov.br"
blog.planalto.gov.br,"Could not resolve host: blog.planalto.gov.br"
aplicacao.administracao.go.gov.br,"Could not resolve host: aplicacao.administracao.go.gov.br"
bvc.cgu.gov.br,"Could not resolve host: bvc.cgu.gov.br"
acoesonline.caixa.gov.br,"403"
appweb1.antt.gov.br,"200"
bpm-inovaempresa.finep.gov.br,"Could not resolve host: bpm-inovaempresa.finep.gov.br"
belina02.camara.gov.br,"Could not resolve host: belina02.camara.gov.br"
aplicativos.emplasa.sp.gov.br,"Could not resolve host: aplicativos.emplasa.sp.gov.br"
av.defensoria.sp.gov.br,"Could not resolve host: av.defensoria.sp.gov.br"
ad.inca.gov.br,"404"
caixafns.convenios.gov.br,"Could not resolve host: caixafns.convenios.gov.br"
autodiscover.mp.se.gov.br,"Could not resolve host: autodiscover.mp.se.gov.br"
appintranet.cptm.sp.gov.br,"401"
apl03.sefaz.al.gov.br,"Failed to connect to apl03.sefaz.al.gov.br port 443 after 1280 ms: Could not connect to server"
camweb.dest.planejamento.gov.br,"Could not resolve host: camweb.dest.planejamento.gov.br"
apl1.lencoispaulista.sp.gov.br,"Could not resolve host: apl1.lencoispaulista.sp.gov.br"
agencianet.fazenda.df.gov.br,"403"
bipeg.serpro.gov.br,"Could not resolve host: bipeg.serpro.gov.br"
capacitacao.planejamento.gov.br,"Could not resolve host: capacitacao.planejamento.gov.br"
caixacelular.caixa.gov.br,"Could not resolve host: caixacelular.caixa.gov.br"
belina06.camara.gov.br,"Could not resolve host: belina06.camara.gov.br"
ana.gov.br,"302"
acesso.sefaz.mt.gov.br,"Recv failure: Connexion ré-initialisée par le correspondant"
cagedonl.caged.gov.br,"Could not resolve host: cagedonl.caged.gov.br"
bpp.sp.gov.br,"Could not resolve host: bpp.sp.gov.br"
cas.unasus.gov.br,"Could not resolve host: cas.unasus.gov.br"
cas.mec.gov.br,"Could not resolve host: cas.mec.gov.br"
autodiscover.portoalegre.rs.gov.br,"Could not resolve host: autodiscover.portoalegre.rs.gov.br"
carteira.caixa.gov.br,"Could not resolve host: carteira.caixa.gov.br"
belem.cidades.gov.br,"Could not resolve host: belem.cidades.gov.br"
backoffice.jucesponline.sp.gov.br,"Could not resolve host: backoffice.jucesponline.sp.gov.br"
brasilia03.camara.gov.br,"Could not resolve host: brasilia03.camara.gov.br"
c-vpn.serpro.gov.br,"Could not resolve host: c-vpn.serpro.gov.br"
brasilia06.camara.gov.br,"Could not resolve host: brasilia06.camara.gov.br"
carf.fazenda.gov.br,"Could not resolve host: carf.fazenda.gov.br"
ba.gov.br,"302"
apl2.lencoispaulista.sp.gov.br,"200"
caged.gov.br,"Could not resolve host: caged.gov.br"
bi.redeexecutiva.pr.gov.br,"Could not resolve host: bi.redeexecutiva.pr.gov.br"
autodiscover.inmetro.gov.br,"302"
ca.bndes.gov.br,"Could not resolve host: ca.bndes.gov.br"
autodiscover.stc.df.gov.br,"SSL: no alternative certificate subject name matches target hostname 'autodiscover.stc.df.gov.br'"
caixa.gov.br,"SSL certificate problem: unable to get local issuer certificate"
acta.inpa.gov.br,"200"
catalogo.mme.gov.br,"Could not resolve host: catalogo.mme.gov.br"
cbm.df.gov.br,"Could not resolve host: cbm.df.gov.br"
cg681j651hj-internetbanking.caixa.gov.br,"Could not resolve host: cg681j651hj-internetbanking.caixa.gov.br"
cemope.vilavelha.es.gov.br,"Could not resolve host: cemope.vilavelha.es.gov.br"
basepop.inca.gov.br,"301"
certificadodigital.caixa.gov.br,"Could not resolve host: certificadodigital.caixa.gov.br"
apbahia.ba.gov.br,"Could not resolve host: apbahia.ba.gov.br"
caubr.gov.br,"403"
bocaiuvadosul.pr.gov.br,"200"
cati.museus.gov.br,"SSL certificate problem: unable to get local issuer certificate"
cav.receita.fazenda.gov.br,"SSL certificate problem: unable to get local issuer certificate"
caninde.se.gov.br,"200"
bm.rs.gov.br,"303"
capes.gov.br,"302"
