subdomain,http_status
confam.gov.mz,"Could not resolve host: confam.gov.mz"
cpanel.cfjj.gov.mz,"Could not resolve host: cpanel.cfjj.gov.mz"
autodiscover.incm.gov.mz,"Failed to connect to autodiscover.incm.gov.mz port 443 after 264 ms: Could not connect to server"
cpanel.aias.gov.mz,"Could not resolve host: cpanel.aias.gov.mz"
ciob.gov.mz,"Could not resolve host: ciob.gov.mz"
cpanel.anac.gov.mz,"Could not resolve host: cpanel.anac.gov.mz"
cpanel.ciob.gov.mz,"Could not resolve host: cpanel.ciob.gov.mz"
autodiscover.icm.gov.mz,"Could not resolve host: autodiscover.icm.gov.mz"
cpanel.iam.gov.mz,"Could not resolve host: cpanel.iam.gov.mz"
cpanel.icm.gov.mz,"Could not resolve host: cpanel.icm.gov.mz"
autodiscover.arazambeze.gov.mz,"Could not resolve host: autodiscover.arazambeze.gov.mz"
cmchimoio.gov.mz,"Could not resolve host: cmchimoio.gov.mz"
coe.misau.gov.mz,"Could not resolve host: coe.misau.gov.mz"
autodiscover.limpopopn.gov.mz,"Could not resolve host: autodiscover.limpopopn.gov.mz"
arazambeze.gov.mz,"Could not resolve host: arazambeze.gov.mz"
cadastro.ffh.gov.mz,"Could not resolve host: cadastro.ffh.gov.mz"
cpanel.gcpcd.gov.mz,"Could not resolve host: cpanel.gcpcd.gov.mz"
cat.collect.pde.gov.mz,"Could not resolve host: cat.collect.pde.gov.mz"
books.ciob.gov.mz,"Could not resolve host: books.ciob.gov.mz"
123.cgcmc.gov.mz,"Could not resolve host: 123.cgcmc.gov.mz"
autodiscover.ciob.gov.mz,"Could not resolve host: autodiscover.ciob.gov.mz"
cpanel.marracuene.gov.mz,"Could not resolve host: cpanel.marracuene.gov.mz"
ane.inage.gov.mz,"Could not resolve host: ane.inage.gov.mz"
cpanel.arazambeze.gov.mz,"Could not resolve host: cpanel.arazambeze.gov.mz"
aias.gov.mz,"SSL certificate problem: certificate has expired"
cpanel.inp.gov.mz,"Could not resolve host: cpanel.inp.gov.mz"
autodiscover.cfjj.gov.mz,"Could not resolve host: autodiscover.cfjj.gov.mz"
autodiscover.ffh.gov.mz,"Could not resolve host: autodiscover.ffh.gov.mz"
civil.registos.gov.mz,"Could not resolve host: civil.registos.gov.mz"
cpcalendars.anac.gov.mz,"Could not resolve host: cpcalendars.anac.gov.mz"
confinia.niassa.gov.mz,"Failed to connect to confinia.niassa.gov.mz port 443 after 533 ms: Could not connect to server"
cgcmc.gov.mz,"Could not resolve host: cgcmc.gov.mz"
cpanel.cmnampula.gov.mz,"Could not resolve host: cpanel.cmnampula.gov.mz"
cpcalendars.cfjj.gov.mz,"Could not resolve host: cpcalendars.cfjj.gov.mz"
autodiscover.mef.gov.mz,"Failed to connect to autodiscover.mef.gov.mz port 443 after 586 ms: Could not connect to server"
casarray2.mf.gov.mz,"Could not resolve host: casarray2.mf.gov.mz"
cpanel.maefp.gov.mz,"Could not resolve host: cpanel.maefp.gov.mz"
cpcalendars.arazambeze.gov.mz,"Could not resolve host: cpcalendars.arazambeze.gov.mz"
cpanel.ics.gov.mz,"Could not resolve host: cpanel.ics.gov.mz"
cpanel.limpopopn.gov.mz,"Could not resolve host: cpanel.limpopopn.gov.mz"
cmnacala.gov.mz,"Could not resolve host: cmnacala.gov.mz"
academycus.cgcmc.gov.mz,"Could not resolve host: academycus.cgcmc.gov.mz"
casarray1.mf.gov.mz,"Could not resolve host: casarray1.mf.gov.mz"
autodiscover.investnacala.gov.mz,"SSL: no alternative certificate subject name matches target hostname 'autodiscover.investnacala.gov.mz'"
autodiscover.cmchimoio.gov.mz,"Could not resolve host: autodiscover.cmchimoio.gov.mz"
autodiscover.inepmc.gov.mz,"Could not resolve host: autodiscover.inepmc.gov.mz"
cpanel.inepmc.gov.mz,"Could not resolve host: cpanel.inepmc.gov.mz"
cpanel.growingblueconference.gov.mz,"200"
autodiscover.sina.gov.mz,"Could not resolve host: autodiscover.sina.gov.mz"
cpcalendars.masa.gov.mz,"Could not resolve host: cpcalendars.masa.gov.mz"
cpanel.pnpfd.gov.mz,"Could not resolve host: cpanel.pnpfd.gov.mz"
anac.gov.mz,"301"
cpcalendars.aias.gov.mz,"Could not resolve host: cpcalendars.aias.gov.mz"
cpcalendars.cmnampula.gov.mz,"Could not resolve host: cpcalendars.cmnampula.gov.mz"
agricultura.gov.mz,"Failed to connect to agricultura.gov.mz port 443 after 824 ms: Could not connect to server"
ca.mined.gov.mz,"SSL certificate problem: unable to get local issuer certificate"
cpanel.investnacala.gov.mz,"SSL: no alternative certificate subject name matches target hostname 'cpanel.investnacala.gov.mz'"
cpcontacts.anac.gov.mz,"Could not resolve host: cpcontacts.anac.gov.mz"
cpcalendars.sina.gov.mz,"Could not resolve host: cpcalendars.sina.gov.mz"
autodiscover.mf.gov.mz,"Failed to connect to autodiscover.mf.gov.mz port 443 after 788 ms: Could not connect to server"
cpcalendars.gcpcd.gov.mz,"Could not resolve host: cpcalendars.gcpcd.gov.mz"
cpcalendars.icm.gov.mz,"Could not resolve host: cpcalendars.icm.gov.mz"
cpcontacts.cfjj.gov.mz,"Could not resolve host: cpcontacts.cfjj.gov.mz"
cpcontacts.arazambeze.gov.mz,"Could not resolve host: cpcontacts.arazambeze.gov.mz"
cpanel.sina.gov.mz,"Could not resolve host: cpanel.sina.gov.mz"
cpanel.municipiomanica.gov.mz,"Could not resolve host: cpanel.municipiomanica.gov.mz"
cpcalendars.inip.gov.mz,"Could not resolve host: cpcalendars.inip.gov.mz"
cpcalendars.maefp.gov.mz,"Could not resolve host: cpcalendars.maefp.gov.mz"
ara-centronorte.gov.mz,"SSL certificate problem: certificate has expired"
covid19.mctestp.gov.mz,"Could not resolve host: covid19.mctestp.gov.mz"
cpcalendars.sernic.gov.mz,"Could not resolve host: cpcalendars.sernic.gov.mz"
autodiscover.mined.gov.mz,"SSL certificate problem: unable to get local issuer certificate"
cpcontacts.investnacala.gov.mz,"Could not resolve host: cpcontacts.investnacala.gov.mz"
autodiscover.inp.gov.mz,"Could not resolve host: autodiscover.inp.gov.mz"
cpcontacts.cmnampula.gov.mz,"Could not resolve host: cpcontacts.cmnampula.gov.mz"
agroente.cgcmc.gov.mz,"Could not resolve host: agroente.cgcmc.gov.mz"
autodiscover.municipiomanica.gov.mz,"Could not resolve host: autodiscover.municipiomanica.gov.mz"
cpcontacts.aias.gov.mz,"Could not resolve host: cpcontacts.aias.gov.mz"
cpcontacts.embamoc-lisboa.gov.mz,"Could not resolve host: cpcontacts.embamoc-lisboa.gov.mz"
cpcalendars.fe.gov.mz,"Could not resolve host: cpcalendars.fe.gov.mz"
cpcontacts.limpopopn.gov.mz,"Could not resolve host: cpcontacts.limpopopn.gov.mz"
