subdomain,http_status
akg.pnp.gov.ph,"200"
armmgov.ph,"Could not resolve host: armmgov.ph"
autodiscover.doj.gov.ph,"Could not resolve host: autodiscover.doj.gov.ph"
autodiscover.doe.gov.ph,"521"
alegriacebu.gov.ph,"Could not resolve host: alegriacebu.gov.ph"
alubijidmisor.gov.ph,"Could not resolve host: alubijidmisor.gov.ph"
8888.gov.ph,"403"
autodiscover.kawit.gov.ph,"Could not resolve host: autodiscover.kawit.gov.ph"
autodiscover.loon.gov.ph,"Could not resolve host: autodiscover.loon.gov.ph"
autodiscover.opolmisor.gov.ph,"Could not resolve host: autodiscover.opolmisor.gov.ph"
autodiscover.pcso.gov.ph,"Failed to connect to autodiscover.pcso.gov.ph port 443 after 202 ms: Could not connect to server"
autodiscover.ckwd.gov.ph,"SSL: no alternative certificate subject name matches target hostname 'autodiscover.ckwd.gov.ph'"
bacarra.gov.ph,"302"
archives.daet.gov.ph,"Could not resolve host: archives.daet.gov.ph"
armis.gov.ph,"Could not resolve host: armis.gov.ph"
armm.gov.ph,"Could not resolve host: armm.gov.ph"
analytics.gov.ph,"Could not resolve host: analytics.gov.ph"
autodiscover.dinagatislands.gov.ph,"SSL: no alternative certificate subject name matches target hostname 'autodiscover.dinagatislands.gov.ph'"
basketball.pangasinan.gov.ph,"Could not resolve host: basketball.pangasinan.gov.ph"
autodiscover.antique.gov.ph,"Could not resolve host: autodiscover.antique.gov.ph"
apps.dpwh.gov.ph,"403"
autodiscover.alegriacebu.gov.ph,"Could not resolve host: autodiscover.alegriacebu.gov.ph"
2014.hlurb.gov.ph,"Could not resolve host: 2014.hlurb.gov.ph"
autodiscover.talibon-bohol.gov.ph,"Could not resolve host: autodiscover.talibon-bohol.gov.ph"
autodiscover.daet.gov.ph,"Could not resolve host: autodiscover.daet.gov.ph"
autodiscover.drhtagum.gov.ph,"Could not resolve host: autodiscover.drhtagum.gov.ph"
autodiscover.mati.gov.ph,"400"
autodiscover.mcwd.gov.ph,"Failed to connect to autodiscover.mcwd.gov.ph port 443 after 497 ms: Could not connect to server"
autodiscover.kalayaanpalawan.gov.ph,"200"
autodiscover.metroviganwd.gov.ph,"Could not resolve host: autodiscover.metroviganwd.gov.ph"
aparriwaterdistrict.gov.ph,"TLS connect error: error:0A000126:SSL routines::unexpected eof while reading"
autodiscover.lubuagan.gov.ph,"SSL certificate problem: certificate has expired"
autodiscover.nabunturan.gov.ph,"400"
angelescitywd.gov.ph,"200"
autodiscover.asunciondavnor.gov.ph,"Could not resolve host: autodiscover.asunciondavnor.gov.ph"
apayao.gov.ph,"200"
bjmp.gov.ph,"Could not resolve host: bjmp.gov.ph"
bme.armm.gov.ph,"Could not resolve host: bme.armm.gov.ph"
autodiscover.pikit.gov.ph,"Could not resolve host: autodiscover.pikit.gov.ph"
bpbilling.cagayandeoro.gov.ph,"Could not resolve host: bpbilling.cagayandeoro.gov.ph"
besao.gov.ph,"Could not resolve host: besao.gov.ph"
autodiscover.asturiascebu.gov.ph,"SSL: no alternative certificate subject name matches target hostname 'autodiscover.asturiascebu.gov.ph'"
autodiscover.mnwd.gov.ph,"400"
autodiscover.dinagat.gov.ph,"Could not resolve host: autodiscover.dinagat.gov.ph"
autodiscover.liliwlaguna.gov.ph,"Could not resolve host: autodiscover.liliwlaguna.gov.ph"
bongaomunicipal.gov.ph,"Could not resolve host: bongaomunicipal.gov.ph"
baguiowaterdistrict.gov.ph,"Could not resolve host: baguiowaterdistrict.gov.ph"
apps.ho.peza.gov.ph,"SSL: no alternative certificate subject name matches target hostname 'apps.ho.peza.gov.ph'"
autodiscover.balambancebu.gov.ph,"SSL: no alternative certificate subject name matches target hostname 'autodiscover.balambancebu.gov.ph'"
baciwa.gov.ph,"301"
autodiscover.lakesebu.gov.ph,"Could not resolve host: autodiscover.lakesebu.gov.ph"
autodiscover.rizalkalinga.gov.ph,"Could not resolve host: autodiscover.rizalkalinga.gov.ph"
bch.armm.gov.ph,"Could not resolve host: bch.armm.gov.ph"
autodiscover.paniqui.gov.ph,"Could not resolve host: autodiscover.paniqui.gov.ph"
asunciondavnor.gov.ph,"Could not resolve host: asunciondavnor.gov.ph"
bienunido.gov.ph,"Failed to connect to bienunido.gov.ph port 443 after 438 ms: Could not connect to server"
beta.loon.gov.ph,"Could not resolve host: beta.loon.gov.ph"
balaoanwaterdistrict.gov.ph,"SSL: no alternative certificate subject name matches target hostname 'balaoanwaterdistrict.gov.ph'"
autodiscover.cardonarizal.gov.ph,"400"
autodiscover.braulioedujali.gov.ph,"400"
bontoc.gov.ph,"Could not resolve host: bontoc.gov.ph"
binmaley.gov.ph,"Could not resolve host: binmaley.gov.ph"
bacnotan.gov.ph,"406"
bpls.sanrafael.gov.ph,"SSL: no alternative certificate subject name matches target hostname 'bpls.sanrafael.gov.ph'"
bureauofmadariseducation.armm.gov.ph,"Could not resolve host: bureauofmadariseducation.armm.gov.ph"
