subdomain,http_status
autodiscover.sakha.gov.ru,"Could not resolve host: autodiscover.sakha.gov.ru"
autodiscover.lk.rosnedra.gov.ru,"Could not resolve host: autodiscover.lk.rosnedra.gov.ru"
31.fskn.gov.ru,"Could not resolve host: 31.fskn.gov.ru"
autodiscover.sakhalin.gov.ru,"Could not resolve host: autodiscover.sakhalin.gov.ru"
bel.parliament.gov.ru,"Could not resolve host: bel.parliament.gov.ru"
autodiscover.rosnedra.gov.ru,"Could not resolve host: autodiscover.rosnedra.gov.ru"
bg.rgistest.rk.gov.ru,"Could not resolve host: bg.rgistest.rk.gov.ru"
bp.minpromtorg.gov.ru,"Could not resolve host: bp.minpromtorg.gov.ru"
bplan.sev.gov.ru,"Could not resolve host: bplan.sev.gov.ru"
budget.minpromtorg.gov.ru,"Could not resolve host: budget.minpromtorg.gov.ru"
cgko.sakha.gov.ru,"Could not resolve host: cgko.sakha.gov.ru"
cea.gov.ru,"Could not resolve host: cea.gov.ru"
cg.rgis.rk.gov.ru,"Could not resolve host: cg.rgis.rk.gov.ru"
cgp.rosnedra.gov.ru,"Could not resolve host: cgp.rosnedra.gov.ru"
cloud.rk.gov.ru,"Could not resolve host: cloud.rk.gov.ru"
comissia.economy.gov.ru,"Could not resolve host: comissia.economy.gov.ru"
15years.fas.gov.ru,"Could not resolve host: 15years.fas.gov.ru"
d.rgis.rk.gov.ru,"Could not resolve host: d.rgis.rk.gov.ru"
autodiscover.open.gov.ru,"Could not resolve host: autodiscover.open.gov.ru"
abh.rs.gov.ru,"Could not resolve host: abh.rs.gov.ru"
20.fskn.gov.ru,"Could not resolve host: 20.fskn.gov.ru"
bus.gov.ru,"Could not resolve host: bus.gov.ru"
app.parlament.gov.ru,"Could not resolve host: app.parlament.gov.ru"
b.rgis.rk.gov.ru,"Could not resolve host: b.rgis.rk.gov.ru"
api.spending.gov.ru,"SSL: no alternative certificate subject name matches target hostname 'api.spending.gov.ru'"
92.gov.ru,"Failed to connect to 92.gov.ru port 443 after 343 ms: Could not connect to server"
autodiscover.ec.ac.gov.ru,"Could not resolve host: autodiscover.ec.ac.gov.ru"
c.rgistest.rk.gov.ru,"Could not resolve host: c.rgistest.rk.gov.ru"
conference-3-standaloneclusterc887f.khv.gov.ru,"Could not resolve host: conference-3-standaloneclusterc887f.khv.gov.ru"
admin.madeinrussia.gov.ru,"SSL: no alternative certificate subject name matches target hostname 'admin.madeinrussia.gov.ru'"
beta.gov.ru,"Could not resolve host: beta.gov.ru"
budget.open.gov.ru,"Could not resolve host: budget.open.gov.ru"
bg.rgis.rk.gov.ru,"SSL certificate problem: self-signed certificate"
berkakit.sakha.gov.ru,"Could not resolve host: berkakit.sakha.gov.ru"
cabinet.mon.gov.ru,"Could not resolve host: cabinet.mon.gov.ru"
auth.sm.fadn.gov.ru,"SSL certificate problem: unable to get local issuer certificate"
aisarhiv.sev.gov.ru,"SSL certificate problem: EE certificate key too weak"
atr.gov.ru,"200"
admin.bp.minpromtorg.gov.ru,"Could not resolve host: admin.bp.minpromtorg.gov.ru"
admin.kids.minpromtorg.gov.ru,"Could not resolve host: admin.kids.minpromtorg.gov.ru"
depohran.sakha.gov.ru,"Could not resolve host: depohran.sakha.gov.ru"
bi.fadn.gov.ru,"SSL certificate problem: unable to get local issuer certificate"
data.gov.ru,"200"
ec.ac.gov.ru,"Could not resolve host: ec.ac.gov.ru"
dg.rgis.rk.gov.ru,"SSL certificate problem: self-signed certificate"
admin.budget.minpromtorg.gov.ru,"Could not resolve host: admin.budget.minpromtorg.gov.ru"
arctic.gov.ru,"200"
dszn.sev.gov.ru,"SSL certificate problem: unable to get local issuer certificate"
design.gov.ru,"Failed to connect to design.gov.ru port 443 after 1441 ms: Could not connect to server"
30.fskn.gov.ru,"Could not resolve host: 30.fskn.gov.ru"
ag.rgis.rk.gov.ru,"SSL certificate problem: self-signed certificate"
csa.social.tomsk.gov.ru,"Could not resolve host: csa.social.tomsk.gov.ru"
de.ac.gov.ru,"Could not resolve host: de.ac.gov.ru"
a.rgis.rk.gov.ru,"200"
c.rgis.rk.gov.ru,"200"
code.ach.gov.ru,"302"
drive.rosnedra.gov.ru,"Failed to connect to drive.rosnedra.gov.ru port 443 after 1714 ms: Could not connect to server"
epp.genproc.gov.ru,"400"
dialin.sakha.gov.ru,"Could not resolve host: dialin.sakha.gov.ru"
deloweb.sakha.gov.ru,"Could not resolve host: deloweb.sakha.gov.ru"
eps.ach.gov.ru,"301"
edu.rs.gov.ru,"Could not resolve host: edu.rs.gov.ru"
expert.minpromtorg.gov.ru,"Could not resolve host: expert.minpromtorg.gov.ru"
expert.economy.gov.ru,"Could not resolve host: expert.economy.gov.ru"
exwaye-mra.khv.gov.ru,"Could not resolve host: exwaye-mra.khv.gov.ru"
fadm.gov.ru,"403"
fgis.economy.gov.ru,"Could not resolve host: fgis.economy.gov.ru"
10letie.edu.gov.ru,"Connection timed out after 3001 milliseconds"
34.mchs.gov.ru,"Resolving timed out after 3000 milliseconds"
a.rgistest.rk.gov.ru,"Connection timed out after 3000 milliseconds"
a2nta.khv.gov.ru,"Connection timed out after 3000 milliseconds"
ac.gov.ru,"Connection timed out after 3001 milliseconds"
admin.economy.gov.ru,"Connection timed out after 3002 milliseconds"
adminmail.urfo.gov.ru,"Connection timed out after 3000 milliseconds"
ach.gov.ru,"Connection timed out after 3000 milliseconds"
ag.rgistest.rk.gov.ru,"Connection timed out after 3001 milliseconds"
aleksan.social.tomsk.gov.ru,"Resolving timed out after 3000 milliseconds"
aispu.minprom.gov.ru,"Connection timed out after 3001 milliseconds"
ais.fadm.gov.ru,"Connection timed out after 3001 milliseconds"
agip.sakha.gov.ru,"Connection timed out after 3002 milliseconds"
ar.gov.ru,"Connection timed out after 3002 milliseconds"
asro.itc.fas.gov.ru,"Connection timed out after 3001 milliseconds"
assoc.khv.gov.ru,"Connection timed out after 3001 milliseconds"
alekseev.sakha.gov.ru,"Resolving timed out after 3000 milliseconds"
asoin.mchs.gov.ru,"Connection timed out after 3001 milliseconds"
arktika.sakha.gov.ru,"Connection timed out after 3001 milliseconds"
audit.gov.ru,"Connection timed out after 3001 milliseconds"
atd.gov.ru,"Resolving timed out after 3000 milliseconds"
autodiscover.ac.gov.ru,"Connection timed out after 3001 milliseconds"
auth.92.gov.ru,"Connection timed out after 3000 milliseconds"
autodiscover.cea.gov.ru,"Connection timed out after 3001 milliseconds"
autodiscover.pay.gov.ru,"Resolving timed out after 3001 milliseconds"
autodiscover.wto.economy.gov.ru,"Connection timed out after 3001 milliseconds"
b.rgistest.rk.gov.ru,"Connection timed out after 3000 milliseconds"
bakchar.social.tomsk.gov.ru,"Resolving timed out after 3001 milliseconds"
bi.sakhalin.gov.ru,"Connection timed out after 3000 milliseconds"
bgu.minfin.rk.gov.ru,"Connection timed out after 3001 milliseconds"
bud-test.minfin.rk.gov.ru,"Connection timed out after 3001 milliseconds"
budget.gov.ru,"Connection timed out after 3001 milliseconds"
business.rk.gov.ru,"Operation timed out after 3000 milliseconds with 0 bytes received"
bud.sev.gov.ru,"Connection timed out after 3000 milliseconds"
bud.minfin.rk.gov.ru,"Connection timed out after 3000 milliseconds"
ca.sakha.gov.ru,"Resolving timed out after 3000 milliseconds"
cg.rgistest.rk.gov.ru,"Connection timed out after 3001 milliseconds"
call.khv.gov.ru,"Connection timed out after 3001 milliseconds"
cik.sakha.gov.ru,"Connection timed out after 3001 milliseconds"
conference-2-standalonecluster.khv.gov.ru,"Connection timed out after 3001 milliseconds"
conference-2-standaloneclusterc887f.khv.gov.ru,"Connection timed out after 3001 milliseconds"
cons.sev.gov.ru,"Connection timed out after 3002 milliseconds"
d.rgistest.rk.gov.ru,"Connection timed out after 3002 milliseconds"
depad.sakha.gov.ru,"Connection timed out after 3002 milliseconds"
deples.sakha.gov.ru,"Connection timed out after 3002 milliseconds"
filexch01.minobrnauki.gov.ru,"Could not resolve host: filexch01.minobrnauki.gov.ru"
depohota.sakha.gov.ru,"Connection timed out after 3002 milliseconds"
gfs.gov.ru,"SSL certificate problem: self-signed certificate in certificate chain"
deprgi.sakha.gov.ru,"Connection timed out after 3001 milliseconds"
depsmi.sakha.gov.ru,"Connection timed out after 3001 milliseconds"
deputatsky.sakha.gov.ru,"Connection timed out after 3001 milliseconds"
iasmongov.ru,"Could not resolve host: iasmongov.ru"
depvet.sakha.gov.ru,"Connection timed out after 3002 milliseconds"
fadn.gov.ru,"200"
hr-reserve.fas.gov.ru,"Could not resolve host: hr-reserve.fas.gov.ru"
dg.rgistest.rk.gov.ru,"Connection timed out after 3002 milliseconds"
geoportal.rgis.rk.gov.ru,"SSL certificate problem: self-signed certificate"
gitlab.rpn.gov.ru,"403"
fgistp.test.economy.gov.ru,"Could not resolve host: fgistp.test.economy.gov.ru"
djachkovskij.sakha.gov.ru,"Connection timed out after 3001 milliseconds"
digital.gov.ru,"Connection timed out after 3002 milliseconds"
docs.edu.gov.ru,"Resolving timed out after 3001 milliseconds"
dprf.gov.ru,"Connection timed out after 3002 milliseconds"
iu-uppr.sakha.gov.ru,"Could not resolve host: iu-uppr.sakha.gov.ru"
is.rossvyaz.gov.ru,"Could not resolve host: is.rossvyaz.gov.ru"
