subdomain,http_status
account.cube.gov.sg,"Could not resolve host: account.cube.gov.sg"
access.medinet.gov.sg,"Could not resolve host: access.medinet.gov.sg"
aceqportal.ace.gov.sg,"Could not resolve host: aceqportal.ace.gov.sg"
accessmsf.ida.gov.sg,"Could not resolve host: accessmsf.ida.gov.sg"
aceqbj.ace.gov.sg,"Could not resolve host: aceqbj.ace.gov.sg"
admin.sites.cube.gov.sg,"Could not resolve host: admin.sites.cube.gov.sg"
adfs.msf.gov.sg,"Could not resolve host: adfs.msf.gov.sg"
access.ida.gov.sg,"Could not resolve host: access.ida.gov.sg"
admin.cube.gov.sg,"Could not resolve host: admin.cube.gov.sg"
aceonline.mom.gov.sg,"Could not resolve host: aceonline.mom.gov.sg"
agcvldb.agc.gov.sg,"Could not resolve host: agcvldb.agc.gov.sg"
afm-ncs-itsm.sgnet.gov.sg,"Could not resolve host: afm-ncs-itsm.sgnet.gov.sg"
am4u.gov.sg,"Could not resolve host: am4u.gov.sg"
admin.am4u.gov.sg,"Could not resolve host: admin.am4u.gov.sg"
afm-nec-rdss.sgnet.gov.sg,"Could not resolve host: afm-nec-rdss.sgnet.gov.sg"
aduser.apadmin.gov.sg,"Could not resolve host: aduser.apadmin.gov.sg"
agd.gov.sg,"Could not resolve host: agd.gov.sg"
antispam.csit.gov.sg,"Could not resolve host: antispam.csit.gov.sg"
afm-nec-portal.sgnet.gov.sg,"Could not resolve host: afm-nec-portal.sgnet.gov.sg"
aduser.uat-apadmin.gov.sg,"Could not resolve host: aduser.uat-apadmin.gov.sg"
analytics.sport.gov.sg,"Could not resolve host: analytics.sport.gov.sg"
apadmin.gov.sg,"Could not resolve host: apadmin.gov.sg"
afm-ncs-portal.sgnet.gov.sg,"Could not resolve host: afm-ncs-portal.sgnet.gov.sg"
ams.sgmfa.gov.sg,"Could not resolve host: ams.sgmfa.gov.sg"
afm-nec-itsm.sgnet.gov.sg,"Could not resolve host: afm-nec-itsm.sgnet.gov.sg"
afm-hcl-portal.sgnet.gov.sg,"Could not resolve host: afm-hcl-portal.sgnet.gov.sg"
app-stg.elobby.ica.gov.sg,"Could not resolve host: app-stg.elobby.ica.gov.sg"
app-pac.mica.gov.sg,"Could not resolve host: app-pac.mica.gov.sg"
app-stg.lta.gov.sg,"Could not resolve host: app-stg.lta.gov.sg"
app-stg.m.mica.gov.sg,"Could not resolve host: app-stg.m.mica.gov.sg"
app-stg.e2singapore.gov.sg,"Could not resolve host: app-stg.e2singapore.gov.sg"
app-stg.nra.mfa.gov.sg,"Could not resolve host: app-stg.nra.mfa.gov.sg"
app-stg.rom.gov.sg,"Could not resolve host: app-stg.rom.gov.sg"
app-stg.psc-cms.gov.sg,"Could not resolve host: app-stg.psc-cms.gov.sg"
app-stg.police.gov.sg,"Could not resolve host: app-stg.police.gov.sg"
app-stg.mavis.ica.gov.sg,"Could not resolve host: app-stg.mavis.ica.gov.sg"
app-stg.scdffiresafety.gov.sg,"Could not resolve host: app-stg.scdffiresafety.gov.sg"
app-stg.customscms.gov.sg,"Could not resolve host: app-stg.customscms.gov.sg"
admin.pmo.gov.sg,"Could not resolve host: admin.pmo.gov.sg"
app.cad.gov.sg,"Could not resolve host: app.cad.gov.sg"
app-stg.ifast.ava.gov.sg,"Could not resolve host: app-stg.ifast.ava.gov.sg"
admin.sps.gov.sg,"Could not resolve host: admin.sps.gov.sg"
2fa.hpb.gov.sg,"Could not resolve host: 2fa.hpb.gov.sg"
app-stg.orc.gov.sg,"Could not resolve host: app-stg.orc.gov.sg"
app-stg.ros.gov.sg,"Could not resolve host: app-stg.ros.gov.sg"
app.customscms.gov.sg,"Could not resolve host: app.customscms.gov.sg"
aep.nac.gov.sg,"Could not resolve host: aep.nac.gov.sg"
app-stg2.mgov.gov.sg,"Could not resolve host: app-stg2.mgov.gov.sg"
app-stg2.score.gov.sg,"Could not resolve host: app-stg2.score.gov.sg"
app-stg2.mewr.gov.sg,"Could not resolve host: app-stg2.mewr.gov.sg"
app.cra.gov.sg,"Could not resolve host: app.cra.gov.sg"
app-stg.vog.gov.sg,"Could not resolve host: app-stg.vog.gov.sg"
ams.mfa.gov.sg,"Could not resolve host: ams.mfa.gov.sg"
app-stg2.subcourts.gov.sg,"Could not resolve host: app-stg2.subcourts.gov.sg"
ago.gov.sg,"Could not resolve host: ago.gov.sg"
app-uat.dos.gov.sg,"Could not resolve host: app-uat.dos.gov.sg"
app.dos.gov.sg,"Could not resolve host: app.dos.gov.sg"
app.adoption.gov.sg,"Could not resolve host: app.adoption.gov.sg"
analytics.mci.gov.sg,"Could not resolve host: analytics.mci.gov.sg"
app.intranet.ros.gov.sg,"Could not resolve host: app.intranet.ros.gov.sg"
app.ifast.ava.gov.sg,"Could not resolve host: app.ifast.ava.gov.sg"
app.lta.gov.sg,"Could not resolve host: app.lta.gov.sg"
app.ipd.gov.sg,"Could not resolve host: app.ipd.gov.sg"
ahprs.moh.gov.sg,"Could not resolve host: ahprs.moh.gov.sg"
