subdomain,http_status
api.mowt.gov.tt,"403"
careers.ghrs.gov.tt,"Could not resolve host: careers.ghrs.gov.tt"
cdca.gov.tt,"Could not resolve host: cdca.gov.tt"
carib.customs.gov.tt,"Could not resolve host: carib.customs.gov.tt"
control.mowt.gov.tt,"403"
autodiscover.poscorp.gov.tt,"Failed to connect to autodiscover.poscorp.gov.tt port 443 after 320 ms: Could not connect to server"
connect.auditorgeneral.gov.tt,"Could not resolve host: connect.auditorgeneral.gov.tt"
biodiversity.gov.tt,"Could not resolve host: biodiversity.gov.tt"
access.wasa.gov.tt,"Could not resolve host: access.wasa.gov.tt"
cityofportofspain.gov.tt,"Could not resolve host: cityofportofspain.gov.tt"
autodiscover.hacktt.gov.tt,"SSL: no alternative certificate subject name matches target hostname 'autodiscover.hacktt.gov.tt'"
autodicover.nalis.gov.tt,"Could not resolve host: autodicover.nalis.gov.tt"
agla.gov.tt,"200"
autodiscover.nedco.gov.tt,"Could not resolve host: autodiscover.nedco.gov.tt"
cpanel.biodiversity.gov.tt,"Could not resolve host: cpanel.biodiversity.gov.tt"
autodiscover.nalis.gov.tt,"SSL certificate problem: unable to get local issuer certificate"
cpanel.hacktt.gov.tt,"SSL: no alternative certificate subject name matches target hostname 'cpanel.hacktt.gov.tt'"
autodiscover.mpa.gov.tt,"Could not resolve host: autodiscover.mpa.gov.tt"
autodiscover.trha.gov.tt,"Could not resolve host: autodiscover.trha.gov.tt"
cas.ssa.gov.tt,"Could not resolve host: cas.ssa.gov.tt"
av.wasa.gov.tt,"Could not resolve host: av.wasa.gov.tt"
citrix.mof.gov.tt,"SSL certificate problem: unable to get local issuer certificate"
couva.mns.gov.tt,"Could not resolve host: couva.mns.gov.tt"
cpanel.metaviation.gov.tt,"Could not resolve host: cpanel.metaviation.gov.tt"
cpanel.metoffice.gov.tt,"Could not resolve host: cpanel.metoffice.gov.tt"
conference.foreign.gov.tt,"Failed to connect to conference.foreign.gov.tt port 443 after 578 ms: Could not connect to server"
autodiscover.ttps.gov.tt,"Could not resolve host: autodiscover.ttps.gov.tt"
archive.finance.gov.tt,"301"
cpanel.hdc.gov.tt,"Could not resolve host: cpanel.hdc.gov.tt"
archive.fiu.gov.tt,"401"
cpcalendars.msya.gov.tt,"Could not resolve host: cpcalendars.msya.gov.tt"
cepep.gov.tt,"SSL: no alternative certificate subject name matches target hostname 'cepep.gov.tt'"
cpanel.cso.gov.tt,"200"
